itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3M","","","","","","","","",""
"TEGADERM 10*4                 1S"," 20","1540.00","-20","-1540.00","  -","0.00","  -","0.00","  -"
" TOTAL"," 20","1540.00","-20","-1540.00","  0","0.00","  0","0.00","  0"
"","","","","","","","","",""
"3MIL","","","","","","","","",""
"AUTOGLAVE TAPE 3M             1S","  1","270.00","  -","0.00","  -","0.00","  1","270.00","  1"
" TOTAL","  1","270.00","  0","0.00","  0","0.00","  1","270.00","  0"
"","","","","","","","","",""
"AICE HEALTH CARE PVT LTD","","","","","","","","",""
"ALLEVION MAX                  5ML"," 30","5400.00","  -","0.00"," 13","1960.00"," 17","3060.00","  -"
"COMFORTZ                      10ML"," 26","2716.13","110","12536.00"," 71","6853.06"," 65","6790.34","  -"
"COMFORTZ EYE MASK             1'S"," 15","2410.65","  3","0.00","  8","2624.97"," 10","1607.10","  -"
"COMFORTZ-HA                   10ML"," 39","8022.82","  -","0.00","  -","0.00"," 39","8022.82"," 39"
"RELIVION                      3ML"," 30","5014.20","  -","0.00","  -","0.00"," 30","5014.20","  -"
" TOTAL","140","23563.80","113","12536.00"," 92","11438.03","161","24494.4","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"OLOPAT OD                     5ML","  3","406.90","  -","0.00","  -","0.00","  3","406.90","  3"
" TOTAL","  3","406.90","  0","0.00","  0","0.00","  3","406.90","  0"
"","","","","","","","","",""
"AMNEAL HEALTHCARE PVT LTD","","","","","","","","",""
"BRINZNEAL                     5ML"," 15","3053.00","  -","0.00","  -","0.00"," 15","3053.00"," 15"
"BRITNEAL                      5ML"," 30","4178.00","  -","0.00","  -","0.00"," 30","4178.00"," 30"
"CLARNEAL CAP                  30'S"," 20","4880.00","  -","0.00","  -","0.00"," 20","4880.00"," 20"
"IRRISOL                       500ML"," 24","4296.00","  -","0.00"," 24","4296.00","  -","0.00","  -"
"LOTENEAL                      5ML"," 30","3759.00","  -","0.00","  -","0.00"," 30","3759.00"," 30"
"MACUNEAL TAB                  10'S"," 20","1952.00","  -","0.00","  -","0.00"," 20","1952.00"," 20"
"MOXNEAL                       5ML"," 50","6105.00","  -","0.00","  -","0.00"," 50","6105.00"," 50"
"MOXNEAL-L                     5ML"," 20","2570.00","  -","0.00","  -","0.00"," 20","2570.00"," 20"
"NEPANEAL                      5ML"," 30","4242.00","  -","0.00","  -","0.00"," 30","4242.00"," 30"
"OLONEAL                       5ML"," 30","3567.00","  -","0.00","  -","0.00"," 30","3567.00"," 30"
"TRAVNEAL                      5ML"," 30","5784.00","  -","0.00","  -","0.00"," 30","5784.00"," 30"
" TOTAL","299","44386.00","  0","0.00"," 24","4296.00","275","40090.0","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 35","1147.65","-25","-884.00","  -","0.00"," 10","327.90"," 10"
"AFLUR                         5ML"," 61","1760.46","  -","0.00","  -","0.00"," 61","1760.46","  1"
"APIDINE PLUS                  5ML"," 41","803.19"," 25","489.75"," 30","653.10"," 36","705.24"," 11"
"APPAMIDE PLUS                 5ML"," 41","1435.00","  -","0.00"," 10","513.50"," 31","1085.00"," 11"
"APPAVISC 5ML                  5ML","140","7187.60","110","6160.00"," 90","8960.00","160","8214.40","  -"
"APPAVISC PFS 2.4              3ML"," 55","6010.95","  -","0.00","  -","0.00"," 55","6010.95","  5"
"ART                           10ML"," 30","1672.80","  -","0.00","  -","0.00"," 30","1672.80","  -"
"ART GEL                       10ML"," 75","3801.75","150","8364.00","175","10727.64"," 50","2534.50","  4"
"ART PLUS                      10ML"," 67","3248.83"," 75","3636.00"," 45","2376.11"," 97","4703.53","  -"
"C-PENT                        5ML"," 20","525.40"," 60","1576.20"," 30","955.80"," 50","1313.50","  -"
"CLEARSOL 500ML                1S"," 62","8060.00","  -","0.00"," 60","9780.00","  2","260.00","  2"
"COHEVISC 1.4                  1S"," 10","3300.00"," 10","3300.00"," 10","3800.00"," 10","3300.00","  -"
"HYLOR                         1S"," 50","5550.00","  -","0.00"," 10","1159.58"," 40","4440.00","  -"
"MIOCHOL 1ML                   1ML"," 34","655.52"," 22","424.16"," 50","1178.50","  6","115.68","  1"
"MOXIFUR 5ML                   5ML","  1","48.49","  -","0.00","  -","0.00","  1","48.49","  1"
"MOXIFUR INJ 1ML               1ML"," 36","1527.48"," 22","933.24"," 40","2074.00"," 18","763.74","  -"
"MOXIFUR-LP                    5ML","324","18296.28","  -","0.00","178","10935.16","146","8244.62"," 32"
"MYOPED                        5ML"," 24","2811.36"," 30","3514.20"," 36","4685.70"," 18","2108.52","  -"
"RHEX-ID 1ML                   1ML","134","7769.32","110","6377.80","160","10312.00"," 84","4870.32","  2"
"SUPRACOAT PLUS                1ML","  1","990.00","  -","0.00","  -","0.00","  1","990.00","  1"
"","","","","","","","","",""
"TOTAL","1704","146768.78","682","44887.35","1040","83845.12","1346","118731.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
" TOTAL","1241","76602.08","589","33891.35","924","68111.09","906","53469.6","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"KOJIMAX GEL                   20GM"," 15","2494.80","  -","0.00","  -","0.00"," 15","2494.80"," 15"
"LUBI FRESH EYE MASK           1'S"," 12","1564.20","  -","0.00","  -","0.00"," 12","1564.20"," 12"
"NEPAFLO E/D                   5ML"," 60","5445.00","  -","0.00"," 60","5929.00","  -","0.00","  -"
" TOTAL"," 99","10404.00","  0","0.00"," 60","5929.00"," 39","4959.00","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROCAINE                     5ML"," 10","368.40"," 20","736.80"," 10","458.40"," 20","736.80","  -"
"AUROCORT                      1ML"," 10","765.20","  -","0.00"," 10","850.00","  -","0.00","  -"
"AUROFLUR                      5ML","  2","68.18"," -2","-75.00","  -","0.00","  -","0.00","  -"
"AUROMIDE                      5ML","  7","239.78","  -","0.00","  6","270.00","  1","34.25","  1"
"AUROMIDE PLUS                 5ML"," 23","1061.97","  -","0.00","  -","0.00"," 23","1061.97"," 23"
"AUROPENT                      5ML","  -","0.00"," 10","424.30"," 10","517.44","  -","0.00","  -"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML","  5","194.85"," 20","779.40","  5","227.40"," 20","779.40","  -"
"VOZOLE E/D                    30MG"," 30","7628.40"," 50","12714.00"," 65","20206.16"," 15","3814.20","  -"
" TOTAL"," 92","10889.29"," 98","14579.50","106","22529.40"," 84","6989.13","  0"
"","","","","","","","","",""
"AUSTRAK PHARMA","","","","","","","","",""
"EPILUBE E/D                   10ML","  4","289.30","  -","0.00","  -","0.00","  4","289.30","  4"
"TAGAMOX-DX                    5ML","  4","341.15"," -4","-362.12","  -","0.00","  -","0.00","  -"
" TOTAL","  8","630.45"," -4","-362.12","  0","0.00","  4","289.30","  0"
"","","","","","","","","",""
"BAXTER INDIA PVT LTD","","","","","","","","",""
"DNS-500ML                     1S","  2","49.00"," -2","-49.00","  -","0.00","  -","0.00","  -"
" TOTAL","  2","49.00"," -2","-49.00","  0","0.00","  0","0.00","  0"
"","","","","","","","","",""
"BECTON DICKINSON & COMPANY","","","","","","","","",""
"BD EMERALD 3ML                1'S","  -","0.00","500","1675.00","500","1800.00","  -","0.00","  -"
" TOTAL","  0","0.00","500","1675.00","500","1800.00","  0","0.00","  0"
"","","","","","","","","",""
"BERRY&HERBS PHARMA PVT LTD","","","","","","","","",""
"CORSOL XG                     5ML"," 67","5599.14","  -","0.00","  -","0.00"," 67","5599.14"," 67"
"GLUKOGEGSIC CAP               10'S"," 80","12984.54","  -","0.00","  -","0.00"," 80","12984.5","  -"
"MOXISHIELD LP                 5ML"," 75","4757.00","  -","0.00","  -","0.00"," 75","4757.00"," 75"
"MOXITOBRA                     5ML"," 45","3471.30","  -","0.00","  -","0.00"," 45","3471.30"," 45"
"OPTIWIRE CAPS                 10'S"," 57","17358.06","110","33498.00","134","44809.16"," 33","10049.4","  -"
" TOTAL","324","44170.03","110","33498.00","134","44809.16","300","36861.3","  0"
"","","","","","","","","",""
"BORN HEALTHCARE PVT LTD","","","","","","","","",""
"NS-500ML                      500ML","  1","25.25"," -1","-19.00","  -","0.00","  -","0.00","  -"
" TOTAL","  1","25.25"," -1","-19.00","  0","0.00","  0","0.00","  0"
"","","","","","","","","",""
"TOTAL","2230","212936.79","1383","94209.73","1840","158912.68","1773","167829.","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..3","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"CADILA","","","","","","","","",""
"DEXASONE 2ML                  2ML","  -","0.00"," 20","126.00"," 20","140.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 20","126.00"," 20","140.00","  0","0.00","  0"
"","","","","","","","","",""
"CARE GROUP","","","","","","","","",""
"CANNULA NEEDLE                1S","270","270.00","  -","0.00","  -","0.00","270","270.00","270"
"CONTACAINE SOL                5ML"," 10","334.30","  -","0.00","  -","0.00"," 10","334.30"," 10"
"CONTASOL BSS(PP)              250ML"," 24","1567.44","  -","0.00","  -","0.00"," 24","1567.44","  -"
"FLUO STRIPS                   100S","  1","148.00"," 30","4440.00","  -","0.00"," 31","4588.00","  -"
" TOTAL","305","2319.74"," 30","4440.00","  0","0.00","335","6759.74","  0"
"","","","","","","","","",""
"CHC","","","","","","","","",""
"BUFFANT CAP                   1'S","  -","0.00","200","280.00","200","440.00","  -","0.00","  -"
" TOTAL","  0","0.00","200","280.00","200","440.00","  0","0.00","  0"
"","","","","","","","","",""
"CIPLA","","","","","","","","",""
"ITRANOX 200                   4S"," 40","1724.80","-40","-1724.80","  -","0.00","  -","0.00","  -"
"OMNIX 200DT                   10S"," 10","567.08","-10","-567.07","  -","0.00","  -","0.00","  -"
"OMNIX-O TAB                   10S","  1","77.78"," -1","-77.78","  -","0.00","  -","0.00","  -"
" TOTAL"," 51","2369.66","-51","-2369.65","  0","0.00","  0","0.00","  0"
"","","","","","","","","",""
"CLARIS OSTUKA","","","","","","","","",""
"MANNITOL 100ML                1S","  -","0.00"," 15","405.00"," 15","450.00","  -","0.00","  -"
"ST WATER 10ML                 50","  2","224.00"," -2","-224.00","  -","0.00","  -","0.00","  -"
" TOTAL","  2","224.00"," 13","181.00"," 15","450.00","  0","0.00","  0"
"","","","","","","","","",""
"DISPOVAN","","","","","","","","",""
"DISPOVAN 2ML SYG              1S","  -","0.00","200","358.00","200","390.00","  -","0.00","  -"
"DISPOVAN NDL 24               100S","  -","0.00","  5","340.00","  5","375.00","  -","0.00","  -"
"DISPOVAN NDL 26               100S","  -","0.00","  5","350.00","  5","375.00","  -","0.00","  -"
" TOTAL","  0","0.00","210","1048.00","210","1140.00","  0","0.00","  0"
"","","","","","","","","",""
"DYNAMIC TECHNO MEDICALS PVT LTD","","","","","","","","",""
"SOFTCOLLAR M                  1S","  1","200.00"," -1","-200.00","  -","0.00","  -","0.00","  -"
" TOTAL","  1","200.00"," -1","-200.00","  0","0.00","  0","0.00","  0"
"","","","","","","","","",""
"ENTOD GLOTEK DIVISION","","","","","","","","",""
"CYCLOFEZ                      5ML"," 25","1125.00","  -","0.00","  1","250.00"," 24","1080.00","  -"
"HOMACID                       5ML"," 33","801.57"," 25","595.10"," 25","646.80"," 33","801.57","  3"
"PHENOCAINE PLUS               5AMP*1ML","  -","0.00"," 12","4661.07"," 12","6214.32","  -","0.00","  -"
"SMARTMEGA 500                 10'S"," 30","4821.89","  -","0.00","  -","0.00"," 30","4821.89","  -"
"TIMOL P                       10ML"," 74","3434.98"," -5","-164.19"," 41","2223.87"," 28","1299.72"," 21"
" TOTAL","162","10183.43"," 32","5091.98"," 79","9334.99","115","8003.18","  0"
"","","","","","","","","",""
"TOTAL","2751","228233.62","1836","102807.06","2364","170417.67","2223","182592.","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..4","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"ENTOD PHAMA(ENSIGHT)","","","","","","","","",""
"AB-PRESS PF                   10ML","  3","649.01","  4","1470.73","  7","7343.75","  -","0.00","  -"
"ADBROM                        5ML"," 23","1626.00","300","21351.90","212","17556.43","111","7847.22","  -"
"CATAGON                       10ML","  6","344.41","350","19862.17","237","15836.47","119","6830.73","  -"
"E-FLO DROPS                   5ML","  -","0.00"," 25","1435.03"," 18","1312.56","  7","401.81","  -"
"ENGATT E/D                    5ML"," 42","1963.72","-21","-883.08","  -","0.00"," 21","981.86"," 21"
"ENLUBE                        10ML"," 14","1172.48","  -","0.00","  5","651.99","  9","753.74","  9"
"ENLUBE FUSION E/D             5ML","125","10850.25","  -","0.00"," 70","6798.75"," 55","4774.11","  5"
"ENMOX KT                      5ML","  -","0.00"," 25","1894.15"," 25","2946.50","  -","0.00","  -"
"ENTRAK SOOTHE                 5GM"," 16","3171.72","  -","0.00","  4","1036.01"," 12","2378.79"," 12"
"FLUBI E/D                     5ML"," 26","1225.78","  -","0.00","  -","0.00"," 26","1225.78","  2"
"FLUBICHLOR E/D                5ML","  6","346.53"," 26","1501.65","  -","0.00"," 32","1848.19","  6"
"FLUBIGAT                      5ML","  1","65.36"," -1","-59.74","  -","0.00","  -","0.00","  -"
"FLUCOCID                      5ML"," 26","881.41"," -1","-31.26","  -","0.00"," 25","847.51","  -"
"GANCIGEL                      5GM"," 27","2237.17"," -8","-617.11","  2","216.54"," 17","1408.59"," 17"
"LACRYL HYDRATE                10ML","  1","268.39"," -1","-268.38","  -","0.00","  -","0.00","  -"
"LACRYL SOOTHE                 10ML"," 24","1653.12"," -3","-226.62"," -1","0.00"," 22","1515.36"," 22"
"LACRYL ULTRA E/D              10ML"," 10","2147.26"," 12","2576.71"," 12","3423.89"," 10","2147.26","  -"
"LACRYL-PF                     5GM"," 52","3328.53"," 95","6056.62"," 70","6545.19"," 77","4928.79","  2"
"LACRYL-PLUS                   10ML"," 16","744.00","-13","-550.20","  1","120.28","  2","93.00","  2"
"LOT OINTMENT                  5GM","154","11863.50","150","11555.35","140","11129.86","164","12633.8","  -"
"MACUSHIELD TAB                10S"," 12","1045.62"," 30","2614.06"," 31","4409.20"," 11","958.49","  -"
"MOTOGRAM E/D                  5ML"," 12","1079.73"," 62","5821.87"," 14","1794.00"," 60","5398.64","  -"
"MYATRO E/D                    5ML","  7","825.50","125","15547.73"," 82","14322.44"," 50","5896.41","  -"
"NATACIN                       5ML"," 11","879.84"," 67","5437.23"," 46","4490.85"," 32","2559.53","  8"
"NEPAONCE                      3ML"," 24","3471.49"," 13","1889.41"," 25","5625.00"," 12","1735.75"," 12"
"OMEFLOX E/D                   5ML","  4","120.64"," -4","-120.64","  -","0.00","  -","0.00","  -"
"OMEFLOX OINT                  5GM"," 63","2632.77","  -","0.00"," 53","2409.26"," 10","417.90","  -"
"OMEFLOX-BM                    5GM","  2","32.12"," 98","1593.73"," 60","1078.03"," 40","642.49","  -"
"OPTICOOL E/D                  10ML","  5","288.33","175","10209.31"," 80","4995.45","100","5766.57","  -"
"PRESS-DT                      10S"," 28","859.60","  -","0.00","  3","98.14"," 25","767.50"," 25"
"SOLINE 5                      10ML"," 53","2794.97","100","5273.52","145","9275.63","  8","421.88","  -"
"SOLINE-6                      3GM","151","12277.45","  -","0.00","118","12116.83"," 33","2683.15","  1"
"T-1                           3ML","  6","1166.00","  -","0.00","  2","502.67","  4","777.33","  4"
"TREHATOD                      5ML","  3","343.01"," 25","2858.45"," 25","4446.50","  3","343.01","  -"
"TROMIDE-PLUS                  5ML"," 25","1446.50","  -","0.00","  -","0.00"," 25","1446.50"," 25"
" TOTAL","978","73802.22","1630","116192.59","1486","140482.22","1122","80431.7","  0"
"","","","","","","","","",""
"ENTOD PHARMA-G TECH","","","","","","","","",""
"AUDIOVIT CAP                  10S"," 28","4057.67"," -1","-152.69","  6","946.78"," 21","3043.25"," 21"
"AZENATE NASAL SPRAY           9.8ML","  5","1044.72","  -","0.00","  1","270.21","  4","835.77","  4"
"E-SALIVA PLUS MOUTHSPRAY      15ML","  3","370.18"," 12","1480.73","  3","493.51"," 12","1480.73","  -"
"FEXAGON PLUS TAB              10S"," 30","2330.25","  -","0.00","  6","507.49"," 24","1864.20","  -"
"NASOLINE NASAL SPRAY          10ML","  8","227.13"," -2","-51.97","  6","189.30","  -","0.00","  -"
"ORINASE-A                     10ML"," 30","983.25","  -","0.00"," 24","850.72","  6","196.65","  -"
"OTOBIOTIC                     5ML","105","7113.07"," -1","-66.97"," 71","5743.80"," 33","2235.54","  3"
"OTOBIOTIC PLUS                5ML","  -","0.00","  -","0.00"," -2","0.00","  2","70.61","  2"
"OTOBIOTIC PLUS NEW            5ML"," 27","1041.60"," -2","-70.61"," 14","604.82"," 11","424.36","  1"
