itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML"," 11","1248.14","  -","0.00","  -","0.00"," 11","1248.14","  8"
"AQUALUBE                      10ML","  7","658.92","  -","0.00","  -","0.00","  7","658.92","  -"
"BRIVEX                        5ML","  2","625.78","  -","0.00","  -","0.00","  2","625.78","  -"
"DIFLUMOX                      5ML"," 28","4173.56","  -","0.00"," 28","4351.16","  -","0.00","  -"
"GATE-P                        10ML"," 17","490.75","  -","0.00","  -","0.00"," 17","490.75","  -"
"KETOGATE                      5ML"," 14","1316.00","  -","0.00"," 14","1372.00","  -","0.00","  -"
"LACOMA PF                     2.5ML","  2","640.27","  -","0.00","  2","667.52","  -","0.00","  -"
"LOTEL E/O                     5GM","  7","831.91","  -","0.00","  3","371.70","  4","475.38","  -"
"LOTEL GEL                     5ML"," 12","1313.33","  -","0.00","  -","0.00"," 12","1313.33","  9"
"OLOPAT                        5ML"," 11","1333.14","  -","0.00","  -","0.00"," 11","1333.14","  -"
"OLOPAT OD                     5ML","  9","1220.70","  -","0.00","  -","0.00","  9","1220.70","  -"
"VIRSON GEL                    5GM"," 20","1933.77","  -","0.00","  -","0.00"," 20","1933.77"," 17"
" TOTAL","140","15786.26","  0","0.00"," 47","6762.38"," 93","9299.90","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"COMBIGAN                      5ML"," 20","6444.60","  -","0.00","  6","2038.45"," 14","4511.22","  -"
"FML                           5ML"," 10","993.99","  -","0.00","  -","0.00"," 10","993.99","  -"
"L-PRED                        5ML","  5","672.58","  -","0.00","  2","286.77","  3","403.55","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"OPTIVE                        10ML"," 18","1827.23"," 10","1015.13"," 17","1826.13"," 11","1116.64","  -"
"PREDFORTE                     10ML"," 10","456.76"," 15","685.14"," 10","434.00"," 15","685.14","  -"
"REFRESH LIQUIGEL              10ML","  7","1091.45"," 10","1559.22"," 14","2204.21","  3","467.76","  -"
"REFRESH TEARS                 10ML"," 30","3373.00"," 20","2030.26"," 24","2584.17"," 26","2923.27","  -"
"TEARSPLUS                     10ML"," 13","927.26","  -","0.00","  -","0.00"," 13","927.26","  -"
"ZYMAR E/O                     5GM"," 10","740.20","  -","0.00","  -","0.00"," 10","740.20","  8"
" TOTAL","128","18660.75"," 55","5289.75"," 73","9373.73","110","14902.7","  0"
"","","","","","","","","",""
"AMERICAN PHARMA REMEDIES LLP","","","","","","","","",""
"DIANAREST AQUA                5S","  -","0.00"," 50","200.00"," 50","212.50","  -","0.00","  -"
" TOTAL","  0","0.00"," 50","200.00"," 50","212.50","  0","0.00","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML","  5","176.80"," 75","2652.00"," 25","982.50"," 55","1944.80","  5"
"AFLUR                         5ML"," 60","1574.50","  -","0.00","  -","0.00"," 60","1574.50","  -"
"APIDINE-5                     5ML"," 20","391.80","100","1789.00"," 70","1379.67"," 50","979.50","  -"
"APPAMIDE PLUS                 5ML"," 60","2290.91","  -","0.00","  -","0.00"," 60","2290.91","  -"
"APPAVISC 5ML                  5ML"," 90","4581.82","110","5600.00","140","8715.00"," 60","3054.55","  -"
"APPAVISC PFS 3ML              3ML"," 50","4465.50","  -","0.00"," 15","1353.75"," 35","3125.85","  -"
"APPAVISC VAIL 3ML             3ML"," 23","1008.45","165","7234.50"," 53","2840.80","135","5919.14","  -"
"ART                           10ML","109","6077.84","  -","0.00"," 75","4647.00"," 34","1895.84","  -"
"ART GEL                       10ML","111","5626.96","  -","0.00"," 89","5052.50"," 22","1115.25","  -"
"ART PLUS                      10ML"," 41","1807.28"," 75","3306.00"," 39","1872.02"," 77","3394.16","  -"
"B-CAINE 10ML                  1S"," 15","371.25","  -","0.00","  -","0.00"," 15","371.25","  -"
"C-PENT                        5ML"," 35","836.21","  -","0.00"," 10","318.60"," 25","597.29","  -"
"COHEVISC 1.4                  1S","  5","1500.00"," 10","3000.00","  3","1050.00"," 12","3600.00","  -"
"HYLOR                         1S"," 30","3030.00"," 50","5050.00"," 20","2253.00"," 60","6060.00","  -"
"MEE CLEAN                     200ML"," 20","800.00","  -","0.00","  -","0.00"," 20","800.00","  -"
"MIOCHOL 1ML                   1ML"," 16","308.51"," 22","424.20"," 20","471.40"," 18","347.07","  -"
