itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"ABBOTT HEALTHCARE PVT. LTD.","","","","","","","","",""
"NICODIN SOL                   500ML","  -","0.00","  5","550.00","  5","609.00","  -","0.00","  -"
" TOTAL","  0","0.00","  5","550.00","  5","609.00","  0","0.00","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML"," 11","1248.14","  -","0.00","  3","354.89","  8","907.74","  8"
"AQUALUBE                      10ML","  7","658.92","  -","0.00","  7","686.96","  -","0.00","  -"
"BRIVEX                        5ML","  2","625.78","  -","0.00","  2","652.41","  -","0.00","  -"
"GATE-P                        10ML"," 17","490.75","  -","0.00","  -","0.00"," 17","490.75","  -"
"LOTEL E/O                     5GM","  4","475.38","  -","0.00","  4","495.61","  -","0.00","  -"
"LOTEL GEL                     5ML"," 12","1313.33","  -","0.00","  3","342.30","  9","985.00","  9"
"OLOPAT                        5ML"," 11","1333.14","  -","0.00","  -","0.00"," 11","1333.14","  7"
"OLOPAT OD                     5ML","  9","1220.70","  -","0.00","  3","424.21","  6","813.80","  6"
"VIRSON GEL                    5GM"," 20","1933.77","  -","0.00","  2","201.61"," 18","1740.39"," 17"
" TOTAL"," 93","9299.90","  0","0.00"," 24","3157.99"," 69","6270.81","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"ENTISEP                       1000ML","  -","0.00","  1","92.00","  1","96.00","  -","0.00","  -"
"POVIKEM SCRUB                 500ML","  -","0.00","  2","374.00","  1","205.00","  1","187.00","  -"
" TOTAL","  0","0.00","  3","466.00","  2","301.00","  1","187.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"COMBIGAN                      5ML"," 14","4511.22","  -","0.00","  -","0.00"," 14","4511.22","  -"
"FML                           5ML"," 10","993.99","  -","0.00","  2","214.09","  8","795.19","  -"
"L-PRED                        5ML","  3","403.55","  -","0.00","  -","0.00","  3","403.55","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"OPTIVE                        10ML"," 13","1319.67","  -","0.00","  7","754.73","  6","609.08","  -"
"PREDFORTE                     10ML","  5","228.38"," 45","2055.42"," 30","1413.55"," 20","913.52","  -"
"REFRESH LIQUIGEL              10ML"," 14","2182.90"," 10","1559.22"," 13","2155.78"," 11","1715.14","  -"
"REFRESH TEARS                 10ML"," 21","2361.10"," 25","2810.83"," 39","4389.38","  7","787.03","  -"
"TEARSPLUS                     10ML"," 13","927.26","  -","0.00","  -","0.00"," 13","927.26","  -"
"ZYMAR E/O                     5GM"," 10","740.20","  -","0.00","  -","0.00"," 10","740.20","  8"
" TOTAL","108","15801.95"," 80","6425.47"," 91","8927.53"," 97","13535.8","  0"
"","","","","","","","","",""
"AMERICAN PHARMA REMEDIES LLP","","","","","","","","",""
"DIANAREST AQUA                5S","  -","0.00","100","400.00","  -","0.00","100","400.00","  -"
" TOTAL","  0","0.00","100","400.00","  0","0.00","100","400.00","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 28","990.08","  -","0.00","  -","0.00"," 28","990.08","  5"
"AFLUR                         5ML"," 60","1574.50"," 60","1574.50","120","3429.02","  -","0.00","  -"
"APIDINE-5                     5ML"," 50","979.50","  -","0.00"," 45","894.60","  5","97.95","  -"
"APPAMIDE PLUS                 5ML"," 35","1336.36","  -","0.00"," 25","1166.75"," 10","381.82","  -"
"APPAVISC 5ML                  5ML","  -","0.00","165","8400.00","155","9648.75"," 10","509.09","  -"
"APPAVISC PFS 3ML              3ML"," 20","1786.20"," 60","4871.40"," 80","7220.00","  -","0.00","  -"
"APPAVISC VAIL 3ML             3ML"," 50","2192.28","  -","0.00","  -","0.00"," 50","2192.28","  -"
"ART                           10ML"," 33","1840.08","-75","-4182.00","-75","0.00"," 33","1840.08","  -"
"ART GEL                       10ML"," 12","608.32","150","7604.00"," 64","7866.02"," 98","4967.94","  -"
"ART PLUS                      10ML"," 42","1851.36"," 75","3306.00"," 36","1800.01"," 81","3570.48","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  -","0.00","  5","123.75","  5"
"C-PENT                        5ML"," 64","1529.07","  -","0.00","  -","0.00"," 64","1529.07","  -"
"CLEARSOL 500ML                1S","  -","0.00","108","12744.00","108","14640.00","  -","0.00","  -"
"COHEVISC 1.4                  1S","  7","2100.00"," 70","21000.00"," 72","25200.00","  5","1500.00","  -"
"HYLOR                         1S"," 10","1010.00"," 50","5050.00"," 20","2253.00"," 40","4040.00","  -"
"MEE CLEAN                     200ML"," 20","800.00","  -","0.00","  -","0.00"," 20","800.00","  -"
"","","","","","","","","",""
"TOTAL","637","43823.34","851","68209.37","772","87113.67","716","42936.2","  0"
"","","","Continued .","","","","","",""
