itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML","  8","907.74","  -","0.00","  -","0.00","  8","907.74","  8"
"LOTEL GEL                     5ML","  9","985.00","  -","0.00","  -","0.00","  9","985.00","  9"
"OLOPAT                        5ML","  7","848.36","  -","0.00","  -","0.00","  7","848.36","  7"
"OLOPAT OD                     5ML","  6","813.80","  -","0.00","  -","0.00","  6","813.80","  6"
"VIRSON GEL                    5GM"," 17","1643.70","  -","0.00","  -","0.00"," 17","1643.70"," 17"
" TOTAL"," 47","5198.60","  0","0.00","  0","0.00"," 47","5198.60","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"PREDFORTE                     10ML","  1","45.68","  -","0.00","  -","0.00","  1","45.68","  -"
"REFRESH LIQUIGEL              10ML"," 11","1715.14","  -","0.00","  6","986.37","  5","779.61","  -"
"TEARSPLUS                     10ML","  3","213.98","  -","0.00","  -","0.00","  3","213.98","  -"
"ZYMAR E/O                     5GM"," 10","740.20","  -","0.00","  2","159.43","  8","592.16","  8"
" TOTAL"," 31","4983.19","  0","0.00","  8","1145.80"," 23","3899.62","  0"
"","","","","","","","","",""
"AMERICAN PHARMA REMEDIES LLP","","","","","","","","",""
"DIANAREST AQUA                5S","  -","0.00"," 50","200.00"," 50","212.50","  -","0.00","  -"
" TOTAL","  0","0.00"," 50","200.00"," 50","212.50","  0","0.00","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 35","1237.60","  -","0.00","  -","0.00"," 35","1237.60","  5"
"AFLUR                         5ML"," 60","1574.50"," 60","1574.50"," 60","1714.51"," 60","1574.50","  -"
"APIDINE-5                     5ML"," 50","979.50","  -","0.00"," 10","213.64"," 40","783.60","  -"
"APPAMIDE PLUS                 5ML"," 25","954.55","  -","0.00","  -","0.00"," 25","954.55","  -"
"APPAVISC 5ML                  5ML"," 60","3054.55","110","5600.00","110","6847.50"," 60","3054.55","  -"
"APPAVISC PFS 3ML              3ML","  2","178.62","150","12178.50","120","10830.00"," 32","2857.92","  -"
"APPAVISC VAIL 3ML             3ML","  -","0.00"," 55","2411.50","  -","0.00"," 55","2411.50","  -"
"ART GEL                       10ML","143","7249.14"," 75","3802.00","113","6558.11","105","5322.80","  -"
"ART PLUS                      10ML"," 72","3173.76"," 75","3306.00"," 76","3890.01"," 71","3129.68","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  -","0.00","  5","123.75","  5"
"C-PENT                        5ML"," 25","597.29"," 30","716.75"," 10","312.23"," 45","1075.13","  -"
"CLEARSOL 500ML                1S"," 24","2832.00","132","15576.00","108","15000.00"," 48","5664.00","  -"
"COHEVISC 1.4                  1S"," 10","3000.00","  5","1500.00"," 10","3500.00","  5","1500.00","  -"
"HYLOR                         1S"," 10","1010.00","100","10100.00"," 60","6759.00"," 50","5050.00","  -"
"MEGALUB                       10ML","  -","0.00"," 45","6750.00"," 15","2500.00"," 30","4500.00","  -"
"MIOCHOL 1ML                   1ML"," 39","751.99","  -","0.00"," 20","471.40"," 19","366.35","  -"
"MOXIFUR INJ 1ML               1ML"," 45","1735.77"," 33","1272.90"," 50","2357.00"," 28","1080.04","  -"
"MOXIFUR-LP                    5ML"," 24","1540.20"," 36","2310.30"," 18","1283.55"," 42","2695.35"," 24"
"MYOPED                        5ML"," 24","2811.40","  -","0.00","  2","292.86"," 22","2577.12","  -"
"RHEX-ID 1ML                   1ML","103","5429.04","132","6957.60","145","9342.35"," 90","4743.82","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  -","0.00","  2","1980.00","  -"
" TOTAL","758","40213.66","1038","74056.05","927","71872.16","869","52682.2","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
" TOTAL"," 12","900.00","  0","0.00","  0","0.00"," 12","900.00","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROMIDE PLUS                 5ML","  8","327.27","  -","0.00","  -","0.00","  8","327.27","  1"
"FLURES                        3ML"," 10","941.00","  -","0.00","  -","0.00"," 10","941.00"," 10"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  -"
