itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3M","","","","","","","","",""
"TRANSPORE                     1S","  -","0.00"," 24","1128.00"," 24","1272.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 24","1128.00"," 24","1272.00","  0","0.00","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML","  8","907.74","  -","0.00","  -","0.00","  8","907.74","  8"
"LOTEL GEL                     5ML","  9","985.00","  -","0.00","  -","0.00","  9","985.00","  9"
"OLOPAT                        5ML","  7","848.36","  -","0.00","  -","0.00","  7","848.36","  7"
"OLOPAT OD                     5ML","  6","813.80","  -","0.00","  -","0.00","  6","813.80","  6"
"VIRSON GEL                    5GM"," 17","1643.70","  -","0.00","  -","0.00"," 17","1643.70"," 17"
" TOTAL"," 47","5198.60","  0","0.00","  0","0.00"," 47","5198.60","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"ZYMAR E/O                     5GM","  8","592.16","  -","0.00","  -","0.00","  8","592.16","  8"
" TOTAL"," 14","2860.35","  0","0.00","  0","0.00"," 14","2860.35","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 35","1237.60"," 50","1768.00"," 70","2751.00"," 15","530.40"," 10"
"APIDINE PLUS                  5ML"," 25","489.75","  -","0.00","  -","0.00"," 25","489.75","  -"
"APIDINE-5                     5ML"," 15","293.85","  -","0.00"," 10","218.00","  5","97.95","  5"
"APPAMIDE PLUS                 5ML"," 20","763.64"," 33","1260.00"," 17","793.39"," 36","1374.54","  -"
"APPAVISC 5ML                  5ML"," 40","2036.36","165","8400.00","185","11516.25"," 20","1018.18","  -"
"APPAVISC PFS 3ML              3ML"," 50","4465.50","100","8931.00","150","14887.50","  -","0.00","  -"
"APPAVISC VAIL 3ML             3ML"," 55","2411.50"," 55","2411.50"," 55","2948.00"," 55","2411.50","  -"
"ART                           10ML"," 45","2509.20","  -","0.00"," 45","2788.20","  -","0.00","  -"
"ART GEL                       10ML"," 42","2129.12"," 75","3802.00"," 58","3345.80"," 59","2990.90","  -"
"ART PLUS                      10ML","101","4452.08","  -","0.00"," 13","720.01"," 88","3879.04","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  -","0.00","  5","123.75","  5"
"C-PENT                        5ML"," 69","1648.53","  -","0.00","  -","0.00"," 69","1648.53","  9"
"CLEARSOL 500ML                1S","  -","0.00"," 36","4248.00"," 26","3420.00"," 10","1180.00","  -"
"COHEVISC 1.4                  1S"," 10","3000.00"," 10","3000.00"," 20","7000.00","  -","0.00","  -"
"HYLOR                         1S"," 40","4040.00"," 20","2020.00"," 60","6759.00","  -","0.00","  -"
"MEGALUB                       10ML"," 30","4500.00","  -","0.00","  -","0.00"," 30","4500.00"," 30"
"MIOCHOL 1ML                   1ML","  8","154.25"," 33","636.30"," 40","942.80","  1","19.28","  -"
"MOXIFUR INJ 1ML               1ML"," 23","887.17"," 55","2121.50"," 50","2357.00"," 28","1080.04","  3"
"MOXIFUR-DM                    5ML"," 30","1205.75","  -","0.00"," 30","1339.75","  -","0.00","  -"
"MOXIFUR-K                     5ML"," 30","1626.50","  -","0.00"," 30","1807.50","  -","0.00","  -"
"MOXIFUR-LP                    5ML"," 42","2695.35","  -","0.00","  -","0.00"," 42","2695.35"," 42"
"MYOPED                        5ML"," 24","2811.40","  -","0.00","  6","717.51"," 18","2108.55","  -"
"RHEX-ID 1ML                   1ML"," 81","4269.44","176","9276.80","230","14818.90"," 27","1423.15","  1"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  -","0.00","  2","1980.00","  2"
" TOTAL","822","49730.74","808","47875.10","1095","79130.61","535","29550.9","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"LUBI-FRESH                    10ML","  -","0.00"," 60","3232.35"," 36","2110.92"," 24","1292.94","  -"
"NEPAFLO E/D                   5ML","  -","0.00"," 60","5445.00"," 36","3557.40"," 24","2178.00","  -"
" TOTAL"," 12","900.00","120","8677.35"," 72","5668.32"," 60","4370.94","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"ATROP                         5ML","  -","0.00"," 20","266.60","  -","0.00"," 20","266.60","  -"
"AUROMIDE                      5ML","  -","0.00"," 33","1171.80"," 25","1187.50","  8","284.07","  -"
"AUROMIDE PLUS                 5ML","  8","327.27"," 33","1350.00"," 40","2192.80","  1","40.91","  1"
"","","","","","","","","",""
"TOTAL","903","59016.97","1038","60468.85","1256","89451.23","685","42572.3","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"FLURES                        3ML"," 10","941.00","  -","0.00","  -","0.00"," 10","941.00"," 10"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML"," 30","1179.90"," 10","393.30"," 10","441.00"," 30","1179.90","  -"
"VOZOLE E/D                    30MG"," 20","4500.00","  -","0.00","  7","1936.48"," 13","2925.00","  2"
" TOTAL"," 73","7510.67"," 96","3181.70"," 82","5757.78"," 87","6199.98","  0"
"","","","","","","","","",""
"BAXTER INDIA PVT LTD","","","","","","","","",""
"DNS-500ML                     1S","  -","0.00","  2","49.00","  -","0.00","  2","49.00","  -"
" TOTAL","  0","0.00","  2","49.00","  0","0.00","  2","49.00","  0"
"","","","","","","","","",""
"BORN HEALTHCARE PVT LTD","","","","","","","","",""
"NS-500ML                      500ML","  1","23.50"," 10","235.00"," 10","250.00","  1","23.50","  1"
" TOTAL","  1","23.50"," 10","235.00"," 10","250.00","  1","23.50","  0"
"","","","","","","","","",""
"CADILA","","","","","","","","",""
"DEXASONE 2ML                  2ML","  -","0.00"," 10","63.00"," 10","70.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 10","63.00"," 10","70.00","  0","0.00","  0"
"","","","","","","","","",""
"CARE GROUP","","","","","","","","",""
"CANNULA NEEDLE                1S","270","270.00","  -","0.00","  -","0.00","270","270.00","270"
"CARELUB                       10ML"," 59","4068.05","-59","-4555.98","  -","0.00","  -","0.00","  -"
"CARELUB-DS                    10ML"," 33","2275.35","-33","-2275.35","  -","0.00","  -","0.00","  -"
"CONTACAINE SOL                5ML"," 24","802.32","-14","-468.02","  -","0.00"," 10","334.30"," 10"
"CONTASOL BSS(PP)              250ML"," 24","1425.60","  -","0.00"," 24","1608.00","  -","0.00","  -"
"CONTASOL BSS(PP)              500ML","  1","110.00","  -","0.00","  -","0.00","  1","110.00","  1"
"CONTASOL GLASS 500ML          1'S","  7","824.18"," -6","-791.22","  -","0.00","  1","117.74","  1"
"FLUO STRIPS                   100S","  4","600.00"," 25","3750.00"," 29","4815.00","  -","0.00","  -"
"MOCARE-LP                     5ML"," 60","4137.00","-48","-3706.56","  -","0.00"," 12","827.40"," 12"
"NEPACON                       5ML"," 48","3298.56","  -","0.00","  -","0.00"," 48","3298.56"," 48"
"ROSE BENGAL STRIPS            100S","  2","400.00","  -","0.00","  -","0.00","  2","400.00","  2"
"TEAR STRIPS                   100S","  2","400.00","  -","0.00","  -","0.00","  2","400.00","  2"
" TOTAL","534","18611.06","-135","-8047.13"," 53","6423.00","346","5758.00","  0"
"","","","","","","","","",""
"CIPLA","","","","","","","","",""
"ITRANOX 200                   4S"," 40","1724.80","  -","0.00","  -","0.00"," 40","1724.80"," 40"
"OMNIX 200DT                   10S"," 10","567.08","  -","0.00","  -","0.00"," 10","567.08"," 10"
"OMNIX-O TAB                   10S","  1","77.78","  -","0.00","  -","0.00","  1","77.78","  1"
" TOTAL"," 51","2369.66","  0","0.00","  0","0.00"," 51","2369.66","  0"
"","","","","","","","","",""
"CLARIS OSTUKA","","","","","","","","",""
"RL-500ML                      1S","  -","0.00"," 56","1503.60"," 56","1568.00","  -","0.00","  -"
"ST WATER 10ML                 50","  1","107.00","  1","107.00","  2","230.00","  -","0.00","  -"
" TOTAL","  1","107.00"," 57","1610.60"," 58","1798.00","  0","0.00","  0"
"","","","","","","","","",""
"DIAMOND MEDI CARE","","","","","","","","",""
"DI.BUFFANT CAP BL             1'S","  -","0.00","100","150.00","100","180.00","  -","0.00","  -"
"","","","","","","","","",""
"TOTAL","1555","87311.59","1092","54922.62","1504","100549.71","1143","56380.9","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..3","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"DI.EYE PAD 6*6                1S"," 50","500.00","  -","0.00","  -","0.00"," 50","500.00"," 50"
" TOTAL"," 50","500.00","100","150.00","100","180.00"," 50","500.00","  0"
"","","","","","","","","",""
"DISPOVAN","","","","","","","","",""
"DISPOVAN 2ML SYG              1S","200","350.00","700","1225.00","900","1680.00","  -","0.00","  -"
"DISPOVAN NDL 24               100S","  -","0.00","  2","139.00","  2","150.00","  -","0.00","  -"
"DISPOVAN NDL 26               100S","  3","213.00","  7","491.00"," 10","755.00","  -","0.00","  -"
"DISPOVAN SYG 10ML             1S","  -","0.00","100","365.00","100","387.50","  -","0.00","  -"
"DISPOVAN SYG 5ML              1S","  -","0.00","200","470.00","200","490.00","  -","0.00","  -"
" TOTAL","203","563.00","1009","2690.00","1212","3462.50","  0","0.00","  0"
"","","","","","","","","",""
"ENTOD PHAMA(ENSIGHT)","","","","","","","","",""
"AB-PRESS PF                   10ML"," 24","5625.45","  -","0.00"," 14","3668.75"," 10","2343.94","  -"
"ABPRESS                       5ML","  1","144.50","  -","0.00","  -","0.00","  1","144.50","  -"
"ADBROM                        5ML"," 78","5390.46"," 75","5183.14"," 72","5478.20"," 81","5597.79","  1"
"CATAGON                       10ML"," 57","3075.62","-14","-799.16","  2","1316.03"," 41","2212.29","  -"
"CYCLOFEZ                      5ML"," 34","1420.86","  -","0.00","  9","415.08"," 25","1044.75","  -"
"E-FLO DROPS                   5ML","  1","54.19"," 75","4064.01"," 30","2107.25"," 46","2492.59","  1"
"ENGATT DM                     5ML","  -","0.00"," 25","1328.99"," 25","1919.75","  -","0.00","  -"
"ENGATT E/D                    5ML"," 56","2618.28","  -","0.00"," 42","1679.92"," 14","654.57","  6"
"ENLUBE                        10ML"," 17","1272.30"," 75","5613.07"," 70","6330.81"," 22","1646.50","  -"
"ENLUBE FUSION E/D             5ML"," 17","1488.75"," 25","2189.34"," 25","3778.25"," 17","1488.75"," 17"
"ENMOX KT                      5ML","  -","0.00"," 25","1902.62"," 25","2748.25","  -","0.00","  -"
"ENTRAK SOOTHE                 5GM"," 34","6375.51","  -","0.00"," 25","5242.50","  9","1687.64","  9"
"FLUBI E/D                     5ML","  6","283.31"," 25","1180.47"," 31","1295.28","  -","0.00","  -"
"FLUBICHLOR E/D                5ML"," 14","688.10","-14","-717.57","  -","0.00","  -","0.00","  -"
"FLUBIGAT                      5ML","  2","108.76","  -","0.00","  -","0.00","  2","108.76","  2"
"FLUCOCID                      5ML"," 15","515.85","  -","0.00"," 15","573.15","  -","0.00","  -"
"GANCIGEL                      5GM"," 40","3314.60"," -9","-632.52"," 18","2201.98"," 13","1077.25"," 13"
"HOMACID                       5ML"," 10","228.20","350","7598.50","310","7356.00"," 50","1141.00","  -"
"LACRYL HYDRATE                10ML","  1","268.39","  -","0.00","  -","0.00","  1","268.39","  1"
"LACRYL SOOTHE                 10ML","  4","258.06"," -3","-205.71"," -3","0.00","  4","258.06","  4"
"LACRYL ULTRA E/D              10ML"," 22","4820.77","  -","0.00","  5","1419.81"," 17","3725.14","  -"
"LACRYL-PF                     5GM"," 77","5049.07","164","10630.93","213","18981.99"," 28","1836.03","  -"
"LACRYL-PLUS                   10ML"," 18","761.85","-11","-426.42"," -5","0.00"," 12","507.90"," 12"
"LOT OINTMENT                  5GM","  4","278.01","480","33361.34","276","22305.15","208","14456.5","  -"
"LOT-LS                        5ML"," 12","739.36","  -","0.00"," 12","804.97","  -","0.00","  -"
"MACUSHIELD TAB                10S"," 11","876.28","  -","0.00","  -","0.00"," 11","876.28"," 11"
"MOTOGRAM E/D                  5ML","  6","630.05","  -","0.00","  -","0.00","  6","630.05","  6"
"MYATRO E/D                    5ML"," 11","1363.44"," 28","3453.67","  -","1754.79"," 39","4834.01","  -"
"NATACIN                       5ML"," 21","1765.16","  -","0.00"," 11","1103.49"," 10","840.55","  -"
"OMEFLOX E/D                   5ML","  6","180.96","  -","0.00","  -","0.00","  6","180.96","  6"
"OMEFLOX OINT                  5GM"," 55","2174.70","  -","0.00","  -","0.00"," 55","2174.70","  -"
"OMEFLOX-BM                    5GM"," 60","983.40","  -","0.00"," 60","1070.75","  -","0.00","  -"
"OPTICOOL E/D                  10ML"," 62","3387.93"," 75","4098.30"," 56","3052.11"," 81","4426.16","  -"
"PRESS-DT                      10S","  -","0.00"," 20","502.40","  -","0.00"," 20","552.00","  -"
"RHOPRESS E/D                  2.5ML","  6","1398.20","-12","-2796.40"," -6","0.00","  -","0.00","  -"
"SOLINE 5                      10ML"," 23","1236.58","154","8279.69","147","9366.31"," 30","1612.93","  -"
"SOLINE-6                      3GM"," 48","4035.16"," 40","3362.63"," 71","7176.52"," 17","1429.12","  -"
"T-1                           3ML"," 10","1554.75","  -","0.00","  3","761.79","  7","1088.32","  -"
"TIMOL P                       10ML"," 22","1001.88","100","4526.55"," 77","3501.75"," 45","2049.30","  -"
"TOBAGRAM-D                    5ML","  -","0.00"," 25","1217.64"," 25","1759.00","  -","0.00","  -"
" TOTAL","885","65368.73","1698","92915.51","1655","119169.63","928","63386.8","  0"
"","","","","","","","","",""
"TOTAL","2693","153743.32","3799","150528.13","4371","223181.84","2121","120267.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..4","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"ENTOD PHARMA-G TECH","","","","","","","","",""
"AUDIOVIT CAP                  10S"," 27","4122.55","  -","0.00"," 12","2035.70"," 15","2290.31","  -"
"AZENATE NASAL SPRAY           9.8ML","  1","192.34"," -1","-192.34","  -","0.00","  -","0.00","  -"
"E-SALIVA PLUS MOUTHSPRAY      15ML"," 24","3021.40","-15","-1742.68","  5","814.12","  4","503.57","  -"
"FEXAGON PLUS TAB              10S"," 50","3549.46","  -","0.00"," 18","1391.21"," 32","2271.65","  -"
"MOMFIT NASAL SPRAY            10ML","  1","131.25"," -1","-131.24","  -","0.00","  -","0.00","  -"
"NASOLINE NASAL SPRAY          10ML","  4","103.94"," -1","-25.99"," -1","0.00","  4","103.94","  4"
"ORINASE-A                     10ML"," 24","841.86","  -","0.00"," 24","896.70","  -","0.00","  -"
"OTOBIOTIC                     5ML","105","7032.06"," 50","3348.60","116","8428.08"," 39","2611.91","  1"
"OTOBIOTIC PLUS NEW            5ML"," 21","810.08","  -","0.00"," 19","855.28","  2","77.15","  1"
"OTOFUNGIN E/D                 10ML"," 68","2622.60","-68","-2622.70","  -","0.00","  -","0.00","  -"
"OTOGON EAR DROPS              10ML","  2","191.80","  -","0.00","  2","248.04","  -","0.00","  -"
"RHINASE NASAL DROPS           10ML","  2","143.58"," -2","-143.58","  -","0.00","  -","0.00","  -"
"TINNITOD CAP                  10S"," 14","2662.66","  -","0.00","  7","1739.49","  7","1331.33","  -"
"WAXONIL ACTIV                 10ML"," 42","3220.98","  -","0.00"," 42","3060.99","  -","0.00","  -"
"WAXONIL KID                   10ML"," 14","775.36"," -1","-55.38"," 12","784.00","  1","55.38","  1"
" TOTAL","399","29421.93","-39","-1565.31","256","20253.61","104","9245.24","  0"
"","","","","","","","","",""
"ENTOD PHARMACEUTICALS LTD","","","","","","","","",""
"4QUIN                         5ML"," 16","1069.81"," -8","-557.11"," -7","99.40"," 15","1002.95"," 15"
"4QUIN E/O                     5GM","  2","105.16","  -","0.00","  2","133.65","  -","0.00","  -"
"4QUIN KT E/D                  5ML"," 20","1280.44","  -","0.00","  1","83.65"," 19","1216.42"," 19"
"4QUIN-D                       5ML"," 35","1500.17"," -1","-49.45"," -1","0.00"," 35","1500.17"," 35"
"EYECIRQUE PRO                 1S"," 13","3425.26","  -","0.00","  9","3027.08","  4","1053.93","  4"
"EYETAMIN SYP                  200ML","  6","822.20","  -","0.00","  -","0.00","  6","822.20","  -"
"HYLA PF                       10ML"," 11","3518.08","  -","0.00","  1","413.64"," 10","3198.25","  -"
"HYSIGHT                       5ML"," 26","2751.40","-26","-2754.04","  -","0.00","  -","0.00","  -"
"I-BORIC                       10ML"," 36","1984.91","  -","0.00","  2","140.65"," 34","1874.63"," 34"
"I-DEW DS                      10ML","  5","474.41"," 23","2217.22"," 12","1455.29"," 16","1518.12","  1"
"I-DEW MEGA CAP                10S"," 12","1446.51","-20","-2410.57"," -8","0.00","  -","0.00","  -"
