itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3M","","","","","","","","",""
"TRANSPORE                     1S","  -","0.00"," 24","1056.00"," 24","1200.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 24","1056.00"," 24","1200.00","  0","0.00","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML","  -","0.00"," 14","1588.54","  3","354.89"," 11","1248.14","  -"
"DIFLUMOX                      5ML"," 28","4173.56"," 14","2086.78"," 28","4351.16"," 14","2086.78","  -"
"GATE-P                        10ML","  -","0.00"," 20","577.35","  3","90.29"," 17","490.75","  -"
"KETOGATE                      5ML","  6","564.00"," 28","2632.00"," 20","1960.00"," 14","1316.00","  -"
"LOTEL GEL                     5ML","  -","0.00"," 14","1532.22","  -","0.00"," 14","1532.22","  -"
"VIRSON GEL                    5GM","  -","0.00"," 20","1933.77","  -","0.00"," 20","1933.77","  -"
" TOTAL"," 34","4737.56","110","10350.66"," 54","6756.34"," 90","8607.66","  0"
"","","","","","","","","",""
"ALKEM HEALTH SCIENCES","","","","","","","","",""
"M 20                          1S","  -","0.00"," 12","306.00"," 12","330.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 12","306.00"," 12","330.00","  0","0.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"COMBIGAN                      5ML"," 18","5800.14","  -","0.00","  1","343.24"," 17","5477.91","  -"
"FML                           5ML"," 10","993.99","  -","0.00","  -","0.00"," 10","993.99","  -"
"L-PRED                        5ML","  5","672.58","  -","0.00","  -","0.00","  5","672.58","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"OPTIVE                        10ML"," 20","2030.26","  -","0.00","  2","214.06"," 18","1827.23","  -"
"REFRESH LIQUIGEL              10ML","  6","935.53","  -","0.00","  3","445.29","  3","467.76","  -"
"REFRESH TEARS                 10ML"," 17","1911.37","  -","0.00"," 16","1723.52","  1","112.43","  -"
"TEARSPLUS                     10ML","  8","570.62","  -","0.00","  -","0.00","  8","570.62","  -"
"ZYMAR E/O                     5GM"," 10","740.20","  -","0.00","  -","0.00"," 10","740.20","  -"
" TOTAL"," 99","15788.36","  0","0.00"," 22","2726.11"," 77","12996.4","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 25","884.00"," 25","884.00"," 20","778.14"," 30","1060.80","  -"
"AFLUR                         5ML"," 60","1574.50","  -","0.00","  -","0.00"," 60","1574.50","  -"
"APIDINE-5                     5ML"," 50","979.50","  -","0.00"," 25","497.00"," 25","489.75","  -"
"APPAMIDE PLUS                 5ML"," 60","2290.91","  -","0.00","  -","0.00"," 60","2290.91","  -"
"APPAVISC 5ML                  5ML"," 75","3818.18"," 55","2800.00"," 65","4015.12"," 65","3309.09","  -"
"APPAVISC PFS 3ML              3ML"," 30","2679.30"," 50","4059.50"," 30","2707.50"," 50","4465.50","  -"
"APPAVISC VAIL 3ML             3ML"," 80","3507.64","  -","0.00"," 20","1072.00"," 60","2630.73","  -"
"ART                           10ML"," 34","1895.84","  -","0.00","  -","0.00"," 34","1895.84","  -"
"ART GEL                       10ML"," 60","3041.60"," 75","3802.00"," 28","1656.00","107","5424.18","  -"
"ART PLUS                      10ML"," 67","2953.36","  -","0.00"," 13","720.01"," 54","2380.32","  -"
"C-PENT                        5ML"," 30","716.75"," 60","1433.50"," 30","949.43"," 60","1433.50","  -"
"CLEARSOL 500ML                1S"," 24","2832.00","  -","0.00"," 12","1800.00"," 12","1416.00","  -"
"COHEVISC 1.4                  1S","  5","1500.00","  -","0.00","  -","0.00","  5","1500.00","  -"
"HYLOR                         1S"," 30","3030.00","200","20200.00","130","14644.50","100","10100.0","  -"
"MEE CLEAN                     200ML"," 20","800.00","  -","0.00","  -","0.00"," 20","800.00","  -"
"MIOCHOL 1ML                   1ML","  4","77.13"," 55","1060.50"," 20","471.40"," 39","751.99","  -"
"MOXIFUR INJ 1ML               1ML"," 36","1388.62"," 88","3394.40"," 60","2818.97"," 64","2468.65","  -"
"MOXIFUR-LP                    5ML"," 24","1540.20","  -","0.00","  -","0.00"," 24","1540.20"," 24"
"MYOPED                        5ML"," 27","3162.83","  -","0.00","  -","0.00"," 27","3162.83","  -"
"RHEX-ID 1ML                   1ML"," 28","1475.85","231","12175.80","149","9600.07","110","5798.00","  -"
"SUPRACOAT PLUS                1ML","  -","0.00","  2","1980.00","  1","1200.00","  1","990.00","  -"
" TOTAL","769","40148.21","841","51789.70","603","42930.14","1007","55482.8","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"","","","","","","","","",""
"TOTAL","914","61574.13","987","63502.36","715","53942.59","1186","77986.8","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"LUBI-FRESH                    10ML"," 24","1292.94","  -","0.00","  -","0.00"," 24","1292.94","  -"
"MOXAP-LP                      5ML"," 36","3166.02","  -","0.00","  -","0.00"," 36","3166.02","  -"
" TOTAL"," 72","5358.96","  0","0.00","  0","0.00"," 72","5358.96","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AURO CMC                      10ML"," 36","2250.00","  -","0.00","  -","0.00"," 36","2250.00","  -"
"AUROCARPINE 0.5%              1ML"," 10","170.00","  -","0.00","  5","90.00","  5","85.00","  -"
"AUROFLUR                      5ML"," 28","874.87","  -","0.00","  2","86.24"," 26","812.38","  -"
"AUROHOM                       5ML","  -","0.00"," 20","433.20"," 20","520.00","  -","0.00","  -"
"AUROMIDE PLUS                 5ML","  -","0.00"," 55","2062.50"," 55","2640.00","  -","0.00","  -"
"HYLUBE"," 11","1406.20","  -","0.00","  -","0.00"," 11","1406.20","  -"
"LID CLEAN                     50ML"," 30","3375.00","  -","0.00","  -","0.00"," 30","3375.00","  -"
"LOBONATE E/D                  5ML"," 11","892.80","  -","0.00","  -","0.00"," 11","892.80","  -"
"MFLOX                         5ML"," 11","460.28","  -","0.00","  -","0.00"," 11","460.28","  -"
"NPACT E/D                     5ML"," 11","1116.00","  -","0.00","  -","0.00"," 11","1116.00","  -"
"PILO                          5ML","  2","78.66","  -","0.00","  -","0.00","  2","78.66","  -"
"VOZOLE E/D                    30MG","  4","900.00"," 10","2062.50"," 12","3157.44","  2","450.00","  1"
"VOZOLE PF                     1MG","  3","450.00","  -","0.00","  -","0.00","  3","450.00","  -"
" TOTAL","157","11973.81"," 85","4558.20"," 94","6493.68","148","11376.3","  0"
"","","","","","","","","",""
"BORN HEALTHCARE PVT LTD","","","","","","","","",""
"NS-500ML                      500ML","  1","23.50","  -","0.00","  -","0.00","  1","23.50","  1"
" TOTAL","  1","23.50","  0","0.00","  0","0.00","  1","23.50","  0"
"","","","","","","","","",""
"CARE GROUP","","","","","","","","",""
"BLUERHEXIX                    5S","  2","425.45"," 11","2340.00","  9","2340.00","  4","850.91","  -"
"CANNULA NEEDLE                1S","320","320.00","  -","0.00","  -","0.00","320","320.00","155"
"CARELUB                       10ML","131","9032.45","  -","0.00","  -","0.00","131","9032.45","  -"
"CARELUB-DS                    10ML"," 36","2482.20","  -","0.00","  -","0.00"," 36","2482.20","  -"
"CONTACAINE SOL                5ML"," 38","1270.34","  -","0.00","  -","0.00"," 38","1270.34","  -"
"CONTADINE SOL                 5ML"," 12","231.48","  -","0.00","  -","0.00"," 12","231.48","  -"
"CONTASOL BSS(PP)              250ML","120","7128.00","  -","0.00"," 24","1584.00"," 96","5702.40","  -"
"CONTASOL BSS(PP)              500ML"," 97","10670.00","  -","0.00"," 48","5865.60"," 49","5390.00","  1"
"CONTASOL GLASS 500ML          1'S"," 13","1530.62","  -","0.00","  6","872.16","  7","824.18","  1"
"FLUO 300                      1S","  -","0.00","  5","1980.00","  -","0.00","  5","1980.00","  -"
"FLUO STRIPS                   100S"," 14","2100.00","  -","0.00"," 12","1910.00","  2","300.00","  -"
"FLUORESCEIN INJ 2ML           12S","  -","0.00","  1","495.00","  -","0.00","  1","495.00","  -"
"IMMUX EFFERVESCENT TABLETS    20S"," 40","10677.60","  -","0.00","  -","0.00"," 40","10677.6","  -"
"MOCARE E/D                    5ML"," 12","700.20","  -","0.00"," 12","864.36","  -","0.00","  -"
"MOCARE-DX                     5ML"," 36","1978.92","  -","0.00","  -","0.00"," 36","1978.92","  -"
"MOCARE-LP                     5ML"," 60","4137.00","  -","0.00","  -","0.00"," 60","4137.00"," 12"
"NEPACON                       5ML"," 48","3298.56","  -","0.00","  -","0.00"," 48","3298.56"," 48"
"ROSE BENGAL STRIPS            100S","  2","400.00","  -","0.00","  -","0.00","  2","400.00","  -"
"TROPICARE PLUS                5ML"," 12","366.48","  -","0.00","  -","0.00"," 12","366.48","  -"
"VISCOLON VAILS                5ML"," 20","892.94","110","4554.00"," 50","2700.00"," 80","3571.77","  -"
" TOTAL","1013","57642.25","127","9369.00","161","16136.12","979","53309.2","  0"
"","","","","","","","","",""
"CIPLA","","","","","","","","",""
"ITRANOX 200                   4S"," 40","1724.80","  -","0.00","  -","0.00"," 40","1724.80"," 40"
"OMNIX 200DT                   10S"," 10","567.08","  -","0.00","  -","0.00"," 10","567.08"," 10"
"OMNIX-O TAB                   10S","  1","77.78","  -","0.00","  -","0.00","  1","77.78","  1"
"","","","","","","","","",""
"TOTAL","2196","138042.31","1199","77429.56","970","76572.39","2425","149524.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..3","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
" TOTAL"," 51","2369.66","  0","0.00","  0","0.00"," 51","2369.66","  0"
"","","","","","","","","",""
"CLARIS OSTUKA","","","","","","","","",""
"MANNITOL 100ML                1S","  -","0.00","  5","125.00","  5","135.00","  -","0.00","  -"
"RL-500ML                      1S","  -","0.00"," 25","625.00"," 25","662.50","  -","0.00","  -"
"ST WATER 10ML                 50","  -","0.00","  1","95.00","  1","104.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 31","845.00"," 31","901.50","  0","0.00","  0"
"","","","","","","","","",""
"DIAMOND MEDI CARE","","","","","","","","",""
"DI.BUFFANT CAP BL             1'S","  -","0.00","400","640.00","400","760.00","  -","0.00","  -"
"DI.EYE DRAPE 50*40            20S","  -","0.00"," 50","900.00"," 50","1150.00","  -","0.00","  -"
"DI.SHOE COVER                 1S","  -","0.00","200","320.00","200","360.00","  -","0.00","  -"
"DI.TROLLEY DRAPE GR100*75     1S","  -","0.00"," 50","1000.00"," 50","1200.00","  -","0.00","  -"
" TOTAL","  0","0.00","700","2860.00","700","3470.00","  0","0.00","  0"
"","","","","","","","","",""
"DISPOVAN","","","","","","","","",""
"DISPOVAN 2ML SYG              1S","200","350.00","100","175.00","200","370.00","100","175.00","  -"
"DISPOVAN NDL 24               100S","  -","0.00","  5","340.00","  5","375.00","  -","0.00","  -"
"DISPOVAN NDL 26               100S","  -","0.00","  7","476.00","  6","450.00","  1","71.00","  -"
" TOTAL","200","350.00","112","991.00","211","1195.00","101","246.00","  0"
"","","","","","","","","",""
"DYNAMIC TECHNO MEDICALS PVT LTD","","","","","","","","",""
"KNEECAP TYNOR L               1P","  1","175.00","  -","0.00","  -","0.00","  1","175.00","  -"
" TOTAL","  1","175.00","  0","0.00","  0","0.00","  1","175.00","  0"
"","","","","","","","","",""
"ENTOD PHAMA(ENSIGHT)","","","","","","","","",""
"AB-PRESS PF                   10ML"," 12","2812.73","  -","0.00","  7","1834.37","  5","1171.97","  -"
"ADBROM                        5ML"," 10","691.09","  -","0.00","  5","479.52","  5","345.54","  -"
"CATAGON                       10ML"," 30","1618.75"," 70","3777.00"," 26","1891.78"," 74","3992.91","  -"
"CYCLOFEZ                      5ML"," 37","1546.23"," 50","2089.50"," 65","2976.16"," 22","919.38","  -"
"E-FLO DROPS                   5ML"," 23","1246.30","  -","0.00","  -","0.00"," 23","1246.30","  -"
"ENGATT E/D                    5ML"," 19","888.35","140","4725.00"," 84","3292.80"," 75","3506.63","  3"
"ENLUBE                        10ML"," 35","2619.43"," 70","4978.50"," 32","2757.71"," 73","5463.39","  -"
"ENLUBE FUSION E/D             5ML","  -","0.00"," 70","6282.50"," 39","4097.40"," 31","2714.78","  -"
"ENTRAK SOOTHE                 5GM"," 37","6938.06","  -","0.00"," 11","2344.99"," 26","4875.39","  -"
"FLUBI E/D                     5ML","  -","0.00"," 30","1298.50"," 12","565.56"," 18","849.94","  -"
"FLUBICHLOR E/D                5ML"," 15","737.25","  -","0.00","  -","0.00"," 15","737.25","  -"
"FLUCOCID                      5ML","  -","0.00"," 70","1719.53"," 70","1872.29","  -","0.00","  -"
"FLUNATOD 10                   10S"," 32","772.80"," 70","1690.50"," 94","2535.75","  8","193.20","  -"
"GANCIGEL                      5GM"," 14","1160.11","  -","0.00","  -","0.00"," 14","1160.11","  -"
"HOMACID                       5ML"," 53","1209.46","  -","0.00"," 29","688.54"," 24","547.68","  -"
"LACRYL SOOTHE                 10ML"," 20","1290.31","  -","0.00","  -","0.00"," 20","1290.31","  -"
"LACRYL ULTRA E/D              10ML"," 10","2191.26"," 24","5258.60"," 21","5150.43"," 13","2848.64","  -"
"LACRYL-PF                     5GM","  3","196.72","224","15342.02","116","9327.10","111","7278.54","  -"
"LACRYL-PLUS                   10ML"," 13","550.23","  -","0.00","  9","403.21","  4","169.30","  -"
"MOTOGRAM E/D                  5ML"," 22","2310.18","  -","0.00","  -","0.00"," 22","2310.18","  -"
"MYATRO E/D                    5ML"," 23","2850.83","  -","0.00"," 20","2589.23","  3","371.85","  -"
"NATACIN                       5ML","  2","168.11","140","8359.21"," 53","3295.95"," 89","7480.91","  -"
"OMEFLOX E/D                   5ML","  -","0.00"," 65","1960.50"," 62","2178.50","  3","90.48","  -"
"","","","","","","","","",""
"TOTAL","2807","170365.47","3065","139606.92","2667","130420.18","3205","199510.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..4","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"OPTICOOL E/D                  10ML","  5","273.22"," 70","3503.50"," 39","2335.80"," 36","1967.18","  -"
"PRESS-DT                      10S","  5","138.00"," 20","502.40","  -","0.00"," 25","690.00","  -"
"SOLINE 5                      10ML","  8","430.11","255","9835.42","215","9237.64"," 48","2580.68","  -"
"SOLINE-6                      3GM"," 44","3698.90"," 30","2491.00"," 30","2734.54"," 44","3698.90","  -"
"T-1                           3ML","  8","1243.80","  -","0.00","  -","0.00","  8","1243.80","  -"
"TIMOL P                       10ML"," 34","1548.36","135","4371.00","123","4405.13"," 46","2094.84","  -"
"TOBRACID E/D                  5ML","  -","0.00"," 30","1225.75"," 12","533.90"," 18","882.54","  -"
"TROMIDE-PLUS                  5ML","  -","0.00"," 39","1591.20"," 13","589.30"," 26","1149.30","  -"
" TOTAL","514","39130.55","1602","81001.63","1187","68117.60","929","63871.9","  0"
"","","","","","","","","",""
"ENTOD PHARMA-G TECH","","","","","","","","",""
"AUDIOVIT CAP                  10S"," 84","12825.72"," 60","9161.23","114","18199.38"," 30","4580.62","  -"
"AZENATE NASAL SPRAY           9.8ML"," 25","4808.51","  -","0.00","  -","0.00"," 25","4808.51","  -"
"E-SALIVA PLUS MOUTHSPRAY      15ML"," 10","1258.92"," 30","3439.53","  6","741.37"," 34","4280.32","  -"
"ENTOMED PLUS CAP              10S"," 14","502.48","  -","0.00","  -","0.00"," 14","502.48","  -"
"FEXAGON PLUS TAB              10S"," 24","1703.74","  -","0.00","  -","0.00"," 24","1703.74","  -"
"MEFENTOD-P SYP                60ML","  6","161.21","  -","0.00","  -","0.00","  6","161.21","  -"
"MOMFIT NASAL SPRAY            10ML"," 12","1575.00","  -","0.00","  -","0.00"," 12","1575.00","  -"
"NASOLINE NASAL SPRAY          10ML"," 30","779.56","  -","0.00"," 12","339.47"," 18","467.74","  -"
"ORINASE-A                     10ML"," 30","1052.33","  -","0.00","  -","0.00"," 30","1052.33","  -"
"OTOBIOTIC                     5ML","118","7902.70","130","7392.70","159","10703.67"," 89","5960.51","  -"
"OTOBIOTIC PLUS                5ML","  -","0.00"," 30","1059.08","  -","0.00"," 30","1059.08","  -"
"OTOFUNGIN E/D                 10ML","  3","115.70"," 65","2506.90","  -","0.00"," 68","2622.60","  -"
"OTOGON EAR DROPS              10ML"," 12","1150.79","  -","0.00","  -","0.00"," 12","1150.79","  -"
"RHINASE NASAL DROPS           10ML","  6","430.73","  -","0.00","  4","379.01","  2","143.58","  -"
"RHINOFIT-F                    6GMS","  6","1221.45","  -","0.00","  -","0.00","  6","1221.45","  -"
"TINNITOD CAP                  10S"," 21","3994.00"," 60","10427.83"," 69","13149.55"," 12","2282.28","  -"
"WAXONIL ACTIV                 10ML"," 16","1227.04"," 65","3834.35"," 12","852.10"," 69","5291.61","  -"
"WAXONIL KID                   10ML","  8","443.06"," 65","3599.86","  6","392.00"," 67","3710.63","  -"
