itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3MIL","","","","","","","","",""
"AUTOGLAVE TAPE 3M             1S","  1","270.00","  -","0.00","  -","0.00","  1","270.00","  1"
" TOTAL","  1","270.00","  0","0.00","  0","0.00","  1","270.00","  0"
"","","","","","","","","",""
"AICE HEALTH CARE PVT LTD","","","","","","","","",""
"ALLEVION MAX                  5ML"," 17","3060.00","  -","0.00","  -","0.00"," 17","3060.00"," 17"
"COMFORTZ                      10ML"," 65","5416.66","  -","0.00"," 31","2865.19"," 34","2833.33","  -"
"COMFORTZ EYE MASK             1'S"," 10","1607.10","  -","0.00","  -","0.00"," 10","1607.10","  -"
"COMFORTZ-HA                   10ML"," 39","8022.82","  -","0.00","  -","0.00"," 39","8022.82"," 39"
"RELIVION                      3ML"," 30","5014.20","  -","0.00","  -","0.00"," 30","5014.20"," 30"
" TOTAL","161","23120.78","  0","0.00"," 31","2865.19","130","20537.4","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"OLOPAT OD                     5ML","  3","406.90","  -","0.00","  -","0.00","  3","406.90","  3"
" TOTAL","  3","406.90","  0","0.00","  0","0.00","  3","406.90","  0"
"","","","","","","","","",""
"AMNEAL HEALTHCARE PVT LTD","","","","","","","","",""
"BRINZNEAL                     5ML"," 15","3053.00","  -","0.00","  -","0.00"," 15","3053.00"," 15"
"BRITNEAL                      5ML"," 30","4178.00","  -","0.00","  -","0.00"," 30","4178.00","  -"
"CLARNEAL CAP                  30'S"," 20","4880.00","  -","0.00","  -","0.00"," 20","4880.00"," 20"
"LOTENEAL                      5ML"," 30","3759.00","  -","0.00","  -","0.00"," 30","3759.00"," 30"
"MACUNEAL TAB                  10'S"," 20","1952.00","  -","0.00","  -","0.00"," 20","1952.00"," 20"
"MOXNEAL                       5ML"," 50","6105.00","  -","0.00","  -","0.00"," 50","6105.00","  -"
"MOXNEAL-L                     5ML"," 20","2570.00","  -","0.00","  -","0.00"," 20","2570.00"," 20"
"NEPANEAL                      5ML"," 30","4242.00","  -","0.00","  -","0.00"," 30","4242.00"," 30"
"OLONEAL                       5ML"," 30","3567.00","  -","0.00","  -","0.00"," 30","3567.00"," 30"
"TRAVNEAL                      5ML"," 30","5784.00","  -","0.00","  -","0.00"," 30","5784.00"," 30"
" TOTAL","275","40090.00","  0","0.00","  0","0.00","275","40090.0","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 10","327.90"," 50","1639.50"," 10","364.40"," 50","1639.50"," 10"
"AFLUR                         5ML"," 61","1760.46","  -","0.00","  -","0.00"," 61","1760.46","  1"
"APIDINE PLUS                  5ML"," 36","705.24","  -","0.00","  -","0.00"," 36","705.24"," 11"
"APPAMIDE PLUS                 5ML"," 31","1193.50"," 30","1155.00"," 20","1027.00"," 41","1578.50","  6"
"APPAVISC 5ML                  5ML","160","8960.00","  -","0.00","120","8214.00"," 40","2240.00","  -"
"APPAVISC PFS 2.4              3ML"," 55","6010.95","  -","0.00"," 10","1214.50"," 45","4918.05","  1"
"ART                           10ML"," 30","1672.80","  -","0.00","  3","270.46"," 27","1505.52"," 27"
"ART GEL                       10ML"," 50","2788.00"," 75","4182.00","104","6757.38"," 21","1170.96","  4"
"ART PLUS                      10ML"," 97","4702.56","  -","0.00"," 19","1281.00"," 78","3781.44","  -"
"C-PENT                        5ML"," 50","1313.50"," 60","1576.20"," 60","1911.60"," 50","1313.50","  -"
"CLEARSOL 500ML                1S","  2","260.00"," 72","9360.00","  -","0.00"," 74","9620.00","  -"
"COHEVISC 1.4                  1S"," 10","3300.00"," 10","3300.00"," 10","3800.00"," 10","3300.00","  -"
"HYLOR                         1S"," 40","4440.00"," 50","5550.00"," 50","6168.00"," 40","4440.00","  -"
"MEGALUB                       10ML","  -","0.00"," 30","4500.00","  -","0.00"," 30","4500.00","  -"
"MIOCHOL 1ML                   1ML","  6","127.32"," 22","424.16"," 25","589.25","  3","63.66","  1"
"MOXIFUR 5ML                   5ML","  1","48.49","  -","0.00","  -","0.00","  1","48.49","  1"
"MOXIFUR INJ 1ML               1ML"," 18","763.74"," 22","933.24","  6","311.10"," 34","1442.62","  -"
"MOXIFUR-LP                    5ML","146","8244.62","  -","0.00"," 18","1274.93","128","7228.16","122"
"MYOPED                        5ML"," 18","2108.52","  -","0.00","  6","780.95"," 12","1405.68","  -"
"RHEX-ID 1ML                   1ML"," 84","4870.32"," 66","3826.68"," 86","5542.70"," 64","3710.72","  -"
"SUPRACOAT PLUS                1ML","  1","990.00","  -","0.00","  -","0.00","  1","990.00","  1"
" TOTAL","906","54587.92","487","36446.78","547","39507.27","846","57362.5","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ACTIHEALTH DHA GUMMIES        30S","  -","0.00"," 28","4494.60"," 28","4980.00","  -","0.00","  -"
"","","","","","","","","",""
"TOTAL","1346","118475.60","515","40941.38","606","47352.46","1255","118666.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
