itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML"," 11","1248.14","  -","0.00","  -","0.00"," 11","1248.14","  8"
"AQUALUBE                      10ML","  7","658.92","  -","0.00","  -","0.00","  7","658.92","  -"
"BRIVEX                        5ML","  2","625.78","  -","0.00","  -","0.00","  2","625.78","  -"
"GATE-P                        10ML"," 17","490.75","  -","0.00","  -","0.00"," 17","490.75","  -"
"LOTEL E/O                     5GM","  4","475.38","  -","0.00","  -","0.00","  4","475.38","  -"
"LOTEL GEL                     5ML"," 12","1313.33","  -","0.00","  -","0.00"," 12","1313.33","  9"
"OLOPAT                        5ML"," 11","1333.14","  -","0.00","  -","0.00"," 11","1333.14","  7"
"OLOPAT OD                     5ML","  9","1220.70","  -","0.00","  -","0.00","  9","1220.70","  6"
"VIRSON GEL                    5GM"," 20","1933.77","  -","0.00","  -","0.00"," 20","1933.77"," 17"
" TOTAL"," 93","9299.90","  0","0.00","  0","0.00"," 93","9299.90","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"ENTISEP                       1000ML","  -","0.00","  1","88.00","  1","96.00","  -","0.00","  -"
"POVIKEM                       500ML","  -","0.00","  1","100.00","  1","110.00","  -","0.00","  -"
" TOTAL","  0","0.00","  2","188.00","  2","206.00","  0","0.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"COMBIGAN                      5ML"," 14","4511.22","  -","0.00","  -","0.00"," 14","4511.22","  -"
"FML                           5ML"," 10","993.99","  -","0.00","  -","0.00"," 10","993.99","  -"
"L-PRED                        5ML","  3","403.55","  -","0.00","  -","0.00","  3","403.55","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"OPTIVE                        10ML"," 11","1116.64"," 10","1015.13","  8","865.07"," 13","1319.67","  -"
"PREDFORTE                     10ML"," 15","685.14"," 10","456.76"," 20","942.36","  5","228.38","  -"
"REFRESH LIQUIGEL              10ML","  3","467.76"," 20","3118.43","  9","1494.81"," 14","2182.90","  -"
"REFRESH TEARS                 10ML"," 26","2923.27"," 20","2030.26"," 25","2677.95"," 21","2361.10","  -"
"TEARSPLUS                     10ML"," 13","927.26","  -","0.00","  -","0.00"," 13","927.26","  -"
"ZYMAR E/O                     5GM"," 10","740.20","  -","0.00","  -","0.00"," 10","740.20","  8"
" TOTAL","110","14902.71"," 60","6620.58"," 62","5980.19","108","15801.9","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 55","1944.80","  -","0.00"," 27","1061.10"," 28","990.08","  5"
"AFLUR                         5ML"," 60","1574.50","  -","0.00","  -","0.00"," 60","1574.50","  -"
"APIDINE-5                     5ML"," 50","979.50","  -","0.00","  -","0.00"," 50","979.50","  -"
"APPAMIDE PLUS                 5ML"," 60","2290.91","  -","0.00"," 25","1060.00"," 35","1336.36","  -"
"APPAVISC 5ML                  5ML"," 60","3054.55","  -","0.00"," 60","3735.00","  -","0.00","  -"
"APPAVISC PFS 3ML              3ML"," 35","3125.85"," 50","4059.50"," 65","5866.25"," 20","1786.20","  -"
"APPAVISC VAIL 3ML             3ML","135","5919.14"," 55","2411.50","140","7504.00"," 50","2192.28","  -"
"ART                           10ML"," 34","1895.84","  -","0.00","  1","90.15"," 33","1840.08","  -"
"ART GEL                       10ML"," 22","1115.25"," 75","3802.00"," 85","4968.00"," 12","608.32","  -"
"ART PLUS                      10ML"," 77","3394.16","  -","0.00"," 35","2016.01"," 42","1851.36","  -"
"B-CAINE 10ML                  1S"," 15","371.25","  -","0.00"," 10","275.00","  5","123.75","  5"
"C-PENT                        5ML"," 25","597.29"," 60","1433.50"," 21","668.42"," 64","1529.07","  -"
"CLEARSOL 500ML                1S","  -","0.00"," 24","2832.00"," 24","3120.00","  -","0.00","  -"
"COHEVISC 1.4                  1S"," 12","3600.00","  -","0.00","  5","1750.00","  7","2100.00","  -"
"HYLOR                         1S"," 60","6060.00","  -","0.00"," 50","5632.50"," 10","1010.00","  -"
"MEE CLEAN                     200ML"," 20","800.00","  -","0.00","  -","0.00"," 20","800.00","  -"
"MIOCHOL 1ML                   1ML"," 18","347.07"," 22","424.20"," 23","542.11"," 17","327.79","  -"
"MOXIFUR INJ 1ML               1ML"," 26","1002.89"," 55","2121.50"," 36","1697.04"," 45","1735.77","  -"
"MOXIFUR-DM                    5ML"," 60","2411.50","  -","0.00"," 30","1607.70"," 30","1205.75","  -"
