itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"OLOPAT OD                     5ML","  6","813.80","  -","0.00","  -","0.00","  6","813.80","  3"
"VIRSON GEL                    5GM"," 17","1643.70","  -","0.00","  -","0.00"," 17","1643.70","  -"
" TOTAL"," 23","2457.50","  0","0.00","  0","0.00"," 23","2457.50","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  -"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  -"
"ZYMAR E/O                     5GM","  8","592.15","  -","0.00","  -","0.00","  8","592.15","  -"
" TOTAL"," 14","2860.35","  0","0.00","  0","0.00"," 14","2860.35","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 25","819.75"," 25","884.00","  -","0.00"," 50","1639.50","  -"
"APIDINE PLUS                  5ML"," 15","293.85"," 25","489.75"," 15","326.55"," 25","489.75","  -"
"APIDINE-5                     5ML","  5","97.95","  -","0.00","  5","109.00","  -","0.00","  -"
"APPAMIDE PLUS                 5ML"," 36","1260.00"," 90","3150.00","110","4956.94"," 16","560.00","  6"
"APPAVISC 5ML                  5ML"," 20","1026.80","165","8400.00"," 90","5602.50"," 95","4877.30","  -"
"APPAVISC PFS 2.4              3ML"," 30","3278.70"," 20","2185.80"," 30","3461.32"," 20","2185.80","  -"
"APPAVISC VAIL 3ML             3ML"," 55","2411.50"," 33","1446.90"," 88","4716.80","  -","0.00","  -"
"ART GEL                       10ML"," 80","4055.20"," 75","3802.00"," 76","4636.80"," 79","4004.51","  -"
"ART PLUS                      10ML"," 88","4267.12","  -","0.00"," 67","3456.02"," 21","1018.29","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  -","0.00","  5","123.75","  -"
"C-PENT                        5ML"," 57","1497.39","  -","0.00"," 25","796.50"," 32","840.64","  -"
"CLEARSOL 500ML                1S","  -","0.00"," 84","10920.00"," 24","3804.00"," 60","7800.00","  -"
"COHEVISC 1.4                  1S","  9","2970.00"," 10","3000.00"," 10","3500.00","  9","2970.00","  -"
"HYLOR                         1S"," 40","4440.00","  -","0.00"," 10","1126.50"," 30","3330.00","  -"
"MEGALUB                       10ML"," 30","4500.00","  -","0.00"," 30","5000.00","  -","0.00","  -"
"MIOCHOL 1ML                   1ML"," 45","867.60"," 22","424.20"," 40","942.80"," 27","520.56","  -"
"MOXIFUR INJ 1ML               1ML"," 33","1400.19"," 33","1272.90"," 36","1697.04"," 30","1272.90","  -"
"MOXIFUR-LP                    5ML"," 42","2371.74","  -","0.00","  2","167.72"," 40","2258.80"," 24"
"MYOPED                        5ML"," 36","4217.04","  -","0.00","  -","0.00"," 36","4217.04","  -"
"RHEX-ID 1ML                   1ML"," 51","2956.98","154","8117.20","181","11532.97"," 24","1391.52","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  -","0.00","  2","1980.00","  -"
" TOTAL","704","44835.56","736","44092.75","839","55833.46","601","41480.3","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"LUBI-FRESH                    10ML"," 24","1292.94","  -","0.00","  -","0.00"," 24","1292.94","  -"
"NEPAFLO E/D                   5ML"," 24","2178.00","  -","0.00","  -","0.00"," 24","2178.00","  -"
" TOTAL"," 60","4370.94","  0","0.00","  0","0.00"," 60","4370.94","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"ATROP                         5ML"," 10","133.30","  -","0.00","  -","0.00"," 10","133.30","  -"
"AUROCAINE                     5ML"," 10","368.40","  -","0.00","  -","0.00"," 10","368.40","  -"
"AUROMIDE                      5ML"," 52","1781.23","  -","0.00"," 30","1500.00"," 22","753.60","  -"
"AUROMIDE PLUS                 5ML"," 56","2585.67","  -","0.00","  -","0.00"," 56","2585.67","  -"
"FLURES                        3ML"," 10","1020.50","  -","0.00","  -","0.00"," 10","1020.50","  -"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML"," 30","1169.10","  -","0.00"," 20","922.00"," 10","389.70","  -"
"VOZOLE E/D                    30MG"," 18","4577.04","  -","0.00"," 17","4782.40","  1","254.28","  -"
" TOTAL","191","12197.75","  0","0.00"," 67","7204.40","124","6067.95","  0"
"","","","","","","","","",""
