itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"KLEANCOL                      1000ML","  5","450.00","  -","0.00","  5","510.00","  -","0.00","  -"
"OLOPAT OD                     5ML","  3","406.90","  -","0.00","  -","0.00","  3","406.90","  3"
" TOTAL","  8","856.90","  0","0.00","  5","510.00","  3","406.90","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"POVIKEM                       500ML","  -","0.00","  3","342.00","  1","130.00","  2","228.00","  -"
" TOTAL","  0","0.00","  3","342.00","  1","130.00","  2","228.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  -"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  -"
"ZYMAR E/O                     5GM","  8","592.15","  -","0.00","  -","0.00","  8","592.15","  -"
" TOTAL"," 14","2860.35","  0","0.00","  0","0.00"," 14","2860.35","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 65","2131.35"," 25","819.75"," 30","1093.20"," 60","1967.40","  -"
"AFLUR                         5ML"," 60","1731.60"," 55","1417.05"," 60","1714.51"," 55","1587.30","  -"
"APIDINE PLUS                  5ML"," 24","470.16"," 75","1469.25"," 50","1088.50"," 49","959.91","  9"
"APPAMIDE PLUS                 5ML"," 36","1260.00","  -","0.00","  -","0.00"," 36","1260.00","  6"
"APPAVISC 5ML                  5ML","115","5904.10","220","12320.00","200","13690.00","135","6930.90","  -"
"APPAVISC PFS 2.4              3ML"," 48","5245.92"," 50","5464.50"," 48","5829.60"," 50","5464.50","  -"
"ART GEL                       10ML"," 99","5018.31","150","7604.00","143","8148.21","106","5373.14","  -"
"ART PLUS                      10ML"," 62","3006.38"," 75","3636.50"," 81","4370.50"," 56","2715.44","  -"
"C-PENT                        5ML"," 64","1681.28"," 60","1576.50"," 64","1998.26"," 60","1576.20","  -"
"CLEARSOL 500ML                1S"," 24","3120.00","144","18720.00"," 84","13668.00"," 84","10920.0","  -"
"COHEVISC 1.4                  1S","  -","0.00","  5","1650.00","  -","0.00","  5","1650.00","  -"
"HYLOR                         1S","100","11100.00"," 30","3330.00","100","12336.00"," 30","3330.00","  -"
"MIOCHOL 1ML                   1ML"," 22","424.16"," 22","424.20","  -","0.00"," 44","848.32","  -"
"MOXIFUR 5ML                   5ML"," 75","3636.50","  -","0.00","  -","0.00"," 75","3636.50","  1"
"MOXIFUR INJ 1ML               1ML"," 78","3309.54"," 22","933.40"," 70","3629.50"," 30","1272.90","  -"
"MOXIFUR-DM                    5ML","  -","0.00"," 60","2652.50"," 60","2888.55","  -","0.00","  -"
"MOXIFUR-LP                    5ML"," 25","1411.75","  -","0.00","  -","0.00"," 25","1411.75"," 24"
"MYOPED                        5ML"," 21","2459.94","  -","0.00","  -","0.00"," 21","2459.94","  -"
"RHEX-ID 1ML                   1ML","110","6377.80","110","5798.00","100","6445.00","120","6957.60","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  -","0.00","  2","1980.00","  -"
" TOTAL","1030","60268.79","1103","67815.65","1090","76899.83","1043","62301.8","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"CLOPOL-DX OINT                5GR"," 24","1386.00","  -","0.00"," 24","1509.20","  -","0.00","  -"
"LUBI-FRESH                    10ML"," 60","3232.35","  -","0.00","  -","0.00"," 60","3232.35","  -"
"NEPAFLO E/D                   5ML"," 36","3267.00","  -","0.00"," 36","3557.40","  -","0.00","  -"
" TOTAL","132","8785.35","  0","0.00"," 60","5066.60"," 72","4132.35","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROCAINE                     5ML"," 10","368.40","  -","0.00","  -","0.00"," 10","368.40","  -"
"AUROMIDE                      5ML","  2","68.51","  -","0.00","  -","0.00","  2","68.51","  1"
"AUROMIDE PLUS                 5ML"," 30","1385.18","  -","0.00"," 10","520.00"," 20","923.45","  -"
"FLURES                        3ML"," 10","1020.50","  -","0.00","  -","0.00"," 10","1020.50","  -"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML"," 10","389.70","  -","0.00","  -","0.00"," 10","389.70","  -"
