itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3M","","","","","","","","",""
"TEGADERM 10*4                 1S"," 20","1540.00","  -","0.00","  -","0.00"," 20","1540.00","  -"
" TOTAL"," 20","1540.00","  0","0.00","  0","0.00"," 20","1540.00","  0"
"","","","","","","","","",""
"3MIL","","","","","","","","",""
"AUTOGLAVE TAPE 3M             1S","  -","0.00","  1","270.00","  -","0.00","  1","270.00","  -"
" TOTAL","  0","0.00","  1","270.00","  0","0.00","  1","270.00","  0"
"","","","","","","","","",""
"AICE HEALTH CARE PVT LTD","","","","","","","","",""
"COMFORTZ                      10ML","  2","208.93"," 75","6685.92"," 71","6880.92","  6","626.80","  -"
"COMFORTZ EYE MASK             1'S","  3","482.13"," 13","1714.27"," 11","1748.20","  5","803.55","  -"
"COMFORTZ-HA                   10ML"," 39","8022.82","  -","0.00","  -","0.00"," 39","8022.82","  -"
" TOTAL"," 44","8713.88"," 88","8400.19"," 82","8629.12"," 50","9453.17","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"OLOPAT OD                     5ML","  3","406.90","  -","0.00","  -","0.00","  3","406.90","  3"
" TOTAL","  3","406.90","  0","0.00","  0","0.00","  3","406.90","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"POVIKEM                       500ML","  -","0.00","  1","114.00","  1","130.00","  -","0.00","  -"
" TOTAL","  0","0.00","  1","114.00","  1","130.00","  0","0.00","  0"
"","","","","","","","","",""
"AMNEAL HEALTHCARE PVT LTD","","","","","","","","",""
"BRINZNEAL                     5ML","  -","0.00"," 15","3053.00","  -","0.00"," 15","3053.00","  -"
"BRITNEAL                      5ML","  -","0.00"," 30","4178.00","  -","0.00"," 30","4178.00","  -"
"CLARNEAL CAP                  30'S","  -","0.00"," 20","4880.00","  -","0.00"," 20","4880.00","  -"
"IRRISOL                       500ML","  -","0.00"," 24","4296.00","  -","0.00"," 24","4296.00","  -"
"LOTENEAL                      5ML","  -","0.00"," 30","3759.00","  -","0.00"," 30","3759.00","  -"
"MACUNEAL TAB                  10'S","  -","0.00"," 20","1952.00","  -","0.00"," 20","1952.00","  -"
"MOXNEAL                       5ML","  -","0.00"," 50","6105.00","  -","0.00"," 50","6105.00","  -"
"MOXNEAL-L                     5ML","  -","0.00"," 20","2570.00","  -","0.00"," 20","2570.00","  -"
"NEPANEAL                      5ML","  -","0.00"," 30","4242.00","  -","0.00"," 30","4242.00","  -"
"OLONEAL                       5ML","  -","0.00"," 30","3567.00","  -","0.00"," 30","3567.00","  -"
"TRAVNEAL                      5ML","  -","0.00"," 30","5784.00","  -","0.00"," 30","5784.00","  -"
" TOTAL","  0","0.00","299","44386.00","  0","0.00","299","44386.0","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML","100","3279.00"," 25","819.75"," 50","1822.00"," 75","2459.25"," 10"
"AFLUR                         5ML"," 61","1760.46","  -","0.00","  -","0.00"," 61","1760.46","  1"
"APIDINE PLUS                  5ML"," 54","1057.86"," 50","979.50"," 43","936.11"," 61","1194.99"," 11"
"APPAMIDE PLUS                 5ML"," 66","2310.00","  -","0.00"," 30","1540.50"," 36","1260.00"," 11"
"APPAVISC 5ML                  5ML"," 29","1488.86","300","15402.00","280","18543.00"," 49","2515.66","  -"
"APPAVISC PFS 2.4              3ML"," 30","3278.70"," 80","8743.20"," 70","8501.50"," 40","4371.60","  -"
"ART                           10ML","  -","0.00"," 30","1672.80"," 30","1858.80","  -","0.00","  -"
"ART GEL                       10ML"," 92","4663.48","150","7603.50","194","11171.27"," 48","2433.12","  4"
"ART PLUS                      10ML"," 80","3879.20"," 75","3636.75"," 60","3342.72"," 95","4606.55","  -"
"C-PENT                        5ML"," 40","1050.80","120","3152.40"," 40","1274.40","120","3152.40","  -"
"CLEARSOL 500ML                1S"," 96","12480.00","  -","0.00"," 72","11160.00"," 24","3120.00","  -"
"COHEVISC 1.4                  1S","  5","1650.00"," 10","3300.00","  5","1900.00"," 10","3300.00","  -"
"HYLOR                         1S"," 80","8880.00","  -","0.00","  -","0.00"," 80","8880.00","  -"
"MIOCHOL 1ML                   1ML","  4","77.12"," 22","424.16","  -","0.00"," 26","501.28","  1"
"MOXIFUR 5ML                   5ML","  1","48.49","  -","0.00","  -","0.00","  1","48.49","  1"
"MOXIFUR INJ 1ML               1ML"," 65","2757.95"," 33","1400.19"," 65","3370.25"," 33","1400.19","  -"
"","","","","","","","","",""
"TOTAL","870","59322.70","1284","100304.44","1022","74179.67","1132","97060.0","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"MOXIFUR-LP                    5ML"," 99","5590.53","150","8470.50"," 74","4192.93","175","9882.25"," 24"
"RHEX-ID 1ML                   1ML","108","6261.84","110","6377.80","126","8399.90"," 92","5334.16","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  1","990.00","  2","2200.00","  1","990.00","  -"
" TOTAL","1012","62494.29","1156","62972.55","1141","80213.38","1027","57210.4","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"KOJIMAX GEL                   20GM"," 15","2494.80","  -","0.00","  -","0.00"," 15","2494.80","  -"
"LUBI FRESH EYE MASK           1'S","  -","0.00"," 12","1564.20","  -","0.00"," 12","1564.20","  -"
"LUBI-FRESH                    10ML","  -","0.00"," 60","3232.35","  -","0.00"," 60","3232.35","  -"
"NEPAFLO E/D                   5ML","  -","0.00"," 60","5445.00","  -","0.00"," 60","5445.00","  -"
" TOTAL"," 27","3394.80","132","10241.55","  0","0.00","159","13636.3","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROCAINE                     5ML"," 10","368.40","  -","0.00","  -","0.00"," 10","368.40","  -"
"AUROCORT                      1ML"," 10","765.20"," 10","765.20"," 10","850.00"," 10","765.20","  -"
"AUROFLUR                      5ML","  -","0.00"," 22","750.00"," 20","880.00","  2","68.18","  -"
"AUROMIDE                      5ML"," 23","787.85","  -","0.00","  1","43.65"," 22","753.60","  1"
"AUROMIDE PLUS                 5ML"," 23","1061.97","  -","0.00","  -","0.00"," 23","1061.97","  -"
"AUROPENT                      5ML","  2","84.86"," 22","841.80"," 24","1240.00","  -","0.00","  -"
"AUROTIM                       5ML","  -","0.00"," 20","962.00"," 20","1180.00","  -","0.00","  -"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML"," 15","584.55","  -","0.00","  -","0.00"," 15","584.55","  -"
"TACLIMENT                     5G"," 20","2250.00","  -","0.00"," 20","2452.00","  -","0.00","  -"
"VOZOLE E/D                    30MG","  4","1017.12"," 55","13974.90"," 26","8054.88"," 33","8391.24","  -"
" TOTAL","112","7482.46","129","17293.90","121","14700.53","120","12555.6","  0"
"","","","","","","","","",""
"AUSTRAK PHARMA","","","","","","","","",""
"EPILUBE E/D                   10ML","  4","289.30","  -","0.00","  -","0.00","  4","289.30","  4"
"TAGAMOX-DX                    5ML","  4","341.15","  -","0.00","  -","0.00","  4","341.15","  -"
" TOTAL","  8","630.45","  0","0.00","  0","0.00","  8","630.45","  0"
"","","","","","","","","",""
"BAXTER INDIA PVT LTD","","","","","","","","",""
"DNS-500ML                     1S","  2","49.00","  -","0.00","  -","0.00","  2","49.00","  -"
" TOTAL","  2","49.00","  0","0.00","  0","0.00","  2","49.00","  0"
"","","","","","","","","",""
"BERRY&HERBS PHARMA PVT LTD","","","","","","","","",""
"CORSOL XG                     5ML"," 67","5599.14","  -","0.00","  -","0.00"," 67","5599.14","  2"
"GLUKOGEGSIC CAP               10'S"," 70","11361.47","  -","0.00","  -","0.00"," 70","11361.4","  -"
"MOXISHIELD LP                 5ML"," 75","4757.00","  -","0.00","  -","0.00"," 75","4757.00"," 75"
"MOXITOBRA                     5ML"," 45","3471.30","  -","0.00","  -","0.00"," 45","3471.30"," 45"
"OPTIWIRE CAPS                 10'S"," 30","9135.82","  -","0.00"," 22","7295.12","  8","2436.22","  -"
" TOTAL","287","34324.73","  0","0.00"," 22","7295.12","265","27625.1","  0"
"","","","","","","","","",""
"BORN HEALTHCARE PVT LTD","","","","","","","","",""
"NS-500ML                      500ML","  1","25.25"," 15","378.75"," 15","420.00","  1","25.25","  -"
" TOTAL","  1","25.25"," 15","378.75"," 15","420.00","  1","25.25","  0"
"","","","","","","","","",""
"TOTAL","1516","119061.75","1821","144056.94","1382","111388.15","1955","167788.","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..3","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"CARE GROUP","","","","","","","","",""
"CANNULA NEEDLE                1S","270","270.00","  -","0.00","  -","0.00","270","270.00","270"
"CONTACAINE SOL                5ML"," 10","334.30","  -","0.00","  -","0.00"," 10","334.30"," 10"
"FLUO STRIPS                   100S","  4","592.00","  -","0.00","  3","495.00","  1","148.00","  -"
"TEAR STRIPS                   100S","  1","200.00","  -","0.00","  1","225.00","  -","0.00","  -"
" TOTAL","285","1396.30","  0","0.00","  4","720.00","281","752.30","  0"
"","","","","","","","","",""
"CHC","","","","","","","","",""
"BUFFANT CAP                   1'S","  -","0.00","200","280.00","200","360.00","  -","0.00","  -"
" TOTAL","  0","0.00","200","280.00","200","360.00","  0","0.00","  0"
"","","","","","","","","",""
"CIPLA","","","","","","","","",""
"ITRANOX 200                   4S"," 40","1724.80","  -","0.00","  -","0.00"," 40","1724.80","  -"
"OMNIX 200DT                   10S"," 10","567.08","  -","0.00","  -","0.00"," 10","567.08","  -"
"OMNIX-O TAB                   10S","  1","77.78","  -","0.00","  -","0.00","  1","77.78","  -"
" TOTAL"," 51","2369.66","  0","0.00","  0","0.00"," 51","2369.66","  0"
"","","","","","","","","",""
"CLARIS OSTUKA","","","","","","","","",""
"MANNITOL 100ML                1S"," 10","270.00","  -","0.00"," 10","300.00","  -","0.00","  -"
"ST WATER 10ML                 50","  -","0.00","  4","448.00","  4","480.00","  -","0.00","  -"
" TOTAL"," 10","270.00","  4","448.00"," 14","780.00","  0","0.00","  0"
"","","","","","","","","",""
"DISPOVAN","","","","","","","","",""
"DISPOVAN 2ML SYG              1S","100","179.00","800","1432.00","900","1755.00","  -","0.00","  -"
"DISPOVAN NDL 26               100S","  -","0.00","  6","420.00","  6","450.00","  -","0.00","  -"
"DISPOVAN SYG 5ML              1S","  -","0.00","300","720.00","300","810.00","  -","0.00","  -"
" TOTAL","100","179.00","1106","2572.00","1206","3015.00","  0","0.00","  0"
"","","","","","","","","",""
"DYNAMIC TECHNO MEDICALS PVT LTD","","","","","","","","",""
"SOFTCOLLAR M                  1S","  -","0.00","  1","200.00","  -","0.00","  1","200.00","  -"
" TOTAL","  0","0.00","  1","200.00","  0","0.00","  1","200.00","  0"
"","","","","","","","","",""
"ENTOD GLOTEK DIVISION","","","","","","","","",""
"CYCLOFEZ                      5ML"," 18","810.00"," 50","2250.00"," 15","737.07"," 53","2385.00","  -"
"HOMACID                       5ML","  -","0.00"," 75","1821.75"," 40","1042.80"," 35","850.15","  -"
"PHENOCAINE PLUS               5AMP*1ML"," 14","5437.92"," 24","9321.40"," 13","6732.18"," 25","9710.56","  -"
"TIMOL P                       10ML"," 68","3156.46"," 25","1276.50"," 34","1846.49"," 59","2738.70"," 20"
" TOTAL","100","9404.38","174","14669.65","102","10358.54","172","15684.4","  0"
"","","","","","","","","",""
"ENTOD PHAMA(ENSIGHT)","","","","","","","","",""
"AB-PRESS PF                   10ML"," 12","2596.05","  -","0.00","  -","0.00"," 12","2596.05","  -"
"ADBROM                        5ML"," 30","2120.87","200","14425.52","167","14440.22"," 63","4453.83","  -"
"CATAGON                       10ML"," 11","631.41","100","5740.11"," 93","6382.44"," 18","1033.22","  -"
"E-FLO DROPS                   5ML"," 48","2755.26","  -","0.00"," 18","1312.56"," 30","1722.04","  -"
"","","","","","","","","",""
"TOTAL","2163","140784.67","3606","182392.22","3186","148756.91","2583","196599.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..4","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"ENGATT E/D                    5ML"," 45","2103.98","  -","0.00","  -","0.00"," 45","2103.98"," 21"
"ENLUBE                        10ML"," 67","5611.17","  -","0.00","  5","656.01"," 62","5192.43","  9"
"ENLUBE FUSION E/D             5ML"," 35","3038.07","100","8680.20"," 30","2991.45","105","9114.21","  5"
"ENTRAK SOOTHE                 5GM"," 27","5352.28","  -","0.00","  5","1281.81"," 22","4361.12","  -"
"FLUBI E/D                     5ML"," 32","1508.65","  -","0.00"," 30","1540.07","  2","94.29","  2"
"FLUBICHLOR E/D                5ML"," 18","1039.60","  -","0.00"," 12","717.90","  6","346.53","  6"
"FLUBIGAT                      5ML","  7","457.51","  -","0.00","  -","0.00","  7","457.51","  -"
"FLUCOCID                      5ML"," 19","644.11","  -","0.00","  -","0.00"," 19","644.11","  -"
"FLUNATOD 10                   10S","  -","0.00"," 20","738.20","  -","0.00"," 20","738.20","  -"
"GANCIGEL                      5GM"," 45","3728.62","  -","0.00","  -","0.00"," 45","3728.62"," 17"
"LACRYL HYDRATE                10ML","  1","268.39","  -","0.00","  -","0.00","  1","268.39","  -"
"LACRYL SOOTHE                 10ML"," 19","1308.72"," 75","5166.00"," 65","5357.00"," 29","1997.52"," 12"
"LACRYL ULTRA E/D              10ML","  8","1717.81"," 24","5259.02"," 16","4571.99"," 16","3435.61","  -"
"LACRYL-PF                     5GM"," 84","5376.86","160","10491.58","136","11939.68","108","6913.10","  -"
"LACRYL-PLUS                   10ML"," 17","790.50","  -","0.00","  1","60.14"," 16","744.00","  2"
"LOT OINTMENT                  5GM"," 67","5161.39","260","20441.18","141","11241.16","186","14328.6","  -"
"LOT-LS                        5ML","  -","0.00"," 12","803.66"," 12","875.04","  -","0.00","  -"
"MACUSHIELD TAB                10S","  1","87.14","  -","0.00","  -","0.00","  1","87.14","  -"
"MOTOGRAM E/D                  5ML","  4","359.91","  -","0.00","  2","294.00","  2","179.95","  -"
"MYATRO E/D                    5ML"," 29","3419.92"," 30","3718.47"," 48","7037.07"," 11","1297.21","  -"
"NATACIN                       5ML","  2","159.97"," 30","2446.39"," 21","1950.00"," 11","879.84","  -"
"NEPAONCE                      3ML"," 24","3471.49","  -","0.00","  -","0.00"," 24","3471.49"," 12"
"OMEFLOX E/D                   5ML","  4","120.64","  -","0.00","  -","0.00","  4","120.64","  -"
"OMEFLOX OINT                  5GM","  5","208.95"," 60","2507.40"," 60","2730.08","  5","208.95","  -"
"OMEFLOX-BM                    5GM","  2","32.12","160","2622.40","100","1799.15"," 62","995.86","  -"
"OPTICOOL E/D                  10ML"," 75","4324.93","100","5884.38"," 98","6031.60"," 77","4440.26","  -"
"PRESS-DT                      10S"," 30","921.00"," 20","614.00","  -","0.00"," 50","1535.00","  -"
"SOLINE 5                      10ML"," 15","791.03","150","8064.61","133","8579.10"," 32","1687.53","  -"
"SOLINE-6                      3GM","126","10244.76","100","8130.76","115","12150.01","111","9025.14","  1"
"T-1                           3ML","  4","777.33","  -","0.00","  2","507.86","  2","388.67","  4"
"TREHATOD                      5ML","  3","343.01","  -","0.00","  -","0.00","  3","343.01","  -"
"TROMIDE-PLUS                  5ML","  -","0.00"," 25","1446.50","  -","0.00"," 25","1446.50","  -"
" TOTAL","916","71473.46","1626","107180.38","1310","104446.34","1232","90380.5","  0"
"","","","","","","","","",""
"ENTOD PHARMA-G TECH","","","","","","","","",""
"AUDIOVIT CAP                  10S"," 34","4927.17","  -","0.00","  6","937.12"," 28","4057.67","  3"
"AZENATE NASAL SPRAY           9.8ML","  6","1253.66","  6","1253.66","  6","1364.99","  6","1253.66","  -"
"E-SALIVA PLUS MOUTHSPRAY      15ML"," 13","1604.12"," 12","1510.70"," 10","1472.13"," 15","1850.91","  -"
"FEXAGON PLUS TAB              10S"," 39","3029.33"," 60","4660.50"," 18","1391.22"," 81","6291.68","  -"
"NASOLINE NASAL SPRAY          10ML"," 18","511.05","  -","0.00","  -","0.00"," 18","511.05","  -"
"ORINASE-A                     10ML","  8","262.20"," 25","819.44","  3","124.40"," 30","983.25","  -"
"OTOBIOTIC                     5ML"," 90","6096.92","130","8036.00","129","9536.15"," 91","6164.66","  -"
"OTOBIOTIC PLUS NEW            5ML"," 32","1234.49","  -","0.00","  2","99.77"," 30","1157.34","  1"
"OTOFUNGIN E/D                 10ML"," 22","1060.77","  -","0.00","  6","315.02"," 16","771.47","  -"
"OTOFUNGIN-F                   5ML"," 12","694.30","  -","0.00","  6","377.99","  6","347.15","  -"
"OTOGON EAR DROPS              10ML","  7","810.02"," 24","2526.40","  2","275.11"," 29","3355.78","  -"
"TINNITOD CAP                  10S"," 30","5592.06"," 60","11410.50"," 51","10685.45"," 39","7269.68","  -"
"WAXONIL ACTIV                 10ML"," 37","2596.69","  -","0.00"," 14","1117.23"," 23","1614.16"," 14"
