itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML"," 11","1248.14","  -","0.00","  -","0.00"," 11","1248.14","  -"
"AQUALUBE                      10ML","  -","0.00"," 10","941.32","  3","294.41","  7","658.92","  -"
"BRIVEX                        5ML","  -","0.00","  5","1564.44","  3","978.61","  2","625.78","  -"
"DIFLUMOX                      5ML"," 14","2086.78"," 28","4173.56"," 14","2175.58"," 28","4173.56","  -"
"GATE-P                        10ML"," 17","490.75","  -","0.00","  -","0.00"," 17","490.75","  -"
"KETOGATE                      5ML"," 14","1316.00","  -","0.00","  -","0.00"," 14","1316.00","  -"
"LACOMA PF                     2.5ML","  -","0.00","  5","1600.68","  3","1001.28","  2","640.27","  -"
"LOTEL E/O                     5GM","  -","0.00"," 10","1188.44","  3","371.70","  7","831.91","  -"
"LOTEL GEL                     5ML"," 14","1532.22","  -","0.00","  2","228.20"," 12","1313.33","  -"
"OLOPAT                        5ML","  -","0.00"," 14","1696.72","  3","379.05"," 11","1333.14","  -"
"OLOPAT OD                     5ML","  -","0.00"," 10","1356.33","  1","141.40","  9","1220.70","  -"
"VIRSON GEL                    5GM"," 20","1933.77","  -","0.00","  -","0.00"," 20","1933.77","  -"
" TOTAL"," 90","8607.66"," 82","12521.49"," 32","5570.23","140","15786.2","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"POVIKEM                       500ML","  -","0.00","  1","100.00","  1","110.00","  -","0.00","  -"
" TOTAL","  0","0.00","  1","100.00","  1","110.00","  0","0.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"COMBIGAN                      5ML"," 17","5477.91"," 20","6444.60"," 17","5796.63"," 20","6444.60","  -"
"FML                           5ML"," 10","993.99","  -","0.00","  -","0.00"," 10","993.99","  -"
"L-PRED                        5ML","  5","672.58","  -","0.00","  -","0.00","  5","672.58","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"OPTIVE                        10ML"," 18","1827.23","  -","0.00","  -","0.00"," 18","1827.23","  -"
"PREDFORTE                     10ML","  -","0.00"," 30","1236.90"," 20","850.64"," 10","456.76","  -"
"REFRESH LIQUIGEL              10ML","  3","467.76"," 15","2111.67"," 11","1649.56","  7","1091.45","  -"
"REFRESH TEARS                 10ML","  1","112.43"," 80","8121.03"," 51","5481.70"," 30","3373.00","  -"
"TEARSPLUS                     10ML","  8","570.62"," 10","713.28","  5","379.90"," 13","927.26","  -"
"ZYMAR E/O                     5GM"," 10","740.20","  -","0.00","  -","0.00"," 10","740.20","  8"
" TOTAL"," 77","12996.41","155","18627.48","104","14158.43","128","18660.7","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 30","1060.80"," 25","884.00"," 50","1965.00","  5","176.80","  -"
"AFLUR                         5ML"," 60","1574.50"," 60","1574.50"," 60","1714.51"," 60","1574.50","  -"
"APIDINE-5                     5ML"," 25","489.75"," 25","447.25"," 30","595.60"," 20","391.80","  -"
"APPAMIDE PLUS                 5ML"," 60","2290.91","  -","0.00","  -","0.00"," 60","2290.91","  -"
"APPAVISC 5ML                  5ML"," 65","3309.09","253","12880.00","228","14193.00"," 90","4581.82","  -"
"APPAVISC PFS 3ML              3ML"," 50","4465.50","  -","0.00","  -","0.00"," 50","4465.50","  -"
"APPAVISC VAIL 3ML             3ML"," 60","2630.73"," 33","1446.90"," 70","3752.00"," 23","1008.45","  -"
"ART                           10ML"," 34","1895.84"," 75","4182.00","  -","0.00","109","6077.84","  -"
"ART GEL                       10ML","107","5424.18"," 75","3802.00"," 71","4140.01","111","5626.96","  -"
"ART PLUS                      10ML"," 54","2380.32","  -","0.00"," 13","720.01"," 41","1807.28","  -"
"B-CAINE 10ML                  1S","  -","0.00"," 25","618.75"," 10","275.00"," 15","371.25","  -"
"C-PENT                        5ML"," 60","1433.50","  -","0.00"," 25","780.57"," 35","836.21","  -"
"CLEARSOL 500ML                1S"," 12","1416.00","  -","0.00"," 12","1800.00","  -","0.00","  -"
"COHEVISC 1.4                  1S","  5","1500.00"," 20","6000.00"," 20","7000.00","  5","1500.00","  -"
"HYLOR                         1S","100","10100.00"," 50","5050.00","120","13518.00"," 30","3030.00","  -"
"MEE CLEAN                     200ML"," 20","800.00","  -","0.00","  -","0.00"," 20","800.00","  -"
"MIOCHOL 1ML                   1ML"," 39","751.99","  -","0.00"," 23","542.11"," 16","308.51","  -"
