itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3MIL","","","","","","","","",""
"AUTOGLAVE TAPE 3M             1S","  1","270.00","  -","0.00","  -","0.00","  1","270.00","  1"
" TOTAL","  1","270.00","  0","0.00","  0","0.00","  1","270.00","  0"
"","","","","","","","","",""
"AICE HEALTH CARE PVT LTD","","","","","","","","",""
"ALLEVION MAX                  5ML"," 17","3060.00","  3","0.00","  -","0.00"," 20","3600.00"," 17"
"COMFORTZ                      10ML"," 34","2833.33"," 81","6750.00"," 76","7574.80"," 39","3250.00","  -"
"COMFORTZ EYE MASK             1'S"," 10","1607.10","  -","0.00"," 10","1224.99","  -","0.00","  -"
"COMFORTZ-HA                   10ML"," 39","8022.82","  -","0.00","  -","0.00"," 39","8022.82"," 39"
"RELIVION                      3ML"," 30","5014.20","  -","0.00","  -","0.00"," 30","5014.20"," 30"
" TOTAL","130","20537.45"," 84","6750.00"," 86","8799.79","128","19887.0","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"OLOPAT OD                     5ML","  3","406.90","  -","0.00","  -","0.00","  3","406.90","  3"
" TOTAL","  3","406.90","  0","0.00","  0","0.00","  3","406.90","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"POVIKEM                       500ML","  -","0.00","  2","228.00","  2","260.00","  -","0.00","  -"
" TOTAL","  0","0.00","  2","228.00","  2","260.00","  0","0.00","  0"
"","","","","","","","","",""
"AMNEAL HEALTHCARE PVT LTD","","","","","","","","",""
"BRINZNEAL                     5ML"," 15","3053.00","  -","0.00","  -","0.00"," 15","3053.00"," 15"
"BRITNEAL                      5ML"," 30","4178.00","  -","0.00"," 30","4650.00","  -","0.00","  -"
"CLARNEAL CAP                  30'S"," 20","4880.00","  -","0.00","  -","0.00"," 20","4880.00"," 20"
"LOTENEAL                      5ML"," 30","3759.00","  -","0.00","  -","0.00"," 30","3759.00"," 30"
"MACUNEAL TAB                  10'S"," 20","1952.00","  -","0.00","  -","0.00"," 20","1952.00"," 20"
"MOXNEAL                       5ML"," 50","6105.00","  -","0.00"," 50","4522.50","  -","0.00","  -"
"MOXNEAL-L                     5ML"," 20","2570.00","  -","0.00","  -","0.00"," 20","2570.00"," 20"
"NEPANEAL                      5ML"," 30","4242.00","  -","0.00","  -","0.00"," 30","4242.00"," 30"
"OLONEAL                       5ML"," 30","3567.00","  -","0.00","  -","0.00"," 30","3567.00"," 30"
"TRAVNEAL                      5ML"," 30","5784.00","  -","0.00","  -","0.00"," 30","5784.00"," 30"
" TOTAL","275","40090.00","  0","0.00"," 80","9172.50","195","29807.0","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 50","1639.50","  -","0.00"," 10","364.40"," 40","1311.60"," 10"
"AFLUR                         5ML"," 61","1760.46","  -","0.00"," 60","1891.40","  1","28.86","  1"
"APIDINE PLUS                  5ML"," 36","705.24"," 25","489.75"," 46","1001.42"," 15","293.85"," 15"
"APPAMIDE PLUS                 5ML"," 41","1578.50"," 30","1155.00"," 25","1260.35"," 46","1771.00","  6"
"APPAVISC 5ML                  5ML"," 40","2240.00","165","9240.00","205","13409.25","  -","0.00","  -"
"APPAVISC PFS 2.4              3ML"," 45","4918.05","  -","0.00"," 44","5343.80","  1","109.29","  1"
"ART                           10ML"," 27","1505.52","  -","0.00","  -","0.00"," 27","1505.52"," 27"
"ART GEL                       10ML"," 21","1170.96","150","8364.00","119","7473.48"," 52","2899.52","  4"
"ART PLUS                      10ML"," 78","3781.44","  -","0.00"," 36","2406.02"," 42","2036.16"," 36"
"C-PENT                        5ML"," 50","1313.50","  -","0.00"," 25","796.50"," 25","656.75","  -"
"CLEARSOL 500ML                1S"," 74","9620.00"," 60","7800.00","110","17790.00"," 24","3120.00","  -"
"COHEVISC 1.4                  1S"," 10","3300.00","  -","0.00","  -","0.00"," 10","3300.00","  -"
"HYLOR                         1S"," 40","4440.00","  -","0.00"," 30","3700.80"," 10","1110.00","  -"
"MEGALUB                       10ML"," 30","4500.00","  -","0.00"," 30","5000.00","  -","0.00","  -"
"MIOCHOL 1ML                   1ML","  3","63.66"," 22","466.84","  -","0.00"," 25","530.50","  1"
"MOXIFUR 5ML                   5ML","  1","48.49","  -","0.00","  -","0.00","  1","48.49","  1"
"MOXIFUR INJ 1ML               1ML"," 34","1442.62"," 55","2333.65"," 56","2903.60"," 33","1400.19","  8"
"MOXIFUR-LP                    5ML","128","7228.16","  -","0.00"," 75","4611.88"," 53","2992.91","122"
"MYOPED                        5ML"," 12","1405.68"," 30","3514.20"," 30","3904.75"," 12","1405.68","  5"
"RHEX-ID 1ML                   1ML"," 64","3710.72","120","6957.60","184","12900.56","  -","0.00","  -"
"SUPRACOAT PLUS                1ML","  1","990.00","  -","0.00","  -","0.00","  1","990.00","  1"
"","","","","","","","","",""
"TOTAL","1255","118666.85","743","47299.04","1253","102990.50","745","75881.2","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
" TOTAL","846","57362.50","657","40321.04","1085","84758.21","418","25510.3","  0"
