itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3M","","","","","","","","",""
"TRANSPORE                     1S","  -","0.00"," 12","282.00"," 12","636.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 12","282.00"," 12","636.00","  0","0.00","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML","  8","907.74","  -","0.00","  -","0.00","  8","907.74","  8"
"LOTEL GEL                     5ML","  9","985.00","  -","0.00","  -","0.00","  9","985.00","  9"
"OLOPAT                        5ML","  9","1090.75","  -","0.00","  2","250.12","  7","848.36","  7"
"OLOPAT OD                     5ML","  6","813.80","  -","0.00","  -","0.00","  6","813.80","  6"
"VIRSON GEL                    5GM"," 17","1643.70","  -","0.00","  -","0.00"," 17","1643.70"," 17"
" TOTAL"," 49","5440.99","  0","0.00","  2","250.12"," 47","5198.60","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"ENTISEP                       1000ML","  -","0.00","  1","92.00","  1","98.00","  -","0.00","  -"
"POVIKEM SCRUB                 500ML","  -","0.00","  1","187.00","  1","210.00","  -","0.00","  -"
" TOTAL","  0","0.00","  2","279.00","  2","308.00","  0","0.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  3","403.55","  -","0.00","  2","286.77","  1","134.52","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"PREDFORTE                     10ML","  1","45.68","  -","0.00","  -","0.00","  1","45.68","  -"
"REFRESH LIQUIGEL              10ML"," 16","2494.74","  -","0.00","  5","827.07"," 11","1715.14","  -"
"TEARSPLUS                     10ML","  8","570.62","  -","0.00","  5","379.90","  3","213.98","  -"
"ZYMAR E/O                     5GM"," 10","740.20","  -","0.00","  -","0.00"," 10","740.20","  8"
" TOTAL"," 43","6388.47","  0","0.00"," 12","1493.74"," 31","4983.19","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 55","1944.80"," 25","884.00"," 45","1768.50"," 35","1237.60","  5"
"AFLUR                         5ML"," 60","1574.50"," 60","1574.50"," 60","1714.51"," 60","1574.50","  -"
"APIDINE-5                     5ML"," 40","783.60"," 50","979.50"," 40","872.00"," 50","979.50","  -"
"APPAMIDE PLUS                 5ML"," 35","1336.36","  -","0.00"," 10","466.70"," 25","954.55","  -"
"APPAVISC 5ML                  5ML"," 55","2800.00","165","8400.00","160","9960.00"," 60","3054.55","  -"
"APPAVISC PFS 3ML              3ML"," 51","4554.81","  -","0.00"," 49","4422.25","  2","178.62","  -"
"APPAVISC VAIL 3ML             3ML"," 25","1096.14"," 60","2411.50"," 85","4556.00","  -","0.00","  -"
"ART GEL                       10ML"," 77","3903.38","150","7604.00"," 84","4894.95","143","7249.14","  -"
"ART PLUS                      10ML"," 25","1102.00"," 75","3306.00"," 28","1656.01"," 72","3173.76","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  -","0.00","  5","123.75","  5"
"C-PENT                        5ML"," 50","1194.59","  -","0.00"," 25","796.50"," 25","597.29","  -"
"CLEARSOL 500ML                1S"," 48","5664.00"," 60","7080.00"," 84","11160.00"," 24","2832.00","  -"
"COHEVISC 1.4                  1S"," 10","3000.00","  -","0.00","  -","0.00"," 10","3000.00","  -"
"HYLOR                         1S","  -","0.00"," 50","5050.00"," 40","4506.00"," 10","1010.00","  -"
"I-NAC                         5ML","  -","0.00"," 24","1540.20"," 24","2053.68","  -","0.00","  -"
"MIOCHOL 1ML                   1ML"," 26","501.33"," 43","636.30"," 30","707.10"," 39","751.99","  -"
"MOXIFUR INJ 1ML               1ML"," 70","2700.09"," 55","2121.50"," 80","3771.20"," 45","1735.77","  -"
"MOXIFUR-K                     5ML","  -","0.00"," 24","1301.20"," 24","1735.20","  -","0.00","  -"
"MOXIFUR-LP                    5ML"," 24","1540.20","  -","0.00","  -","0.00"," 24","1540.20"," 24"
"MYOPED                        5ML"," 24","2811.40"," 24","2635.80"," 24","2870.03"," 24","2811.40","  -"
"RHEX-ID 1ML                   1ML"," 93","4901.95","220","11596.00","210","13530.30","103","5429.04","  -"
"SUPRACOAT PLUS                1ML","  1","990.00","  2","1980.00","  1","1100.00","  2","1980.00","  -"
" TOTAL","774","42522.90","1087","59100.50","1103","72540.93","758","40213.6","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"LUBI-FRESH                    10ML","  -","0.00"," 60","3232.35"," 60","3518.20","  -","0.00","  -"
" TOTAL"," 12","900.00"," 60","3232.35"," 60","3518.20"," 12","900.00","  0"
"","","","","","","","","",""
"TOTAL","878","55252.35","1161","62893.85","1191","78746.99","848","51295.4","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROMIDE PLUS                 5ML","  8","327.27","  -","0.00","  -","0.00","  8","327.27","  1"
"AUROPENT                      5ML","  -","0.00"," 11","420.00"," 11","484.00","  -","0.00","  -"
"FLURES                        3ML"," 10","941.00","  -","0.00","  -","0.00"," 10","941.00"," 10"
"LID CLEAN                     50ML","  5","562.50"," 20","2250.00"," 20","2600.00","  5","562.50","  -"
"PILO                          5ML","  1","39.33","  -","0.00","  -","0.00","  1","39.33","  -"
"VOZOLE E/D                    30MG"," 14","3150.00"," 10","2250.00"," 14","3872.96"," 10","2250.00","  2"
" TOTAL"," 38","5020.10"," 41","4920.00"," 45","6956.96"," 34","4120.10","  0"
"","","","","","","","","",""
"BORN HEALTHCARE PVT LTD","","","","","","","","",""
"NS-500ML                      500ML","  1","23.50"," 15","352.50"," 15","375.00","  1","23.50","  1"
" TOTAL","  1","23.50"," 15","352.50"," 15","375.00","  1","23.50","  0"
"","","","","","","","","",""
"CADILA","","","","","","","","",""
"DEXASONE 2ML                  2ML","  -","0.00"," 10","63.00"," 10","70.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 10","63.00"," 10","70.00","  0","0.00","  0"
"","","","","","","","","",""
"CARE GROUP","","","","","","","","",""
"CANNULA NEEDLE                1S","270","270.00","  -","0.00","  -","0.00","270","270.00","270"
"CARELUB                       10ML"," 59","4068.05","  -","0.00","  -","0.00"," 59","4068.05","  -"
"CARELUB-DS                    10ML"," 33","2275.35","  -","0.00","  -","0.00"," 33","2275.35","  -"
"CONTACAINE SOL                5ML"," 24","802.32","  -","0.00","  -","0.00"," 24","802.32"," 10"
"CONTASOL BSS(PP)              250ML"," 24","1425.60","  -","0.00","  -","0.00"," 24","1425.60","  -"
"CONTASOL BSS(PP)              500ML","  1","110.00","  -","0.00","  -","0.00","  1","110.00","  1"
"CONTASOL GLASS 500ML          1'S","  7","824.18","  -","0.00","  -","0.00","  7","824.18","  1"
"FLUO STRIPS                   100S","  8","1200.00","  -","0.00","  2","360.00","  6","900.00","  -"
"MOCARE-LP                     5ML"," 60","4137.00","  -","0.00","  -","0.00"," 60","4137.00"," 12"
"NEPACON                       5ML"," 48","3298.56","  -","0.00","  -","0.00"," 48","3298.56"," 48"
"ROSE BENGAL STRIPS            100S","  2","400.00","  -","0.00","  -","0.00","  2","400.00","  -"
"TEAR STRIPS                   100S","  2","400.00","  -","0.00","  -","0.00","  2","400.00","  -"
" TOTAL","538","19211.06","  0","0.00","  2","360.00","536","18911.0","  0"
"","","","","","","","","",""
"CIPLA","","","","","","","","",""
"ITRANOX 200                   4S"," 40","1724.80","  -","0.00","  -","0.00"," 40","1724.80"," 40"
"OMNIX 200DT                   10S"," 10","567.08","  -","0.00","  -","0.00"," 10","567.08"," 10"
"OMNIX-O TAB                   10S","  1","77.78","  -","0.00","  -","0.00","  1","77.78","  1"
" TOTAL"," 51","2369.66","  0","0.00","  0","0.00"," 51","2369.66","  0"
"","","","","","","","","",""
"CLARIS OSTUKA","","","","","","","","",""
"MANNITOL 100ML                1S","  -","0.00"," 10","250.00"," 10","270.00","  -","0.00","  -"
"RL-500ML                      1S","  -","0.00"," 28","751.80"," 28","784.00","  -","0.00","  -"
"ST WATER 10ML                 50","  -","0.00","  2","214.00","  2","230.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 40","1215.80"," 40","1284.00","  0","0.00","  0"
"","","","","","","","","",""
"COASTAL HEALTH CARE","","","","","","","","",""
"ULTRA SCAN GEL                1S","  2","44.00","  -","0.00","  -","0.00","  2","44.00","  -"
"","","","","","","","","",""
"TOTAL","1508","81920.67","1267","69445.15","1303","87792.95","1472","76763.7","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..3","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
" TOTAL","  2","44.00","  0","0.00","  0","0.00","  2","44.00","  0"
"","","","","","","","","",""
"DIAMOND MEDI CARE","","","","","","","","",""
"DI.BUFFANT CAP BL             1'S","  -","0.00","200","300.00","200","360.00","  -","0.00","  -"
"DI.EYE PAD 6*6                1S"," 50","500.00","  -","0.00","  -","0.00"," 50","500.00"," 50"
" TOTAL"," 50","500.00","200","300.00","200","360.00"," 50","500.00","  0"
"","","","","","","","","",""
"DISPOVAN","","","","","","","","",""
"DISPOVAN 1ML 26G              1S","  -","0.00","100","335.00","100","385.00","  -","0.00","  -"
"DISPOVAN 1ML-31G              10'S","  -","0.00"," 10","260.00"," 10","350.00","  -","0.00","  -"
"DISPOVAN 2ML SYG              1S","  -","0.00","700","1225.00","700","1315.00","  -","0.00","  -"
"DISPOVAN NDL 24               100S","  -","0.00","  6","408.00","  6","450.00","  -","0.00","  -"
"DISPOVAN NDL 26               100S","  -","0.00","  7","476.00","  6","450.00","  1","71.00","  -"
"DISPOVAN SYG 10ML             1S","  -","0.00","100","365.00","100","392.50","  -","0.00","  -"
"DISPOVAN SYG 5ML              1S","  -","0.00","200","470.00","200","525.00","  -","0.00","  -"
" TOTAL","  0","0.00","1123","3539.00","1122","3867.50","  1","71.00","  0"
"","","","","","","","","",""
"DYNAMIC TECHNO MEDICALS PVT LTD","","","","","","","","",""
"KNEECAP TYNOR L               1P","  1","175.00","  -","0.00","  -","0.00","  1","175.00","  -"
" TOTAL","  1","175.00","  0","0.00","  0","0.00","  1","175.00","  0"
"","","","","","","","","",""
"ENTOD PHAMA(ENSIGHT)","","","","","","","","",""
"AB-PRESS PF                   10ML"," 14","3281.51","  -","0.00"," 14","3668.75","  -","0.00","  -"
"ABPRESS                       5ML","  9","1300.46"," 25","4018.24"," 26","5094.51","  8","1155.96","  -"
"ADBROM                        5ML"," 76","5252.25"," 70","4837.60"," 73","5583.55"," 73","5044.92","  -"
"CATAGON                       10ML"," 14","755.41"," 75","4046.87"," 11","904.76"," 78","4208.74","  -"
"CYCLOFEZ                      5ML"," 25","1044.75"," 25","1044.75"," 18","819.02"," 32","1337.28","  -"
"E-FLO DROPS                   5ML"," 37","2004.91","140","7586.16","133","9563.69"," 44","2384.22","  1"
"ENGATT E/D                    5ML"," 76","3553.38"," 64","2160.04"," 70","2675.40"," 70","3272.85","  3"
"ENLUBE                        10ML"," 87","6511.16"," 70","5503.11"," 75","6448.05"," 82","6136.95","  -"
"ENLUBE FUSION E/D             5ML"," 17","1488.75","  -","0.00","  -","0.00"," 17","1488.75"," 17"
"ENTRAK SOOTHE                 5GM"," 50","9375.75","  -","0.00"," 30","6175.00"," 20","3750.30","  -"
"FLUBI E/D                     5ML","  6","283.31","  -","0.00","  -","0.00","  6","283.31","  -"
"FLUBICHLOR E/D                5ML"," 14","688.10","  -","0.00","  -","0.00"," 14","688.10","  -"
"FLUBIGAT                      5ML"," 19","1033.22","  -","0.00","  2","156.09"," 17","924.46","  2"
"FLUCOCID                      5ML"," 81","2785.59","  -","0.00","  -","0.00"," 81","2785.59","  -"
"GANCIGEL                      5GM"," 27","2237.36"," 24","1988.76"," 12","1028.60"," 39","3231.74","  -"
"HOMACID                       5ML"," 60","1369.20","425","10790.75","450","12392.40"," 35","798.70","  -"
"LACRYL HYDRATE                10ML","  1","268.39","  -","0.00","  -","0.00","  1","268.39","  1"
"LACRYL SOOTHE                 10ML"," 75","4838.67","  -","0.00"," 65","5018.00"," 10","645.16","  -"
"LACRYL ULTRA E/D              10ML"," 12","2629.51","  -","0.00","  4","1133.51","  8","1753.01","  -"
"LACRYL-PF                     5GM"," 20","1311.45","230","14839.94","186","14818.67"," 64","4196.63","  -"
"LACRYL-PLUS                   10ML"," 11","465.58","  -","0.00"," -7","54.74"," 18","761.85"," 12"
"LOT OINTMENT                  5GM","  6","417.02","350","23850.19","346","28294.96"," 10","695.03","  -"
"LOT-LS                        5ML","  -","0.00"," 30","1848.40"," 18","1207.46"," 12","739.36","  -"
"MACUSHIELD TAB                10S"," 11","876.28","  -","0.00","  -","0.00"," 11","876.28","  1"
"MOTOGRAM E/D                  5ML"," 18","1890.15","  -","0.00","  -","0.00"," 18","1890.15","  6"
"MYATRO E/D                    5ML"," 29","3594.52"," 25","3098.72"," 34","5264.37"," 20","2478.98","  -"
"NATACIN                       5ML"," 28","2353.55"," 70","4623.09"," 40","2954.70"," 58","4875.20","  -"
"OMEFLOX E/D                   5ML","  6","180.96","  -","0.00","  -","0.00","  6","180.96","  -"
"OMEFLOX OINT                  5GM","  -","0.00"," 50","1977.00","  2","85.22"," 48","1897.92","  -"
"","","","","","","","","",""
"TOTAL","2388","144386.85","4263","165497.77","4227","205361.90","2424","136260.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..4","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"OMEFLOX-BM                    5GM"," 40","655.60","100","1639.00"," 90","1657.49"," 50","819.50","  -"
"OPTICOOL E/D                  10ML"," 58","3169.35","210","10510.71","129","7096.15","139","7595.52","  -"
"PRESS-DT                      10S","  -","0.00"," 50","1380.00"," 50","1500.00","  -","0.00","  -"
"RHOPRESS E/D                  2.5ML","  6","1398.20","  -","0.00","  -","0.00","  6","1398.20","  -"
"SOLINE 5                      10ML"," 52","2795.74"," 70","2957.06"," 51","2582.61"," 71","3817.26","  -"
"SOLINE-6                      3GM"," 67","5632.41"," 50","3832.15"," 70","6260.23"," 47","3951.09","  -"
"T-1                           3ML"," 10","1554.75"," 75","11660.58","  -","0.00"," 85","13215.3","  -"
"TIMOL P                       10ML","  -","0.00","100","4830.00"," 45","2311.05"," 55","2504.70","  -"
"TOBRACID E/D                  5ML"," 15","735.45"," 25","1225.75"," 35","1906.80","  5","245.15","  -"
"TOBRACID-F                    5ML","  5","333.53","  -","0.00","  5","370.55","  -","0.00","  -"
"TROMIDE-PLUS                  5ML"," 32","1414.52","  -","0.00","  -","0.00"," 32","1414.52","  -"
" TOTAL","1114","79480.72","2353","130248.87","2077","137026.33","1390","93712.0","  0"
"","","","","","","","","",""
"ENTOD PHARMA-G TECH","","","","","","","","",""
"AUDIOVIT CAP                  10S"," 15","2290.31"," 30","4580.62"," 12","2035.70"," 33","5038.68","  -"
"AUDIOVIT-Z                    10C","  6","948.28","  -","0.00","  6","990.34","  -","0.00","  -"
"AZENATE NASAL SPRAY           9.8ML","  1","192.34","  -","0.00","  -","0.00","  1","192.34","  -"
"E-SALIVA PLUS MOUTHSPRAY      15ML"," 25","3147.29","  -","0.00","  8","1037.92"," 17","2140.16","  -"
"ENTOMED PLUS CAP              10S"," 14","502.48","  -","0.00","  -","0.00"," 14","502.48","  -"
"FEXAGON PLUS TAB              10S"," 30","2129.68"," 50","3549.45"," 36","2782.41"," 44","3123.52","  -"
"MEFENTOD-P SYP                60ML","  6","161.21","  -","0.00","  -","0.00","  6","161.21","  -"
"MOMFIT NASAL SPRAY            10ML"," 12","1575.00","  -","0.00","  -","0.00"," 12","1575.00","  -"
"NASOLINE NASAL SPRAY          10ML","  6","155.91","  -","0.00","  2","67.20","  4","103.94","  4"
"ORINASE-A                     10ML"," 24","841.86"," 30","1052.33"," 24","905.84"," 30","1052.33","  -"
"OTOBIOTIC                     5ML"," 88","5893.54","180","12054.96","194","14209.58"," 74","4955.93","  -"
"OTOBIOTIC PLUS NEW            5ML","  -","0.00"," 30","1157.34"," 18","766.31"," 12","462.90","  -"
"OTOFUNGIN E/D                 10ML"," 68","2622.60","  -","0.00","  -","0.00"," 68","2622.60","  -"
"OTOGON EAR DROPS              10ML","  2","191.80","  -","0.00","  -","0.00","  2","191.80","  -"
"RHINASE NASAL DROPS           10ML","  2","143.58","  -","0.00","  -","0.00","  2","143.58","  -"
"RHINOFIT-F                    6GMS","  6","1221.45","  -","0.00"," -4","0.00"," 10","2035.75","  -"
"TINNITOD CAP                  10S"," 23","4374.38"," 60","11411.42"," 59","12179.33"," 24","4564.57","  -"
"WAXONIL ACTIV                 10ML","  6","460.14"," 30","2105.42","  5","464.11"," 31","2377.39","  -"
"WAXONIL KID                   10ML"," 38","2104.54","  -","0.00"," 25","1637.60"," 13","719.97","  1"
" TOTAL","372","28956.38","410","35911.54","385","37076.34","397","31964.1","  0"
