itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML","  8","907.74","  -","0.00","  -","0.00","  8","907.74","  8"
"LOTEL GEL                     5ML","  9","985.00","  -","0.00","  -","0.00","  9","985.00","  9"
"OLOPAT                        5ML","  7","848.36","  -","0.00","  -","0.00","  7","848.36","  7"
"OLOPAT OD                     5ML","  6","813.80","  -","0.00","  -","0.00","  6","813.80","  6"
"VIRSON GEL                    5GM"," 17","1643.70","  -","0.00","  -","0.00"," 17","1643.70"," 17"
" TOTAL"," 47","5198.60","  0","0.00","  0","0.00"," 47","5198.60","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"POVIKEM SCRUB                 500ML","  -","0.00","  1","187.00","  1","210.00","  -","0.00","  -"
" TOTAL","  0","0.00","  1","187.00","  1","210.00","  0","0.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"PREDFORTE                     10ML","  1","45.68","  -","0.00","  1","46.16","  -","0.00","  -"
"REFRESH LIQUIGEL              10ML","  5","779.61","  -","0.00","  5","830.45","  -","0.00","  -"
"TEARSPLUS                     10ML","  3","213.98","  -","0.00","  3","225.61","  -","0.00","  -"
"ZYMAR E/O                     5GM","  8","592.16","  -","0.00","  -","0.00","  8","592.16","  8"
" TOTAL"," 23","3899.62","  0","0.00","  9","1102.22"," 14","2860.35","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 35","1237.60"," 25","884.00"," 25","953.02"," 35","1237.60"," 10"
"AFLUR                         5ML"," 60","1574.50"," 84","2204.30","144","4114.82","  -","0.00","  -"
"APIDINE PLUS                  5ML","  -","0.00"," 75","1469.25"," 50","1088.50"," 25","489.75","  -"
"APIDINE-5                     5ML"," 40","783.60","  -","0.00"," 25","545.00"," 15","293.85","  5"
"APPAMIDE PLUS                 5ML"," 25","954.55"," 30","1050.00"," 35","1633.45"," 20","763.64","  -"
"APPAVISC 5ML                  5ML"," 60","3054.55","110","5600.00","130","8092.50"," 40","2036.36","  -"
"APPAVISC PFS 3ML              3ML"," 32","2857.92"," 50","4465.50"," 32","2880.78"," 50","4465.50","  -"
"APPAVISC VAIL 3ML             3ML"," 55","2411.50"," 55","2411.50"," 55","2948.00"," 55","2411.50","  -"
"ART                           10ML","  -","0.00"," 45","2509.20","  -","0.00"," 45","2509.20","  -"
"ART GEL                       10ML","105","5322.80","  -","0.00"," 63","3643.21"," 42","2129.12","  -"
"ART PLUS                      10ML"," 71","3129.68"," 75","3306.00"," 45","2160.02","101","4452.08","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  -","0.00","  5","123.75","  5"
"C-PENT                        5ML"," 45","1075.13"," 60","1433.50"," 36","1134.22"," 69","1648.53","  -"
"CLEARSOL 500ML                1S"," 48","5664.00","  -","0.00"," 48","6480.00","  -","0.00","  -"
"COHEVISC 1.4                  1S","  5","1500.00"," 10","3000.00","  5","1750.00"," 10","3000.00","  -"
"HYLOR                         1S"," 50","5050.00"," 90","9090.00","100","11265.00"," 40","4040.00","  -"
"MEGALUB                       10ML"," 30","4500.00","  -","0.00","  -","0.00"," 30","4500.00","  -"
"MIOCHOL 1ML                   1ML"," 19","366.35"," 33","636.30"," 44","1037.08","  8","154.25","  -"
"MOXIFUR INJ 1ML               1ML"," 28","1080.04"," 55","2121.50"," 60","2828.40"," 23","887.17","  3"
"MOXIFUR-DM                    5ML","  -","0.00"," 30","1205.75","  -","0.00"," 30","1205.75","  -"
"MOXIFUR-K                     5ML","  -","0.00"," 30","1626.50","  -","0.00"," 30","1626.50","  -"
"MOXIFUR-LP                    5ML"," 42","2695.35","  -","0.00","  -","0.00"," 42","2695.35"," 24"
"MYOPED                        5ML"," 22","2577.12"," 24","2811.40"," 22","2655.32"," 24","2811.40","  -"
"RHEX-ID 1ML                   1ML"," 90","4743.82","121","6377.80","130","8375.90"," 81","4269.44","  1"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  -","0.00","  2","1980.00","  2"
" TOTAL","869","52682.24","1002","52202.50","1049","63585.22","822","49730.7","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
