itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3MIL","","","","","","","","",""
"AUTOGLAVE TAPE 3M             1S","  -","0.00","  1","400.00","  1","470.00","  -","0.00","  -"
" TOTAL","  0","0.00","  1","400.00","  1","470.00","  0","0.00","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"KLEANCOL                      1000ML","  -","0.00","  5","450.00","  -","0.00","  5","450.00","  -"
"OLOPAT OD                     5ML","  3","406.90","  -","0.00","  -","0.00","  3","406.90","  3"
" TOTAL","  3","406.90","  5","450.00","  0","0.00","  8","856.90","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"POVIKEM                       500ML","  2","228.00","  -","0.00","  2","260.00","  -","0.00","  -"
" TOTAL","  2","228.00","  0","0.00","  2","260.00","  0","0.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  -"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  -"
"ZYMAR E/O                     5GM","  8","592.15","  -","0.00","  -","0.00","  8","592.15","  -"
" TOTAL"," 14","2860.35","  0","0.00","  0","0.00"," 14","2860.35","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 60","1967.40","100","3279.00"," 25","911.00","135","4426.65"," 10"
"AFLUR                         5ML"," 55","1587.30"," 60","1574.40"," 54","1543.06"," 61","1760.46","  -"
"APIDINE PLUS                  5ML"," 49","959.91","100","1959.00"," 75","1632.75"," 74","1449.66","  9"
"APPAMIDE PLUS                 5ML"," 36","1260.00"," 60","2310.00"," 30","1455.00"," 66","2310.00","  6"
"APPAVISC 5ML                  5ML","135","6930.90","120","6000.00","170","11636.50"," 85","4363.90","  -"
"APPAVISC PFS 2.4              3ML"," 50","5464.50"," 30","3278.70"," 50","6072.50"," 30","3278.70","  -"
"ART GEL                       10ML","106","5373.14","225","11659.02","166","9519.48","165","8363.85","  -"
"ART PLUS                      10ML"," 56","2715.44","150","7272.00"," 56","3176.23","150","7273.50","  -"
"C-PENT                        5ML"," 60","1576.20"," 60","1576.20"," 60","1911.60"," 60","1576.20","  -"
"CLEARSOL 500ML                1S"," 84","10920.00","  -","0.00"," 82","13380.00","  2","260.00","  -"
"COHEVISC 1.4                  1S","  5","1650.00","  5","1650.00","  5","1900.00","  5","1650.00","  -"
"HYLOR                         1S"," 30","3330.00","100","11100.00"," 30","3700.80","100","11100.0","  -"
"MIOCHOL 1ML                   1ML"," 44","848.32"," 50","964.00"," 70","1649.90"," 24","462.72","  1"
"MOXIFUR 5ML                   5ML"," 75","3636.50","  -","0.00","  -","0.00"," 75","3636.50","  1"
"MOXIFUR INJ 1ML               1ML"," 30","1272.90","100","4242.00"," 90","4666.50"," 40","1697.20","  -"
"MOXIFUR-LP                    5ML"," 25","1411.75","150","8470.50","  -","0.00","175","9882.25"," 24"
"MYDRIA PFS                    1ML","  -","0.00","  5","750.00","  -","0.00","  5","750.00","  -"
"MYOPED                        5ML"," 21","2459.94","  -","0.00","  -","0.00"," 21","2459.94","  -"
"RHEX-ID 1ML                   1ML","120","6957.60","180","9538.80","177","11617.05","123","7131.54","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  -","0.00","  2","1980.00","  -"
" TOTAL","1043","62301.80","1495","75623.62","1140","74772.37","1398","75813.0","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"LUBI WIPES ULTRA              20'S","  -","0.00"," 35","4999.50"," 35","5600.00","  -","0.00","  -"
"LUBI-FRESH                    10ML"," 60","3232.35","  -","0.00","  -","0.00"," 60","3232.35","  -"
"NEPAFLO E/D                   5ML","  -","0.00"," 60","5445.00","  -","0.00"," 60","5445.00","  -"
" TOTAL"," 72","4132.35"," 95","10444.50"," 35","5600.00","132","9577.35","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROCAINE                     5ML"," 10","368.40"," 20","716.80"," 10","458.40"," 20","736.80","  -"
"AUROCORT                      1ML","  -","0.00"," 20","1530.40"," 10","850.00"," 10","765.20","  -"
"AUROMIDE                      5ML","  2","68.51"," 22","753.40","  -","0.00"," 24","822.11","  1"
"","","","","","","","","",""
"TOTAL","1146","70366.31","1658","89918.72","1198","82410.77","1606","91431.7","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"AUROMIDE PLUS                 5ML"," 20","923.45"," 22","1111.80"," 42","2538.00","  -","0.00","  -"
"FLURES                        3ML"," 10","1020.50"," 30","3061.50"," 40","4300.00","  -","0.00","  -"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML"," 10","389.70"," 10","378.90"," 10","472.00"," 10","389.70","  -"
