itemdescri,qty,value,e,f,g,h,i,j,k
" TOTAL","  6","813.80","  0","0.00","  0","0.00","  6","813.80","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"POVIKEM SCRUB                 500ML","  -","0.00","  1","187.00","  1","210.00","  -","0.00","  -"
" TOTAL","  0","0.00","  1","187.00","  1","210.00","  0","0.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  -"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  -"
"ZYMAR E/O                     5GM","  8","592.15","  -","0.00","  -","0.00","  8","592.15","  -"
" TOTAL"," 14","2860.35","  0","0.00","  0","0.00"," 14","2860.35","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 50","1639.50"," 25","819.75"," 50","1785.56"," 25","819.75","  -"
"AFLUR                         5ML"," 60","1731.60","  -","0.00","  -","0.00"," 60","1731.60","  -"
"APIDINE PLUS                  5ML"," 34","666.06"," 25","489.75"," 10","213.35"," 49","959.91","  9"
"APPAMIDE PLUS                 5ML","  6","210.00"," 30","1155.25","  -","0.00"," 36","1260.00","  6"
"APPAVISC 5ML                  5ML"," 50","2567.00","110","6160.00"," 80","5476.00"," 80","4107.20","  -"
"APPAVISC PFS 2.4              3ML"," 20","2185.80"," 80","8743.20"," 46","5586.70"," 54","5901.66","  -"
"ART GEL                       10ML"," 40","2027.60","150","7604.00","122","7201.08"," 68","3446.92","  -"
"ART PLUS                      10ML"," 85","4121.65","  -","0.00"," 70","3596.36"," 15","727.35","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  5","137.50","  -","0.00","  -"
"C-PENT                        5ML"," 22","577.94"," 60","1433.50"," 12","374.68"," 70","1838.90","  -"
"CLEARSOL 500ML                1S","  -","0.00"," 36","4680.00"," 36","5760.00","  -","0.00","  -"
"COHEVISC 1.4                  1S"," 10","3300.00","  -","0.00","  -","0.00"," 10","3300.00","  -"
"HYLOR                         1S"," 40","4440.00"," 90","9990.00","120","14803.20"," 10","1110.00","  -"
"MIOCHOL 1ML                   1ML"," 24","462.72"," 22","424.20"," 40","942.80","  6","115.68","  -"
"MOXIFUR 5ML                   5ML","  -","0.00","225","10909.50","150","8000.19"," 75","3636.50","  -"
"MOXIFUR INJ 1ML               1ML"," 55","2333.65"," 55","2333.50"," 95","4666.70"," 15","636.45","  -"
"MOXIFUR-DM                    5ML","  -","0.00"," 12","530.50"," 12","577.71","  -","0.00","  -"
"MOXIFUR-LP                    5ML"," 25","1411.75","  -","0.00","  -","0.00"," 25","1411.75"," 24"
"MYOPED                        5ML"," 27","3162.78","  -","0.00","  6","765.33"," 21","2459.94","  -"
"RHEX-ID 1ML                   1ML"," 90","5218.20"," 66","3826.80","125","8312.15"," 31","1797.38","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  7","6930.00","  7","7700.00","  2","1980.00","  -"
" TOTAL","645","38160.00","993","66029.95","986","75899.31","652","37240.9","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"LUBI-FRESH                    10ML","  -","0.00"," 60","3232.35"," 60","3518.20","  -","0.00","  -"
"NEPAFLO E/D                   5ML","  -","0.00"," 36","3267.00","  -","0.00"," 36","3267.00","  -"
" TOTAL"," 12","900.00"," 96","6499.35"," 60","3518.20"," 48","4167.00","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROCAINE                     5ML"," 10","368.40","  -","0.00","  -","0.00"," 10","368.40","  -"
"AUROMIDE                      5ML","  2","68.51","  -","0.00","  -","0.00","  2","68.51","  1"
"AUROMIDE PLUS                 5ML"," 30","1385.18","  -","0.00","  -","0.00"," 30","1385.18","  -"
"FLURES                        3ML"," 10","1020.50","  -","0.00","  -","0.00"," 10","1020.50","  -"
"","","","","","","","","",""
"TOTAL","747","46962.74","1090","72716.30","1047","79627.51","790","49310.7","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML","  -","0.00"," 50","1966.50"," 10","472.00"," 40","1558.80","  -"
"VOZOLE E/D                    30MG","  3","762.84"," 20","4937.40"," 20","6196.80","  3","762.84","  -"
" TOTAL"," 60","4167.93"," 70","6903.90"," 30","6668.80","100","5726.73","  0"
"","","","","","","","","",""
"AUSTRAK PHARMA","","","","","","","","",""
"EPILUBE E/D                   10ML","  4","289.30","  -","0.00","  -","0.00","  4","289.30","  4"
" TOTAL","  4","289.30","  0","0.00","  0","0.00","  4","289.30","  0"
"","","","","","","","","",""
"BARODA SURGICAL BIOMEDS","","","","","","","","",""
"FORMALIN TAB                  100S","  -","0.00","  1","100.00","  1","120.00","  -","0.00","  -"
" TOTAL","  0","0.00","  1","100.00","  1","120.00","  0","0.00","  0"
"","","","","","","","","",""
"BAXTER INDIA PVT LTD","","","","","","","","",""
"DNS-500ML                     1S","  2","49.00","  -","0.00","  -","0.00","  2","49.00","  -"
" TOTAL","  2","49.00","  0","0.00","  0","0.00","  2","49.00","  0"
"","","","","","","","","",""
"BERRY&HERBS PHARMA PVT LTD","","","","","","","","",""
"CORSOL XG                     5ML"," 65","5432.00","  -","0.00"," 24","2365.92"," 41","3426.34","  -"
"GLUKOGEGSIC CAP               10'S"," 70","11361.47","  -","0.00"," 66","13254.99","  4","649.23","  -"
"MOXISHIELD LP                 5ML"," 75","4757.00","  -","0.00","  -","0.00"," 75","4757.00","  -"
"MOXITOBRA                     5ML"," 45","3471.30","  -","0.00","  -","0.00"," 45","3471.30","  -"
"OPTIWIRE CAPS                 10'S"," 30","9135.82","  -","0.00","  -","0.00"," 30","9135.82","  -"
" TOTAL","285","34157.59","  0","0.00"," 90","15620.91","195","21439.6","  0"
"","","","","","","","","",""
"BORN HEALTHCARE PVT LTD","","","","","","","","",""
"NS-500ML                      500ML","  1","25.25"," 10","255.00"," 10","280.00","  1","25.25","  -"
" TOTAL","  1","25.25"," 10","255.00"," 10","280.00","  1","25.25","  0"
"","","","","","","","","",""
"CADILA","","","","","","","","",""
"DEXASONE 2ML                  2ML","  -","0.00"," 40","252.00"," 40","280.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 40","252.00"," 40","280.00","  0","0.00","  0"
"","","","","","","","","",""
"CARE GROUP","","","","","","","","",""
"CANNULA NEEDLE                1S","270","270.00","  -","0.00","  -","0.00","270","270.00","270"
"CONTACAINE SOL                5ML"," 10","334.30","  -","0.00","  -","0.00"," 10","334.30"," 10"
"CONTASOL BSS(PP)              500ML","  1","110.00"," -1","-100.00","  -","0.00","  -","0.00","  -"
"CONTASOL GLASS 500ML          1'S","  1","117.74"," -1","-117.74","  -","0.00","  -","0.00","  -"
"FLUO STRIPS                   100S"," 14","2072.00"," 50","7400.00"," 26","4290.00"," 38","5624.00","  -"
"MOCARE-LP                     5ML"," 12","827.40","-12","-827.40","  -","0.00","  -","0.00","  -"
"NEPACON                       5ML"," 48","3298.56","-48","-3298.56","  -","0.00","  -","0.00","  -"
"ROSE BENGAL STRIPS            100S","  2","400.00"," -2","-400.00","  -","0.00","  -","0.00","  -"
"TEAR STRIPS                   100S","  2","400.00","  -","0.00","  -","0.00","  2","400.00","  -"
"VISCOLON VAILS                5ML"," 60","2481.82","  -","0.00","  -","0.00"," 60","2481.82","  -"
" TOTAL","420","10311.82","-14","2656.30"," 26","4290.00","380","9110.12","  0"
"","","","","","","","","",""
"TOTAL","1467","93121.03","1197","82883.50","1244","106887.22","1420","83108.2","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..3","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"CHC","","","","","","","","",""
"BUFFANT CAP                   1'S","200","280.00","500","700.00","400","740.00","300","420.00","  -"
" TOTAL","200","280.00","500","700.00","400","740.00","300","420.00","  0"
"","","","","","","","","",""
"CIPLA","","","","","","","","",""
"ITRANOX 200                   4S"," 40","1724.80","  -","0.00","  -","0.00"," 40","1724.80","  -"
"OMNIX 200DT                   10S"," 10","567.08","  -","0.00","  -","0.00"," 10","567.08","  -"
"OMNIX-O TAB                   10S","  1","77.78","  -","0.00","  -","0.00","  1","77.78","  -"
" TOTAL"," 51","2369.66","  0","0.00","  0","0.00"," 51","2369.66","  0"
"","","","","","","","","",""
"CLARIS OSTUKA","","","","","","","","",""
"RL-500ML                      1S"," 28","793.80","140","3969.00","168","5040.00","  -","0.00","  -"
"ST WATER 10ML                 50","  2","224.00","  4","428.00","  6","690.00","  -","0.00","  -"
" TOTAL"," 30","1017.80","144","4397.00","174","5730.00","  0","0.00","  0"
"","","","","","","","","",""
"DIAMOND MEDI CARE","","","","","","","","",""
"DI.EYE PAD 6*6                1S"," 50","500.00","  -","0.00","  -","0.00"," 50","500.00","  -"
" TOTAL"," 50","500.00","  0","0.00","  0","0.00"," 50","500.00","  0"
"","","","","","","","","",""
"DISPOVAN","","","","","","","","",""
"DISPOVAN 2ML SYG              1S","  -","0.00","700","1253.00","700","1365.00","  -","0.00","  -"
"DISPOVAN NDL 24               100S","  -","0.00","  5","355.00","  5","375.00","  -","0.00","  -"
"DISPOVAN NDL 26               100S","  -","0.00","  4","284.00","  3","225.00","  1","70.00","  -"
