itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3M","","","","","","","","",""
"TRANSPORE                     1S","  -","0.00"," 12","528.00"," 12","600.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 12","528.00"," 12","600.00","  0","0.00","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"DIFLUMOX                      5ML","  -","0.00"," 28","4173.56","  -","0.00"," 28","4173.56","  -"
"HYPOCLIN SOLU                 60ML","  -","0.00"," 12","1322.67"," 12","1378.96","  -","0.00","  -"
"KETOGATE                      5ML","  -","0.00"," 11","1034.00","  5","490.00","  6","564.00","  -"
" TOTAL","  0","0.00"," 51","6530.23"," 17","1868.96"," 34","4737.56","  0"
"","","","","","","","","",""
"ALKEM HEALTH SCIENCES","","","","","","","","",""
"M 20                          1S","  -","0.00"," 25","637.50"," 25","687.50","  -","0.00","  -"
" TOTAL","  0","0.00"," 25","637.50"," 25","687.50","  0","0.00","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"DEXA ALKEM                    2ML","  -","0.00"," 10","57.50"," 10","65.00","  -","0.00","  -"
"POVIKEM                       500ML","  -","0.00","  1","100.00","  1","110.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 11","157.50"," 11","175.00","  0","0.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"COMBIGAN                      5ML"," 20","6444.60","  -","0.00","  2","700.50"," 18","5800.14","  -"
"FML                           5ML"," 10","993.99","  -","0.00","  -","0.00"," 10","993.99","  -"
"L-PRED                        5ML","  5","672.58","  -","0.00","  -","0.00","  5","672.58","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"OPTIVE                        10ML","  9","913.62"," 30","3045.38"," 19","2078.81"," 20","2030.26","  -"
"REFRESH LIQUIGEL              10ML","  5","779.61","  5","703.89","  4","602.90","  6","935.53","  -"
"REFRESH TEARS                 10ML"," 50","5621.67","  -","0.00"," 33","3607.02"," 17","1911.37","  -"
"TEARSPLUS                     10ML","  8","570.62","  -","0.00","  -","0.00","  8","570.62","  -"
"ZYMAR E/O                     5GM","  -","0.00"," 20","1480.39"," 10","813.40"," 10","740.20","  -"
" TOTAL","112","18130.36"," 55","5229.66"," 68","7802.63"," 99","15788.3","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 25","884.00","  -","0.00","  -","0.00"," 25","884.00","  -"
"AFLUR                         5ML","  -","0.00","120","3149.00"," 60","1714.51"," 60","1574.50","  -"
"APIDINE-5                     5ML","  -","0.00"," 75","1341.75"," 25","487.06"," 50","979.50","  -"
"APPAMIDE PLUS                 5ML"," 35","1336.36"," 60","2100.00"," 35","1633.45"," 60","2290.91","  -"
"APPAVISC 5ML                  5ML"," 35","1781.82","110","5600.00"," 70","4357.50"," 75","3818.18","  -"
"APPAVISC PFS 3ML              3ML"," 10","893.10","100","8119.00"," 80","7220.00"," 30","2679.30","  -"
"APPAVISC VAIL 3ML             3ML"," 55","2411.50"," 55","2411.50"," 30","1608.00"," 80","3507.64","  -"
"ART                           10ML"," 34","1895.84","  -","0.00","  -","0.00"," 34","1895.84","  -"
"ART GEL                       10ML"," 76","3852.69"," 75","3802.00"," 91","6210.01"," 60","3041.60","  -"
"ART PLUS                      10ML"," 80","3526.40","  -","0.00"," 13","734.70"," 67","2953.36","  -"
"C-PENT                        5ML"," 35","836.21"," 30","716.75"," 35","1108.73"," 30","716.75","  -"
"CLEARSOL 500ML                1S","  -","0.00"," 36","4248.00"," 12","1800.00"," 24","2832.00","  -"
"COHEVISC 1.4                  1S","  5","1500.00"," 10","3000.00"," 10","3500.00","  5","1500.00","  -"
"HYLOR                         1S","  -","0.00"," 40","4040.00"," 10","1170.00"," 30","3030.00","  -"
"MEE CLEAN                     200ML"," 20","800.00","  -","0.00","  -","0.00"," 20","800.00","  -"
"MIOCHOL 1ML                   1ML","  -","0.00"," 44","848.40"," 40","942.80","  4","77.13","  -"
"MOXIFUR INJ 1ML               1ML","  3","115.72"," 33","1272.90","  -","0.00"," 36","1388.62","  -"
"MOXIFUR-LP                    5ML"," 24","1540.20","  -","0.00","  -","0.00"," 24","1540.20"," 24"
"MYOPED                        5ML","  1","117.14"," 30","3294.75","  4","585.72"," 27","3162.83","  -"
"RHEX-ID 1ML                   1ML"," 28","1475.85","132","6957.60","132","8504.76"," 28","1475.85","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  2","2400.00","  -","0.00","  -"
" TOTAL","468","24946.84","950","50901.65","649","43977.24","769","40148.2","  0"
"","","","","","","","","",""
"TOTAL","580","43077.20","1104","63984.54","782","55111.33","902","60674.1","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"LUBI-FRESH                    10ML"," 24","1292.94"," 60","3232.35"," 60","3590.00"," 24","1292.94","  -"
"MOXAP                         5ML"," 12","758.34"," 60","3791.70"," 72","5052.00","  -","0.00","  -"
"MOXAP-LP                      5ML","  -","0.00"," 72","6332.04"," 36","3510.00"," 36","3166.02","  -"
" TOTAL"," 48","2951.28","192","13356.09","168","12152.00"," 72","5358.96","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AURO CMC                      10ML"," 36","2250.00","  -","0.00","  -","0.00"," 36","2250.00","  -"
"AUROCAINE                     5ML"," 13","503.75","  -","0.00"," 13","550.37","  -","0.00","  -"
"AUROCARPINE 0.5%              1ML"," 10","170.00","  -","0.00","  -","0.00"," 10","170.00","  -"
"AUROFLUR                      5ML"," 28","874.87","  -","0.00","  -","0.00"," 28","874.87","  -"
"AUROMIDE PLUS                 5ML"," 55","2250.00","  -","0.00"," 55","2640.00","  -","0.00","  -"
"FLURES                        3ML","  -","0.00"," 30","2823.00"," 30","3000.00","  -","0.00","  -"
"HYLUBE"," 11","1406.20","  -","0.00","  -","0.00"," 11","1406.20","  -"
"LID CLEAN                     50ML"," 30","3375.00","  -","0.00","  -","0.00"," 30","3375.00","  -"
"LOBONATE E/D                  5ML"," 11","892.80","  -","0.00","  -","0.00"," 11","892.80","  -"
"MFLOX                         5ML"," 11","460.28","  -","0.00","  -","0.00"," 11","460.28","  -"
"NPACT E/D                     5ML"," 11","1116.00","  -","0.00","  -","0.00"," 11","1116.00","  -"
"PILO                          5ML","  2","78.66","  -","0.00","  -","0.00","  2","78.66","  -"
"VOZOLE E/D                    30MG","  4","900.00","  -","0.00","  -","0.00","  4","900.00","  1"
"VOZOLE PF                     1MG","  3","450.00","  -","0.00","  -","0.00","  3","450.00","  -"
" TOTAL","225","14727.56"," 30","2823.00"," 98","6190.37","157","11973.8","  0"
"","","","","","","","","",""
"BORN HEALTHCARE PVT LTD","","","","","","","","",""
"NS-500ML                      500ML","  1","23.50"," 10","207.50"," 10","230.50","  1","23.50","  -"
" TOTAL","  1","23.50"," 10","207.50"," 10","230.50","  1","23.50","  0"
"","","","","","","","","",""
"CARE GROUP","","","","","","","","",""
"BLUERHEXIX                    5S","  -","0.00"," 11","2340.00","  9","2340.00","  2","425.45","  -"
"CANNULA NEEDLE                1S","305","305.00","165","0.00","150","50.00","320","320.00","155"
"CARELUB                       10ML","131","9032.45","  -","0.00","  -","0.00","131","9032.45","  -"
"CARELUB-DS                    10ML"," 11","758.45"," 36","2482.20"," 11","825.86"," 36","2482.20","  -"
"CONTACAINE SOL                5ML"," 14","468.02"," 24","802.32","  -","0.00"," 38","1270.34","  -"
"CONTADINE SOL                 5ML"," 12","231.48","  -","0.00","  -","0.00"," 12","231.48","  -"
"CONTASOL BSS(PP)              250ML","  -","0.00","120","7128.00","  -","0.00","120","7128.00","  -"
"CONTASOL BSS(PP)              500ML","  1","110.00"," 96","10560.00","  -","0.00"," 97","10670.0","  1"
"CONTASOL GLASS 500ML          1'S"," 13","1530.62","  -","0.00","  -","0.00"," 13","1530.62","  1"
"FLUO STRIPS                   100S","  4","600.00"," 10","1800.00","  -","0.00"," 14","2100.00","  -"
"IMMUX EFFERVESCENT TABLETS    20S"," 40","10677.60","  -","0.00","  -","0.00"," 40","10677.6","  -"
"MOCARE E/D                    5ML"," 12","700.20","  -","0.00","  -","0.00"," 12","700.20","  -"
"MOCARE-DX                     5ML"," 36","1978.92","  -","0.00","  -","0.00"," 36","1978.92","  -"
"MOCARE-LP                     5ML"," 60","4137.00","  -","0.00","  -","0.00"," 60","4137.00"," 12"
"NEPACON                       5ML"," 48","3298.56","  -","0.00","  -","0.00"," 48","3298.56"," 48"
"ROSE BENGAL STRIPS            100S","  2","400.00","  -","0.00","  -","0.00","  2","400.00","  -"
"TROPICARE PLUS                5ML","  -","0.00"," 36","1099.44"," 24","814.32"," 12","366.48","  -"
"VISCOLON VAILS                5ML","  5","223.24","165","6831.00","150","7800.00"," 20","892.94","  -"
" TOTAL","694","34451.54","663","33042.96","344","11830.18","1013","57642.2","  0"
"","","","","","","","","",""
"CIPLA","","","","","","","","",""
"ITRANOX 200                   4S"," 40","1724.80","  -","0.00","  -","0.00"," 40","1724.80"," 40"
"","","","","","","","","",""
"TOTAL","1588","96955.88","1999","113414.09","1402","85514.38","2185","137397.","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..3","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"OMNIX 200DT                   10S"," 10","567.08","  -","0.00","  -","0.00"," 10","567.08"," 10"
"OMNIX-O TAB                   10S","  1","77.78","  -","0.00","  -","0.00","  1","77.78","  1"
" TOTAL"," 51","2369.66","  0","0.00","  0","0.00"," 51","2369.66","  0"
"","","","","","","","","",""
"CLARIS OSTUKA","","","","","","","","",""
"RL-500ML                      1S","  -","0.00"," 10","250.00"," 10","265.00","  -","0.00","  -"
"ST WATER 10ML                 50","  -","0.00","  1","95.00","  1","104.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 11","345.00"," 11","369.00","  0","0.00","  0"
"","","","","","","","","",""
"DISPOVAN","","","","","","","","",""
"DISPOVAN 2ML SYG              1S","  -","0.00","600","1014.00","400","740.00","200","350.00","  -"
"DISPOVAN NDL 26               100S","  -","0.00"," 11","753.50"," 11","825.00","  -","0.00","  -"
" TOTAL","  0","0.00","611","1767.50","411","1565.00","200","350.00","  0"
"","","","","","","","","",""
"DYNAMIC TECHNO MEDICALS PVT LTD","","","","","","","","",""
"KNEECAP TYNOR L               1P","  1","175.00","  -","0.00","  -","0.00","  1","175.00","  -"
" TOTAL","  1","175.00","  0","0.00","  0","0.00","  1","175.00","  0"
"","","","","","","","","",""
"ENTOD PHAMA(ENSIGHT)","","","","","","","","",""
"AB-PRESS PF                   10ML","  2","468.79"," 12","2812.50","  2","464.34"," 12","2812.73","  -"
"ADBROM                        5ML"," 13","898.41","  -","0.00","  3","287.71"," 10","691.09","  -"
"CATAGON                       10ML"," 10","539.58"," 30","1888.50"," 10","749.02"," 30","1618.75","  -"
"CYCLOFEZ                      5ML","  3","125.37"," 50","2089.50"," 16","725.34"," 37","1546.23","  -"
"E-FLO DROPS                   5ML"," 23","1246.30"," 65","3455.50"," 65","3839.50"," 23","1246.30","  -"
"ENGATT E/D                    5ML"," 21","981.86","  -","0.00","  2","102.90"," 19","888.35","  3"
"ENLUBE                        10ML"," 10","748.41"," 30","2489.25","  5","530.33"," 35","2619.43","  -"
"ENTRAK SOOTHE                 5GM"," 16","3000.24"," 30","5625.00","  9","1791.99"," 37","6938.06","  -"
"FLUBICHLOR E/D                5ML"," 27","1327.05","  -","0.00"," 12","655.40"," 15","737.25","  -"
"FLUNATOD 10                   10S"," 32","772.80","  -","0.00","  -","0.00"," 32","772.80","  -"
"GANCIGEL                      5GM"," 14","1160.11","  -","0.00","  -","0.00"," 14","1160.11","  -"
"HOMACID                       5ML","  -","0.00"," 60","1261.15","  7","170.95"," 53","1209.46","  -"
"LACRYL SOOTHE                 10ML","  -","0.00"," 30","2258.00"," 10","983.53"," 20","1290.31","  -"
"LACRYL ULTRA E/D              10ML"," 12","2629.51","  -","0.00","  2","572.59"," 10","2191.26","  -"
"LACRYL-PF                     5GM"," 51","3344.19"," 60","4452.00","108","8809.72","  3","196.72","  -"
"LACRYL-PLUS                   10ML"," 19","804.18","  -","0.00","  6","302.40"," 13","550.23","  -"
"MOTOGRAM E/D                  5ML","  4","420.03"," 30","3150.00"," 12","1350.00"," 22","2310.18","  -"
"MYATRO E/D                    5ML","  -","0.00"," 30","3668.50","  7","957.10"," 23","2850.83","  -"
"NATACIN                       5ML"," 42","3530.32"," 26","1671.80"," 66","4951.87","  2","168.11","  -"
"OMEFLOX-BM                    5GM","  -","0.00"," 60","964.80"," 60","1048.20","  -","0.00","  -"
"OPTICOOL E/D                  10ML","  5","273.22","  -","0.00","  -","0.00","  5","273.22","  -"
"PRESS-DT                      10S"," 29","800.40","  -","0.00"," 24","535.08","  5","138.00","  -"
"SOLINE 5                      10ML"," 14","752.70"," 36","1639.20"," 42","2082.35","  8","430.11","  -"
"SOLINE-6                      3GM"," 32","2690.11"," 30","2491.00"," 18","1638.51"," 44","3698.90","  -"
"T-1                           3ML","  8","1243.80","  -","0.00","  -","0.00","  8","1243.80","  -"
"TIMOL P                       10ML"," 37","1684.98"," 30","1092.75"," 33","1536.48"," 34","1548.36","  -"
" TOTAL","424","29442.34","609","41009.45","519","34085.31","514","39130.5","  0"
"","","","","","","","","",""
"ENTOD PHARMA-G TECH","","","","","","","","",""
"AUDIOVIT CAP                  10S","  7","1068.81","155","21723.19"," 78","11914.97"," 84","12825.7","  -"
"","","","","","","","","",""
"TOTAL","2031","128286.89","3385","178259.23","2421","133448.66","2995","190523.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..4","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"AZENATE NASAL SPRAY           9.8ML","  7","1346.38"," 24","4616.17","  6","1256.51"," 25","4808.51","  -"
"E-SALIVA PLUS MOUTHSPRAY      15ML"," 22","2769.62","  -","0.00"," 12","1482.74"," 10","1258.92","  -"
"ENTOMED PLUS CAP              10S","  5","179.46","  -","0.00"," -9","0.00"," 14","502.48","  -"
"FEXAGON PLUS TAB              10S"," 12","851.87"," 36","2331.79"," 24","1692.66"," 24","1703.74","  -"
"MEFENTOD-P SYP                60ML","  6","161.21","  -","0.00","  -","0.00","  6","161.21","  -"
"MOMFIT NASAL SPRAY            10ML"," 12","1575.00","  -","0.00","  -","0.00"," 12","1575.00","  -"
"NASOLINE NASAL SPRAY          10ML","  -","0.00"," 30","779.56","  -","0.00"," 30","779.56","  -"
"ORASHIELD GEL                 10GM","  -","0.00"," 60","2517.20"," 60","2796.50","  -","0.00","  -"
"ORINASE-A                     10ML"," 30","1052.33"," 30","951.33"," 30","1029.86"," 30","1052.33","  -"
"OTOBIOTIC                     5ML","  -","0.00","190","11089.50"," 72","4829.85","118","7902.70","  -"
"OTOFUNGIN E/D                 10ML","  3","115.70"," 65","2506.90"," 65","2785.50","  3","115.70","  -"
"OTOGON EAR DROPS              10ML"," 12","1150.79","  -","0.00","  -","0.00"," 12","1150.79","  -"
"RHINASE NASAL DROPS           10ML","  6","430.73","  -","0.00","  -","0.00","  6","430.73","  -"
"RHINOFIT-F                    6GMS","  6","1221.45","  -","0.00","  -","0.00","  6","1221.45","  -"
"TINNITOD CAP                  10S"," 15","2852.85"," 95","15640.50"," 89","16150.19"," 21","3994.00","  -"
"WAXONIL ACTIV                 10ML"," 34","2607.46","  -","0.00"," 18","1269.63"," 16","1227.04","  -"
"WAXONIL KID                   10ML","  -","0.00"," 65","3599.86"," 57","3576.00","  8","443.06","  -"
" TOTAL","177","17383.68","750","65756.00","502","48784.41","425","41152.9","  0"
"","","","","","","","","",""
"ENTOD PHARMACEUTICALS LTD","","","","","","","","",""
"4QUIN                         5ML","172","11500.50","  -","0.00","155","10668.91"," 17","1136.68","  -"
"4QUIN E/O                     5GM","  9","473.21","  -","0.00","  -","0.00","  9","473.21","  -"
"4QUIN KT E/D                  5ML","  -","0.00"," 26","1664.57","  -","0.00"," 26","1664.57","  -"
"4QUIN PFS 0.5ML               1S"," 42","4975.80","  -","0.00"," 20","2820.00"," 22","2606.37","  -"
"4QUIN-D                       5ML"," 38","1628.76"," 70","3214.50"," 65","3571.50"," 43","1843.07","  -"
"EYETAMIN GUMMIES              30S","  -","0.00"," 70","9000.00"," 70","10000.00","  -","0.00","  -"
"EYETAMIN TOTAL CAP            10S","  -","0.00"," 18","2858.85","  -","0.00"," 18","2858.85","  -"
"HYSIGHT                       5ML"," 28","2963.05","  -","0.00","  -","0.00"," 28","2963.05","  -"
"I-BORIC                       10ML"," 14","771.91","  -","0.00","  -","0.00"," 14","771.91","  4"
"I-DEW DS                      10ML","156","14801.65"," 70","5149.00","135","11518.62"," 91","8634.30","  -"
