itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"OLOPAT OD                     5ML","  6","813.80","  -","0.00","  -","0.00","  6","813.80","  3"
"VIRSON GEL                    5GM"," 17","1643.70","  -","0.00","  -","0.00"," 17","1643.70","  -"
" TOTAL"," 23","2457.50","  0","0.00","  0","0.00"," 23","2457.50","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  -"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  -"
"ZYMAR E/O                     5GM","  8","592.15","  -","0.00","  -","0.00","  8","592.15","  -"
" TOTAL"," 14","2860.35","  0","0.00","  0","0.00"," 14","2860.35","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 50","1639.50"," 50","1639.50"," 75","2804.50"," 25","819.75","  -"
"AFLUR                         5ML","  -","0.00","120","3149.00"," 60","1714.51"," 60","1731.60","  -"
"APIDINE PLUS                  5ML"," 25","489.75"," 50","979.50"," 50","1088.50"," 25","489.75","  -"
"APPAMIDE PLUS                 5ML"," 16","560.00","150","5776.25","140","7142.20"," 26","910.00","  6"
"APPAVISC 5ML                  5ML"," 95","4877.30","110","6160.00","140","8994.00"," 65","3337.10","  -"
"APPAVISC PFS 2.4              3ML"," 20","2185.80"," 50","5464.50"," 20","2429.00"," 50","5464.50","  -"
"ART GEL                       10ML"," 79","4004.51"," 75","3802.00"," 78","4554.01"," 76","3852.44","  -"
"ART PLUS                      10ML"," 21","1018.29"," 75","3306.00"," 17","864.01"," 79","3830.71","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  -","0.00","  5","123.75","  -"
"C-PENT                        5ML"," 32","840.64","  -","0.00","  -","0.00"," 32","840.64","  -"
"CLEARSOL 500ML                1S"," 60","7800.00","  -","0.00"," 12","1824.00"," 48","6240.00","  -"
"COHEVISC 1.4                  1S","  9","2970.00","  -","0.00","  -","0.00","  9","2970.00","  -"
"HYLOR                         1S"," 30","3330.00"," 40","4440.00"," 50","5846.70"," 20","2220.00","  -"
"MIOCHOL 1ML                   1ML"," 27","520.56","  -","0.00"," 27","624.60","  -","0.00","  -"
"MOXIFUR INJ 1ML               1ML"," 30","1272.90"," 55","2121.50"," 50","2357.00"," 35","1485.05","  -"
"MOXIFUR-LP                    5ML"," 40","2258.80","  -","0.00","  -","0.00"," 40","2258.80"," 24"
"MYOPED                        5ML"," 36","4217.04","  -","0.00"," 21","2755.19"," 15","1757.10","  -"
"RHEX-ID 1ML                   1ML"," 24","1391.52","178","9276.80","160","10154.16"," 42","2435.16","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  -","0.00","  2","1980.00","  -"
" TOTAL","601","41480.36","953","46115.05","900","53152.38","654","42746.3","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"LUBI-FRESH                    10ML"," 24","1292.94","  -","0.00"," 24","1407.28","  -","0.00","  -"
"NEPAFLO E/D                   5ML"," 24","2178.00","  -","0.00"," 24","2371.60","  -","0.00","  -"
" TOTAL"," 60","4370.94","  0","0.00"," 48","3778.88"," 12","900.00","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"ATROP                         5ML"," 10","133.30","  -","0.00","  -","0.00"," 10","133.30","  -"
"AUROCAINE                     5ML"," 10","368.40","  -","0.00","  5","185.00","  5","184.20","  -"
"AUROCORT                      1ML","  -","0.00"," 10","765.20"," 10","850.00","  -","0.00","  -"
"AUROMIDE                      5ML"," 22","753.60","  -","0.00","  -","0.00"," 22","753.60","  1"
"AUROMIDE PLUS                 5ML"," 56","2585.67","  -","0.00","  -","0.00"," 56","2585.67","  -"
"FLURES                        3ML"," 10","1020.50","  -","0.00","  -","0.00"," 10","1020.50","  -"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML"," 10","389.70"," 10","393.30"," 10","472.00"," 10","389.70","  -"
"VOZOLE E/D                    30MG","  1","254.28"," 20","4500.00"," 16","4515.84","  5","1271.40","  -"
" TOTAL","124","6067.95"," 40","5658.50"," 41","6022.84","123","6900.87","  0"
"","","","","","","","","",""
"AUSTRAK PHARMA","","","","","","","","",""
