itemdescri,qty,value,e,f,g,h,i,j,k
" TOTAL","  0","0.00","  1","400.00","  1","460.00","  0","0.00","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"KLEANCOL                      1000ML","  -","0.00","  7","630.00","  2","204.00","  5","450.00","  -"
"OLOPAT OD                     5ML","  6","813.80","  -","0.00","  3","419.88","  3","406.90","  3"
" TOTAL","  6","813.80","  7","630.00","  5","623.88","  8","856.90","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  -"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  -"
"ZYMAR E/O                     5GM","  8","592.15","  -","0.00","  -","0.00","  8","592.15","  -"
" TOTAL"," 14","2860.35","  0","0.00","  0","0.00"," 14","2860.35","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 25","819.75"," 50","1639.50"," 10","364.40"," 65","2131.35","  -"
"AFLUR                         5ML"," 60","1731.60"," 60","1574.50"," 60","1714.51"," 60","1731.60","  -"
"APIDINE PLUS                  5ML"," 49","959.91"," 25","489.75"," 50","1088.50"," 24","470.16","  9"
"APPAMIDE PLUS                 5ML"," 36","1260.00","  -","0.00","  -","0.00"," 36","1260.00","  6"
"APPAVISC 5ML                  5ML"," 80","4107.20","220","12320.00","185","12663.25","115","5904.10","  -"
"APPAVISC PFS 2.4              3ML"," 54","5901.66"," 30","3278.70"," 36","6679.75"," 48","5245.92","  -"
"ART GEL                       10ML"," 68","3446.92","150","7604.00","119","6673.39"," 99","5018.31","  -"
"ART PLUS                      10ML"," 15","727.35"," 75","3306.00"," 28","1440.02"," 62","3006.38","  -"
"C-PENT                        5ML"," 70","1838.90","  -","0.00","  6","191.16"," 64","1681.28","  -"
"CLEARSOL 500ML                1S","  -","0.00"," 60","7800.00"," 36","5400.00"," 24","3120.00","  -"
"COHEVISC 1.4                  1S"," 10","3300.00","  -","0.00"," 10","3800.00","  -","0.00","  -"
"HYLOR                         1S"," 10","1110.00","210","23310.00","120","14803.20","100","11100.0","  -"
"MIOCHOL 1ML                   1ML","  6","115.68"," 44","848.40"," 28","659.96"," 22","424.16","  -"
"MOXIFUR 5ML                   5ML"," 75","3636.50","  -","0.00","  -","0.00"," 75","3636.50","  -"
"MOXIFUR INJ 1ML               1ML"," 15","636.45","132","5600.40"," 69","3577.65"," 78","3309.54","  -"
"MOXIFUR-LP                    5ML"," 25","1411.75","  -","0.00","  -","0.00"," 25","1411.75"," 24"
"MYOPED                        5ML"," 21","2459.94","  -","0.00","  -","0.00"," 21","2459.94","  -"
"RHEX-ID 1ML                   1ML"," 31","1797.38","220","11596.00","141","9254.79","110","6377.80","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  -","0.00","  2","1980.00","  -"
" TOTAL","652","37240.99","1276","79367.25","898","68310.58","1030","60268.7","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"CLOPOL-DX OINT                5GR","  -","0.00"," 24","1386.00","  -","0.00"," 24","1386.00","  -"
"FULFIL-TD SYP                 200ML","  -","0.00"," 30","2059.20"," 30","2280.00","  -","0.00","  -"
"LUBI WIPES ULTRA              20'S","  -","0.00"," 28","3999.60"," 28","4480.00","  -","0.00","  -"
"LUBI-FRESH                    10ML","  -","0.00"," 60","3232.35","  -","0.00"," 60","3232.35","  -"
"NEPAFLO E/D                   5ML"," 36","3267.00","  -","0.00","  -","0.00"," 36","3267.00","  -"
" TOTAL"," 48","4167.00","142","10677.15"," 58","6760.00","132","8785.35","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROCAINE                     5ML"," 10","368.40"," 20","716.20"," 20","916.80"," 10","368.40","  -"
"AUROMIDE                      5ML","  2","68.51","  -","0.00","  -","0.00","  2","68.51","  1"
"","","","","","","","","",""
"TOTAL","750","46905.05","1446","91790.60","1000","78331.26","1196","73208.3","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"AUROMIDE PLUS                 5ML"," 30","1385.18","  -","0.00","  -","0.00"," 30","1385.18","  -"
"FLURES                        3ML"," 10","1020.50","  -","0.00","  -","0.00"," 10","1020.50","  -"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML"," 40","1558.80","  -","0.00"," 30","1356.28"," 10","389.70","  -"
"VOZOLE E/D                    30MG","  3","762.84"," 20","4937.40"," 13","4029.04"," 10","2542.80","  -"
" TOTAL","100","5726.73"," 40","5653.60"," 63","6302.12"," 77","6337.59","  0"
"","","","","","","","","",""
"AUSTRAK PHARMA","","","","","","","","",""
"EPILUBE E/D                   10ML","  4","289.30","  -","0.00","  -","0.00","  4","289.30","  4"
"TAGAMOX-DX                    5ML","  -","0.00"," 30","2558.60","  -","0.00"," 30","2558.60","  -"
" TOTAL","  4","289.30"," 30","2558.60","  0","0.00"," 34","2847.90","  0"
"","","","","","","","","",""
"BAXTER INDIA PVT LTD","","","","","","","","",""
"DNS-500ML                     1S","  2","49.00","  -","0.00","  -","0.00","  2","49.00","  -"
" TOTAL","  2","49.00","  0","0.00","  0","0.00","  2","49.00","  0"
"","","","","","","","","",""
"BERRY&HERBS PHARMA PVT LTD","","","","","","","","",""
"CORSOL XG                     5ML"," 41","3426.34","  -","0.00","  -","0.00"," 41","3426.34","  2"
