itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3M","","","","","","","","",""
"TEGADERM 10*4                 1S"," 20","1540.00","  -","0.00","  -","0.00"," 20","1540.00","  -"
" TOTAL"," 20","1540.00","  0","0.00","  0","0.00"," 20","1540.00","  0"
"","","","","","","","","",""
"3MIL","","","","","","","","",""
"AUTOGLAVE TAPE 3M             1S","  1","270.00","  -","0.00","  -","0.00","  1","270.00","  -"
" TOTAL","  1","270.00","  0","0.00","  0","0.00","  1","270.00","  0"
"","","","","","","","","",""
"AICE HEALTH CARE PVT LTD","","","","","","","","",""
"ALLEVION MAX                  5ML","  -","0.00"," 30","5400.00","  -","0.00"," 30","5400.00","  -"
"COMFORTZ                      10ML","  6","626.80"," 50","6268.00"," 30","2730.08"," 26","2716.13","  -"
"COMFORTZ EYE MASK             1'S","  5","803.55"," 25","4017.75"," 15","2135.70"," 15","2410.65","  -"
"COMFORTZ-HA                   10ML"," 39","8022.82","  -","0.00","  -","0.00"," 39","8022.82"," 39"
"RELIVION                      3ML","  -","0.00"," 30","5014.20","  -","0.00"," 30","5014.20","  -"
" TOTAL"," 50","9453.17","135","20699.95"," 45","4865.78","140","23563.8","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"OLOPAT OD                     5ML","  3","406.90","  -","0.00","  -","0.00","  3","406.90","  3"
" TOTAL","  3","406.90","  0","0.00","  0","0.00","  3","406.90","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"ENTISEP                       1000ML","  -","0.00","  3","276.00","  3","294.00","  -","0.00","  -"
" TOTAL","  0","0.00","  3","276.00","  3","294.00","  0","0.00","  0"
"","","","","","","","","",""
"AMNEAL HEALTHCARE PVT LTD","","","","","","","","",""
"BRINZNEAL                     5ML"," 15","3053.00","  -","0.00","  -","0.00"," 15","3053.00","  -"
"BRITNEAL                      5ML"," 30","4178.00","  -","0.00","  -","0.00"," 30","4178.00","  -"
"CLARNEAL CAP                  30'S"," 20","4880.00","  -","0.00","  -","0.00"," 20","4880.00","  -"
"IRRISOL                       500ML"," 24","4296.00","  -","0.00","  -","0.00"," 24","4296.00","  -"
"LOTENEAL                      5ML"," 30","3759.00","  -","0.00","  -","0.00"," 30","3759.00","  -"
"MACUNEAL TAB                  10'S"," 20","1952.00","  -","0.00","  -","0.00"," 20","1952.00","  -"
"MOXNEAL                       5ML"," 50","6105.00","  -","0.00","  -","0.00"," 50","6105.00","  -"
"MOXNEAL-L                     5ML"," 20","2570.00","  -","0.00","  -","0.00"," 20","2570.00","  -"
"NEPANEAL                      5ML"," 30","4242.00","  -","0.00","  -","0.00"," 30","4242.00","  -"
"OLONEAL                       5ML"," 30","3567.00","  -","0.00","  -","0.00"," 30","3567.00","  -"
"TRAVNEAL                      5ML"," 30","5784.00","  -","0.00","  -","0.00"," 30","5784.00","  -"
" TOTAL","299","44386.00","  0","0.00","  0","0.00","299","44386.0","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 75","2459.25"," 25","819.75"," 65","2368.60"," 35","1147.65"," 10"
"AFLUR                         5ML"," 61","1760.46"," 60","1731.60"," 60","1714.51"," 61","1760.46","  1"
"APIDINE PLUS                  5ML"," 61","1194.99","  -","0.00"," 20","435.40"," 41","803.19"," 11"
"APPAMIDE PLUS                 5ML"," 36","1260.00"," 30","1050.00"," 25","1283.75"," 41","1435.00"," 11"
"APPAVISC 5ML                  5ML"," 49","2515.66","300","15402.00","209","14306.05","140","7187.60","  -"
"APPAVISC PFS 2.4              3ML"," 40","4371.60"," 50","5464.50"," 35","4250.75"," 55","6010.95","  -"
"ART                           10ML","  -","0.00"," 30","1672.80","  -","0.00"," 30","1672.80","  -"
"ART GEL                       10ML"," 48","2433.12","225","11405.25","198","11374.89"," 75","3801.75","  4"
"ART PLUS                      10ML"," 95","4606.55","  -","0.00"," 28","1774.81"," 67","3248.83","  -"
"C-PENT                        5ML","120","3152.40","  -","0.00","100","3122.28"," 20","525.40","  -"
"CLEARSOL 500ML                1S"," 24","3120.00"," 60","7800.00"," 22","3630.00"," 62","8060.00","  2"
"COHEVISC 1.4                  1S"," 10","3300.00"," 10","3300.00"," 10","3800.00"," 10","3300.00","  -"
"HYLOR                         1S"," 80","8880.00"," 80","8880.00","110","13569.60"," 50","5550.00","  -"
"MIOCHOL 1ML                   1ML"," 26","501.28"," 33","636.24"," 25","589.25"," 34","655.52","  1"
"","","","","","","","","",""
"TOTAL","1098","95611.38","1041","79138.09","955","67379.67","1184","115325.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"MOXIFUR 5ML                   5ML","  1","48.49","  -","0.00","  -","0.00","  1","48.49","  1"
"MOXIFUR INJ 1ML               1ML"," 33","1400.19"," 33","1400.19"," 30","1555.50"," 36","1527.48","  -"
"MOXIFUR-LP                    5ML","175","9882.25","150","8470.50","  1","83.00","324","18296.2"," 24"
"MYOPED                        5ML","  -","0.00"," 24","2811.36","  -","0.00"," 24","2811.36","  -"
"RHEX-ID 1ML                   1ML"," 92","5334.16","372","20303.10","330","21268.50","134","7769.32","  2"
"SUPRACOAT PLUS                1ML","  1","990.00","  -","0.00","  -","0.00","  1","990.00","  -"
" TOTAL","1027","57210.40","1482","91147.29","1268","85126.89","1241","76602.0","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"KOJIMAX GEL                   20GM"," 15","2494.80","  -","0.00","  -","0.00"," 15","2494.80"," 15"
"LUBI FRESH EYE MASK           1'S"," 12","1564.20","  -","0.00","  -","0.00"," 12","1564.20","  -"
"LUBI-FRESH                    10ML"," 60","3232.35","  -","0.00"," 60","3518.20","  -","0.00","  -"
"NEPAFLO E/D                   5ML"," 60","5445.00","  -","0.00","  -","0.00"," 60","5445.00","  -"
" TOTAL","159","13636.35","  0","0.00"," 60","3518.20"," 99","10404.0","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROCAINE                     5ML"," 10","368.40","  -","0.00","  -","0.00"," 10","368.40","  -"
"AUROCORT                      1ML"," 10","765.20","  -","0.00","  -","0.00"," 10","765.20","  -"
"AUROFLUR                      5ML","  2","68.18","  -","0.00","  -","0.00","  2","68.18","  -"
"AUROMIDE                      5ML"," 22","753.60","  -","0.00"," 15","661.50","  7","239.78","  1"
"AUROMIDE PLUS                 5ML"," 23","1061.97","  -","0.00","  -","0.00"," 23","1061.97"," 23"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
"PILO                          5ML"," 15","584.55","  -","0.00"," 10","454.80","  5","194.85","  -"
"VOZOLE E/D                    30MG"," 33","8391.24"," 30","7628.40"," 33","10200.72"," 30","7628.40","  -"
" TOTAL","120","12555.64"," 30","7628.40"," 58","11317.02"," 92","10889.2","  0"
"","","","","","","","","",""
"AUSTRAK PHARMA","","","","","","","","",""
"EPILUBE E/D                   10ML","  4","289.30","  -","0.00","  -","0.00","  4","289.30","  4"
"TAGAMOX-DX                    5ML","  4","341.15","  -","0.00","  -","0.00","  4","341.15","  -"
" TOTAL","  8","630.45","  0","0.00","  0","0.00","  8","630.45","  0"
"","","","","","","","","",""
"BAXTER INDIA PVT LTD","","","","","","","","",""
"DNS-500ML                     1S","  2","49.00","  -","0.00","  -","0.00","  2","49.00","  -"
" TOTAL","  2","49.00","  0","0.00","  0","0.00","  2","49.00","  0"
"","","","","","","","","",""
"BECTON DICKINSON & COMPANY","","","","","","","","",""
"BD EMERALD 3ML                1'S","  -","0.00","200","670.00","200","720.00","  -","0.00","  -"
" TOTAL","  0","0.00","200","670.00","200","720.00","  0","0.00","  0"
"","","","","","","","","",""
"BERRY&HERBS PHARMA PVT LTD","","","","","","","","",""
"CORSOL XG                     5ML"," 67","5599.14","  -","0.00","  -","0.00"," 67","5599.14"," 67"
"GLUKOGEGSIC CAP               10'S"," 70","11361.47","150","24346.00","140","26509.98"," 80","12984.5","  -"
"MOXISHIELD LP                 5ML"," 75","4757.00","  -","0.00","  -","0.00"," 75","4757.00"," 75"
"MOXITOBRA                     5ML"," 45","3471.30","  -","0.00","  -","0.00"," 45","3471.30"," 45"
"OPTIWIRE CAPS                 10'S","  8","2436.22","223","66996.00","174","57996.21"," 57","17358.0","  -"
" TOTAL","265","27625.13","373","91342.00","314","84506.19","324","44170.0","  0"
"","","","","","","","","",""
"TOTAL","1954","167763.03","2223","211763.64","1948","190348.08","2229","212911.","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..3","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"BORN HEALTHCARE PVT LTD","","","","","","","","",""
"NS-500ML                      500ML","  1","25.25","  -","0.00","  -","0.00","  1","25.25","  -"
" TOTAL","  1","25.25","  0","0.00","  0","0.00","  1","25.25","  0"
"","","","","","","","","",""
"CARE GROUP","","","","","","","","",""
"CANNULA NEEDLE                1S","270","270.00","  -","0.00","  -","0.00","270","270.00","270"
"CONTACAINE SOL                5ML"," 10","334.30","  -","0.00","  -","0.00"," 10","334.30"," 10"
"CONTASOL BSS(PP)              250ML","  -","0.00"," 48","3134.88"," 24","1742.40"," 24","1567.44","  -"
"FLUO STRIPS                   100S","  1","148.00"," 30","4440.00"," 30","5000.00","  1","148.00","  -"
" TOTAL","281","752.30"," 78","7574.88"," 54","6742.40","305","2319.74","  0"
"","","","","","","","","",""
"CHC","","","","","","","","",""
"BUFFANT CAP                   1'S","  -","0.00","300","420.00","300","540.00","  -","0.00","  -"
" TOTAL","  0","0.00","300","420.00","300","540.00","  0","0.00","  0"
"","","","","","","","","",""
"CIPLA","","","","","","","","",""
"ITRANOX 200                   4S"," 40","1724.80","  -","0.00","  -","0.00"," 40","1724.80","  -"
"OMNIX 200DT                   10S"," 10","567.08","  -","0.00","  -","0.00"," 10","567.08","  -"
"OMNIX-O TAB                   10S","  1","77.78","  -","0.00","  -","0.00","  1","77.78","  -"
" TOTAL"," 51","2369.66","  0","0.00","  0","0.00"," 51","2369.66","  0"
"","","","","","","","","",""
"CLARIS OSTUKA","","","","","","","","",""
"ST WATER 10ML                 50","  -","0.00"," 12","1344.00"," 10","1200.00","  2","224.00","  -"
" TOTAL","  0","0.00"," 12","1344.00"," 10","1200.00","  2","224.00","  0"
"","","","","","","","","",""
"DISPOVAN","","","","","","","","",""
"DISPOVAN 2ML SYG              1S","  -","0.00","700","1253.00","700","1365.00","  -","0.00","  -"
"DISPOVAN NDL 24               100S","  -","0.00","  3","204.00","  3","225.00","  -","0.00","  -"
"DISPOVAN NDL 26               100S","  -","0.00"," 10","700.00"," 10","750.00","  -","0.00","  -"
" TOTAL","  0","0.00","713","2157.00","713","2340.00","  0","0.00","  0"
"","","","","","","","","",""
"DYNAMIC TECHNO MEDICALS PVT LTD","","","","","","","","",""
"SOFTCOLLAR M                  1S","  1","200.00","  -","0.00","  -","0.00","  1","200.00","  -"
" TOTAL","  1","200.00","  0","0.00","  0","0.00","  1","200.00","  0"
"","","","","","","","","",""
"ENTOD GLOTEK DIVISION","","","","","","","","",""
"CYCLOFEZ                      5ML"," 53","2385.00"," 25","1125.00"," 53","2607.00"," 25","1125.00","  -"
"HOMACID                       5ML"," 35","850.15","222","5392.38","224","5908.32"," 33","801.57","  -"
"PHENOCAINE PLUS               5AMP*1ML"," 25","9710.56","  -","0.00"," 25","12946.50","  -","0.00","  -"
"SMARTMEGA 500                 10'S","  -","0.00"," 60","9643.77"," 30","6428.70"," 30","4821.89","  -"
"TIMOL P                       10ML"," 59","2738.70"," 50","2320.93"," 35","1903.65"," 74","3434.98"," 20"
" TOTAL","172","15684.41","357","18482.08","367","29794.17","162","10183.4","  0"
"","","","","","","","","",""
"TOTAL","2460","186794.65","3683","241741.60","3392","230964.65","2751","228233.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..4","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"ENTOD PHAMA(ENSIGHT)","","","","","","","","",""
"AB-PRESS PF                   10ML"," 12","2596.05","  -","0.00","  9","2450.00","  3","649.01","  -"
"ADBROM                        5ML"," 63","4453.83","100","7212.76","140","11550.28"," 23","1626.00","  -"
"CATAGON                       10ML"," 18","1033.22","198","11370.93","210","14433.72","  6","344.41","  -"
"E-FLO DROPS                   5ML"," 30","1722.04","  -","0.00"," 30","2187.60","  -","0.00","  -"
"ENGATT E/D                    5ML"," 45","2103.98","  -","0.00","  3","167.99"," 42","1963.72"," 21"
"ENLUBE                        10ML"," 62","5192.43"," -5","-409.84"," 43","1443.22"," 14","1172.48","  9"
"ENLUBE FUSION E/D             5ML","105","9114.21","100","8680.20"," 80","10961.25","125","10850.2","  5"
"ENPAT 0.7                     5ML","  -","0.00"," 12","1767.90"," 12","1964.30","  -","0.00","  -"
"ENTRAK SOOTHE                 5GM"," 22","4361.12","  -","0.00","  6","1295.02"," 16","3171.72"," 12"
"FLUBI E/D                     5ML","  2","94.29"," 24","1131.49","  -","0.00"," 26","1225.78","  2"
"FLUBICHLOR E/D                5ML","  6","346.53"," 12","707.10"," 12","785.70","  6","346.53","  6"
"FLUBIGAT                      5ML","  7","457.51","  -","0.00","  6","426.99","  1","65.36","  -"
"FLUCOCID                      5ML"," 19","644.11"," 25","847.51"," 18","561.69"," 26","881.41","  -"
"FLUNATOD 10                   10S"," 20","738.20"," 10","369.10"," 30","1187.85","  -","0.00","  -"
"GANCIGEL                      5GM"," 45","3728.62","-13","-802.31","  5","541.35"," 27","2237.17"," 17"
"LACRYL HYDRATE                10ML","  1","268.39","  -","0.00","  -","0.00","  1","268.39","  -"
"LACRYL SOOTHE                 10ML"," 29","1997.52","  -","0.00","  5","486.75"," 24","1653.12"," 12"
"LACRYL ULTRA E/D              10ML"," 16","3435.61"," -2","-525.86","  4","1139.36"," 10","2147.26","  -"
"LACRYL-PF                     5GM","108","6913.10"," 76","4993.27","132","11519.69"," 52","3328.53","  -"
"LACRYL-PLUS                   10ML"," 16","744.00","  -","0.00","  -","0.00"," 16","744.00","  2"
"LOT OINTMENT                  5GM","186","14328.64","142","12239.44","174","16363.17","154","11863.5","  -"
"MACUSHIELD TAB                10S","  1","87.14"," 11","1183.78","  -","0.00"," 12","1045.62","  -"
"MOTOGRAM E/D                  5ML","  2","179.95"," 12","1350.00","  2","291.00"," 12","1079.73","  -"
"MYATRO E/D                    5ML"," 11","1297.21"," 28","3810.22"," 32","5449.44","  7","825.50","  -"
"NATACIN                       5ML"," 11","879.84","  -","0.00","  -","0.00"," 11","879.84","  -"
"NEPAONCE                      3ML"," 24","3471.49","  -","0.00","  -","0.00"," 24","3471.49"," 12"
"OMEFLOX E/D                   5ML","  4","120.64","  -","0.00","  -","0.00","  4","120.64","  -"
"OMEFLOX OINT                  5GM","  5","208.95"," 60","2507.40","  2","91.00"," 63","2632.77","  -"
"OMEFLOX-BM                    5GM"," 62","995.86","  -","0.00"," 60","1070.75","  2","32.12","  -"
"OPTICOOL E/D                  10ML"," 77","4440.26","100","5884.38","172","10659.85","  5","288.33","  -"
"PRESS-DT                      10S"," 50","1535.00","  -","0.00"," 22","733.02"," 28","859.60"," 25"
"SOLINE 5                      10ML"," 32","1687.53","150","8064.63","129","7713.05"," 53","2794.97","  -"
"SOLINE-6                      3GM","111","9025.14","394","31990.16","354","39692.92","151","12277.4","  1"
"T-1                           3ML","  2","388.67"," 12","2332.00","  8","2031.44","  6","1166.00","  4"
"TREHATOD                      5ML","  3","343.01","  -","0.00","  -","0.00","  3","343.01","  -"
"TROMIDE-PLUS                  5ML"," 25","1446.50","  -","0.00","  -","0.00"," 25","1446.50","  -"
" TOTAL","1232","90380.59","1446","104704.26","1700","147198.40","978","73802.2","  0"
"","","","","","","","","",""
"ENTOD PHARMA-G TECH","","","","","","","","",""
"AUDIOVIT CAP                  10S"," 28","4057.67","  -","0.00","  -","0.00"," 28","4057.67"," 21"
"AZENATE NASAL SPRAY           9.8ML","  6","1253.66","  -","0.00","  1","270.21","  5","1044.72","  -"
"E-SALIVA PLUS MOUTHSPRAY      15ML"," 15","1850.91","  -","0.00"," 12","1628.24","  3","370.18","  -"
"FEXAGON PLUS TAB              10S"," 81","6291.68"," 15","1358.79"," 66","5579.20"," 30","2330.25","  -"
"NASOLINE NASAL SPRAY          10ML"," 18","511.05"," 20","577.46"," 30","946.50","  8","227.13","  -"
"ORINASE-A                     10ML"," 30","983.25"," 30","983.25"," 30","1064.47"," 30","983.25","  -"
"OTOBIOTIC                     5ML"," 91","6164.66","130","8806.65","116","8798.75","105","7113.07","  -"
"OTOBIOTIC PLUS NEW            5ML"," 30","1157.34"," 24","925.87"," 27","1161.81"," 27","1041.60","  1"
"OTOFUNGIN E/D                 10ML"," 16","771.47","  -","0.00","  -","0.00"," 16","771.47","  6"
"OTOFUNGIN-F                   5ML","  6","347.15","  -","0.00","  -","0.00","  6","347.15","  6"
