itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML","  8","907.74","  -","0.00","  8","946.37","  -","0.00","  -"
"LOTEL GEL                     5ML","  9","985.00","  -","0.00","  9","1026.91","  -","0.00","  -"
"OLOPAT                        5ML","  7","848.36","  -","0.00","  7","884.46","  -","0.00","  -"
"OLOPAT OD                     5ML","  6","813.80","  -","0.00","  -","0.00","  6","813.80","  3"
"VIRSON GEL                    5GM"," 17","1643.70","  -","0.00","  -","0.00"," 17","1643.70","  -"
" TOTAL"," 47","5198.60","  0","0.00"," 24","2857.74"," 23","2457.50","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"L-PRED                        5ML","  1","134.52","  -","0.00","  -","0.00","  1","134.52","  -"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  -"
"ZYMAR E/O                     5GM","  8","592.15","  -","0.00","  -","0.00","  8","592.15","  -"
" TOTAL"," 14","2860.35","  0","0.00","  0","0.00"," 14","2860.35","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 15","491.85"," 25","884.00"," 15","589.50"," 25","819.75","  -"
"APIDINE PLUS                  5ML"," 25","489.75","  -","0.00"," 10","217.70"," 15","293.85","  -"
"APIDINE-5                     5ML","  5","97.95","  -","0.00","  -","0.00","  5","97.95","  -"
"APPAMIDE PLUS                 5ML"," 36","1260.00","  -","0.00","  -","0.00"," 36","1260.00","  3"
"APPAVISC 5ML                  5ML"," 20","1026.80","110","5600.00","110","6847.50"," 20","1026.80","  -"
"APPAVISC PFS 2.4              3ML","  -","0.00"," 50","5464.50"," 20","2429.00"," 30","3278.70","  -"
"APPAVISC VAIL 3ML             3ML"," 55","2411.50","  -","0.00","  -","0.00"," 55","2411.50","  -"
"ART GEL                       10ML"," 59","2990.71","150","7604.00","129","7866.02"," 80","4055.20","  -"
"ART PLUS                      10ML"," 88","4267.12","  -","0.00","  -","0.00"," 88","4267.12","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  -","0.00","  5","123.75","  -"
"C-PENT                        5ML"," 69","1812.63","  -","0.00"," 12","382.32"," 57","1497.39","  -"
"CLEARSOL 500ML                1S"," 10","1300.00"," 24","2832.00"," 34","4420.00","  -","0.00","  -"
"COHEVISC 1.4                  1S","  -","0.00"," 10","3000.00","  1","350.00","  9","2970.00","  -"
"HYLOR                         1S","  -","0.00"," 50","5050.00"," 10","1150.00"," 40","4440.00","  -"
"MEGALUB                       10ML"," 30","4500.00","  -","0.00","  -","0.00"," 30","4500.00","  -"
"MIOCHOL 1ML                   1ML","  1","19.28"," 44","848.40","  -","0.00"," 45","867.60","  -"
"MOXIFUR INJ 1ML               1ML"," 28","1188.04"," 55","2121.50"," 50","2357.00"," 33","1400.19","  -"
"MOXIFUR-LP                    5ML"," 42","2371.74","  -","0.00","  -","0.00"," 42","2371.74"," 24"
"MYOPED                        5ML"," 18","2108.52"," 24","2811.40","  6","717.51"," 36","4217.04","  -"
"RHEX-ID 1ML                   1ML"," 27","1565.46","154","8117.20","130","8247.04"," 51","2956.98","  -"
"SUPRACOAT PLUS                1ML","  2","1980.00","  -","0.00","  -","0.00","  2","1980.00","  -"
" TOTAL","535","30005.10","696","44333.00","527","35573.59","704","44835.5","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"LUBI-FRESH                    10ML"," 24","1292.94","  -","0.00","  -","0.00"," 24","1292.94","  -"
"NEPAFLO E/D                   5ML"," 24","2178.00","  -","0.00","  -","0.00"," 24","2178.00","  -"
" TOTAL"," 60","4370.94","  0","0.00","  0","0.00"," 60","4370.94","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"ATROP                         5ML"," 20","266.60"," 10","133.30"," 20","313.60"," 10","133.30","  -"
"AUROCAINE                     5ML","  -","0.00"," 20","637.40"," 10","370.00"," 10","368.40","  -"
"AUROMIDE                      5ML","  8","274.04"," 55","1953.00"," 11","495.20"," 52","1781.23","  -"
"AUROMIDE PLUS                 5ML","  1","46.17"," 55","2250.00","  -","0.00"," 56","2585.67","  -"
"FLURES                        3ML"," 10","1020.50","  -","0.00","  -","0.00"," 10","1020.50","  -"
"LID CLEAN                     50ML","  5","562.50","  -","0.00","  -","0.00","  5","562.50","  5"
